"Sample","Category","Count","Total","Percentage"
"p53 KD 1","3' UTR",70,12970,0.539707016191211
"p53 KD 1","Promoter (1-2 kb)",251,12970,1.93523515805705
"p53 KD 1","Other exon",301,12970,2.3207401696222
"p53 KD 1","5' UTR",6,12970,0.046260601387818
"p53 KD 1","Promoter (2-3 kb)",176,12970,1.35697764070933
"p53 KD 1","Other intron",1412,12970,10.8866615265998
"p53 KD 1","Distal intergenic",9267,12970,71.449498843485
"p53 KD 1","Promoter (<=1 kb)",1484,12970,11.4417887432537
"p53 KD 1","Downstream",3,12970,0.023130300693909
"p53 KD 2","3' UTR",59,12870,0.458430458430458
"p53 KD 2","5' UTR",6,12870,0.0466200466200466
"p53 KD 2","Distal intergenic",9548,12870,74.1880341880342
"p53 KD 2","Downstream",6,12870,0.0466200466200466
"p53 KD 2","Promoter (1-2 kb)",190,12870,1.47630147630148
"p53 KD 2","Other exon",270,12870,2.0979020979021
"p53 KD 2","Promoter (2-3 kb)",165,12870,1.28205128205128
"p53 KD 2","Other intron",1234,12870,9.58818958818959
"p53 KD 2","Promoter (<=1 kb)",1392,12870,10.8158508158508
"Scramble 1","Distal intergenic",3134,11757,26.6564599812877
"Scramble 1","Downstream",5,11757,0.0425278557455133
"Scramble 1","3' UTR",134,11757,1.13974653397976
"Scramble 1","Other exon",453,11757,3.85302373054351
"Scramble 1","5' UTR",16,11757,0.136089138385643
"Scramble 1","Other intron",1702,11757,14.4764820957727
"Scramble 1","Promoter (<=1 kb)",5584,11757,47.4951092965893
"Scramble 1","Promoter (1-2 kb)",395,11757,3.35970060389555
"Scramble 1","Promoter (2-3 kb)",334,11757,2.84086076380029
"Scramble 2","Other intron",2807,16876,16.6330884095757
"Scramble 2","Distal intergenic",9726,16876,57.6321403176108
"Scramble 2","Promoter (<=1 kb)",2933,16876,17.3797108319507
"Scramble 2","Downstream",8,16876,0.0474045982460299
"Scramble 2","3' UTR",109,16876,0.645887651102157
"Scramble 2","Promoter (1-2 kb)",485,16876,2.87390376866556
"Scramble 2","Other exon",426,16876,2.52429485660109
"Scramble 2","5' UTR",17,16876,0.100734771272813
"Scramble 2","Promoter (2-3 kb)",365,16876,2.16283479497511
