"Sample","Category","Count","Total","Percentage"
"p53sh MOF 1","3' UTR",7,3211,0.218000622858922
"p53sh MOF 1","Other exon",35,3211,1.09000311429461
"p53sh MOF 1","5' UTR",1,3211,0.0311429461227032
"p53sh MOF 1","Other intron",220,3211,6.85144814699471
"p53sh MOF 1","Distal intergenic",2691,3211,83.8056680161943
"p53sh MOF 1","Promoter (<=1 kb)",195,3211,6.07287449392713
"p53sh MOF 1","Promoter (1-2 kb)",40,3211,1.24571784490813
"p53sh MOF 1","Promoter (2-3 kb)",22,3211,0.685144814699471
"p53sh MOF 2","3' UTR",2,2814,0.0710732054015636
"p53sh MOF 2","5' UTR",3,2814,0.106609808102345
"p53sh MOF 2","Distal intergenic",2519,2814,89.5167022032694
"p53sh MOF 2","Downstream",1,2814,0.0355366027007818
"p53sh MOF 2","Other exon",23,2814,0.817341862117982
"p53sh MOF 2","Other intron",125,2814,4.44207533759773
"p53sh MOF 2","Promoter (<=1 kb)",115,2814,4.08670931058991
"p53sh MOF 2","Promoter (1-2 kb)",12,2814,0.426439232409382
"p53sh MOF 2","Promoter (2-3 kb)",14,2814,0.497512437810945
"Scramble MOF 1","3' UTR",18,9671,0.186123461896391
"Scramble MOF 1","5' UTR",3,9671,0.0310205769827319
"Scramble MOF 1","Distal intergenic",8213,9671,84.9239995863923
"Scramble MOF 1","Downstream",1,9671,0.0103401923275773
"Scramble MOF 1","Other exon",116,9671,1.19946230999897
"Scramble MOF 1","Other intron",834,9671,8.62372040119946
"Scramble MOF 1","Promoter (<=1 kb)",329,9671,3.40192327577293
"Scramble MOF 1","Promoter (1-2 kb)",89,9671,0.920277117154379
"Scramble MOF 1","Promoter (2-3 kb)",68,9671,0.703133078275256
"Scramble MOF 2","Downstream",1,10932,0.00914745700695207
"Scramble MOF 2","Other exon",182,10932,1.66483717526528
"Scramble MOF 2","Other intron",1021,10932,9.33955360409806
"Scramble MOF 2","3' UTR",29,10932,0.26527625320161
"Scramble MOF 2","Promoter (<=1 kb)",524,10932,4.79326747164288
"Scramble MOF 2","5' UTR",5,10932,0.0457372850347603
"Scramble MOF 2","Promoter (1-2 kb)",122,10932,1.11598975484815
"Scramble MOF 2","Distal intergenic",8942,10932,81.7965605561654
"Scramble MOF 2","Promoter (2-3 kb)",106,10932,0.969630442736919
