"Sample","Category","Count","Total","Percentage"
"Scramble 1","3' UTR",2803,61801,4.53552531512435
"Scramble 1","Promoter (1-2 kb)",3648,61801,5.90281710651931
"Scramble 1","Other exon",5526,61801,8.94160288668468
"Scramble 1","5' UTR",464,61801,0.750796912671316
"Scramble 1","Promoter (2-3 kb)",3549,61801,5.74262552385884
"Scramble 1","Other intron",18271,61801,29.5642465332276
"Scramble 1","Distal intergenic",8631,61801,13.9657934337632
"Scramble 1","Promoter (<=1 kb)",18859,61801,30.5156874484232
"Scramble 1","Downstream",50,61801,0.0809048397275125
"Scramble 2","3' UTR",1487,38290,3.88352050143641
"Scramble 2","5' UTR",248,38290,0.647688691564377
"Scramble 2","Distal intergenic",5481,38290,14.3144424131627
"Scramble 2","Downstream",33,38290,0.0861843823452599
"Scramble 2","Promoter (1-2 kb)",2237,38290,5.84225646382868
"Scramble 2","Other exon",2983,38290,7.79054583442152
"Scramble 2","Promoter (2-3 kb)",2177,38290,5.68555758683729
"Scramble 2","Other intron",10460,38290,27.3178375554975
"Scramble 2","Promoter (<=1 kb)",13184,38290,34.4319665709062
"YEATS2 KD 1","Distal intergenic",5191,36006,14.4170416041771
"YEATS2 KD 1","Downstream",50,36006,0.138865744598123
"YEATS2 KD 1","3' UTR",1341,36006,3.72437927012165
"YEATS2 KD 1","Other exon",2704,36006,7.50985946786647
"YEATS2 KD 1","5' UTR",205,36006,0.569349552852302
"YEATS2 KD 1","Other intron",9918,36006,27.5454090984836
"YEATS2 KD 1","Promoter (<=1 kb)",12452,36006,34.5831250347164
"YEATS2 KD 1","Promoter (1-2 kb)",2148,36006,5.96567238793534
"YEATS2 KD 1","Promoter (2-3 kb)",1997,36006,5.54629783924901
"YEATS2 KD 2","Other intron",13532,46731,28.9572232565107
"YEATS2 KD 2","Distal intergenic",6012,46731,12.8651216537202
"YEATS2 KD 2","Promoter (<=1 kb)",15555,46731,33.2862553765167
"YEATS2 KD 2","Downstream",34,46731,0.0727568423530419
"YEATS2 KD 2","3' UTR",1993,46731,4.26483490616507
"YEATS2 KD 2","Promoter (1-2 kb)",2801,46731,5.99387986561383
"YEATS2 KD 2","Other exon",3738,46731,7.99897284457855
"YEATS2 KD 2","5' UTR",307,46731,0.656951488305408
"YEATS2 KD 2","Promoter (2-3 kb)",2759,46731,5.90400376623655
