Gene,RNA_log2FC,RNA_stat,RNA_padj,RNA_baseMean,RNA_ID_rows,H4K16ac_Fold_median,H4K16ac_Fold_mean,H4K16ac_min_FDR,H4K16ac_peak_count,H4K16ac_Fold_nearest_TSS
AARS1,0.6484263006512481,6.984298530223357,3.766979632347109e-11,1500.5608128081726,1,0.182894998191762,0.182894998191762,0.862679459860138,1,0.182894998191762
ABCB6,-0.6152384761954296,-1.5145503753319942,0.2392626393603175,37.23386424557208,1,0.301267721688817,0.301267721688817,0.781682130096252,1,0.301267721688817
ABCC3,-1.5830919326421489,-11.5321740927236,4.8787302411606824e-29,560.9584168102789,1,-0.601305268485794,-0.601305268485794,0.504272779385644,1,-0.601305268485794
ABCD1,-1.233298164668346,-8.92917215421849,1.0196637272722136e-17,401.9775015110849,1,0.130728016509931,0.130728016509931,0.903307529048058,1,0.130728016509931
ABCF2,-0.3923921906608213,-2.9331297300973294,0.010705165121146,455.65198471645215,1,-5.61366014150471,-5.61366014150471,0.0047896070129691,1,-5.61366014150471
ABHD12B,-0.6249062600362196,-4.988641152448526,4.0516248481487456e-06,477.8172536354644,1,-1.55814920980351,-1.55814920980351,0.123292585203563,1,-1.55814920980351
ABHD6,-0.1120940570171967,-1.009532413905665,0.466453158904959,721.7903549431603,1,0.0396239354109828,0.0396239354109828,0.965899374321037,1,0.0396239354109828
ABL1,0.1013664670232946,1.0399895132046446,0.4501702586622044,1097.3351392999475,1,-1.07516503264612,-1.07516503264612,0.207980134205742,1,-1.07516503264612
ACAD9,0.2653157630643152,2.242614548164203,0.061085319626223,553.3876740693106,1,-0.689058479549625,-0.689058479549625,0.426680784983614,1,-0.689058479549625
ACIN1,0.0792407287725166,1.042348546580959,0.4490063105261772,2700.448899340124,1,-7.33494015023422,-7.33494015023422,0.0004091143587456,1,-7.33494015023422
ACO2,-0.0390434302232809,-0.4033838508169727,0.8035604733474819,893.8216975087197,1,-0.272324863397387,-0.272324863397387,0.79833105869848,1,-0.272324863397387
ACOT2,-0.0095687328722703,-0.0347351221820198,0.9858513310475426,79.99767084394217,1,0.133528754599282,0.133528754599282,0.88242854172037,1,0.133528754599282
ACOT7,0.119287615344276,1.1834482936813506,0.3793870803654292,986.1359815443668,1,-0.680750378194272,-0.680750378194272,0.432484345052538,1,-0.680750378194272
ACOX3,-0.2275154034554272,-0.9306106924949522,0.5097085737079984,96.86551461248148,1,0.518808551157391,0.518808551157391,0.546372984695338,1,0.518808551157391
ACSS1,0.9748744938578168,6.840775092042179,9.889699123447218e-11,465.7581197379215,1,-0.308220870817881,-0.308220870817881,0.775982202592487,1,-0.308220870817881
ACTB,-0.669178269634587,-11.310159203286371,5.874679680462033e-28,44308.33839213206,1,-0.470548604132442,-0.756018904082115,0.0606581223410837,3,-0.457520406452323
ACTL10,-0.7359249603500606,-2.253091609346634,0.0597053123140162,57.49324617964602,1,-1.25188864275885,-1.25188864275885,0.0754591009257908,1,-1.25188864275885
ACTMAP,-0.3147390904912852,-1.672612992327131,0.1855312584693091,194.0880461121457,1,-0.707643222182113,-0.707643222182113,0.147619053990669,1,-0.707643222182113
ACTN1,-0.4989655603012526,-7.780161883785725,1.2333920924793786e-13,11845.251755236168,1,-0.5856053673303221,-0.5856053673303221,0.330126827633629,2,-0.367896132392568
ACTR3B,-1.2428042008041384,-6.113459219094722,9.651873356327e-09,172.55929009350163,1,-7.1187512109924,-7.1187512109924,0.0006441354066255,1,-7.1187512109924
ACTR3C,-1.5768678531842877,-4.408582105979024,5.673187798366983e-05,53.48432416861159,1,-2.236622852075,-2.236622852075,0.0127939467401331,1,-2.236622852075
ACVR1B,-0.0529557667677819,-0.607354870548778,0.6898276032428174,1201.0307973683932,1,-0.26776798904013,-0.26776798904013,0.797801427249219,1,-0.26776798904013
ACYP1,-0.2647552051101848,-1.2845035011797792,0.3326918902264072,163.41566178002296,1,-0.807591134186168,-0.807591134186168,0.251080057357317,1,-0.807591134186168
ADAM8,-0.7044314051477204,-1.918302165237518,0.1193038486949461,46.01469801394923,1,-1.35350459914006,-1.35350459914006,0.129899019381324,1,-1.35350459914006
ADAMTS17,-0.6247930941103331,-2.963474265825014,0.0098143631146784,135.5041643269207,1,-0.986619376700905,-0.986619376700905,0.236250937341735,1,-0.986619376700905
ADAMTS19,-3.3176480427658825,-12.263660884917677,9.401682430233973e-33,109.48780615343274,1,-0.69115461189077,-0.69115461189077,0.426938590891913,1,-0.69115461189077
ADAP1,-2.949207037234637,-12.45300864394822,9.356345590359989e-34,141.4197717841306,1,-0.26814817881693703,-0.26814817881693703,0.319067002490019,2,-0.829219560146024
ADAR,0.0815879685949664,1.0703329517971694,0.4347732051696595,2542.8623795423546,1,-0.181602375466665,-0.181602375466665,0.865381457612037,1,-0.181602375466665
ADCK1,-0.5991472794245781,-1.7330719484278458,0.1668917506705531,63.0154173273762,1,-1.74259319562917,-1.74259319562917,0.059385797505216,1,-1.74259319562917
ADCY7,1.3364539800515998,5.393272380423968,5.285996149190513e-07,114.9006367734464,1,-0.343482766752603,-0.343482766752603,0.743113123467524,1,-0.343482766752603
