scope,chip_gene_summary,method,N,correlation,p_value
all_peaks,median,Pearson,2100,-0.013828719794149173,0.5264956271008558
all_peaks,median,Spearman,2100,-0.01959956518292699,0.3693367809905726
all_peaks,mean,Pearson,2100,-0.015596519679863611,0.4750168279128829
all_peaks,mean,Spearman,2100,-0.022073352591949078,0.31199297691429223
all_peaks,nearest_TSS,Pearson,2100,-0.015065116235148168,0.49019515456071827
all_peaks,nearest_TSS,Spearman,2100,-0.02453854265532227,0.2610142977936686
promoter_peaks,median,Pearson,1828,-0.02481330698050009,0.2889929464882114
promoter_peaks,median,Spearman,1828,-0.020417310554781933,0.38296930398166956
promoter_peaks,mean,Pearson,1828,-0.025022960249356057,0.2849366733200672
promoter_peaks,mean,Spearman,1828,-0.020977769645257258,0.3700433750200348
promoter_peaks,nearest_TSS,Pearson,1828,-0.024349984736850835,0.2980943916917971
promoter_peaks,nearest_TSS,Spearman,1828,-0.019612944606107695,0.4019965847073573
