"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043462","regulation of ATP-dependent activity","4/147","18/8855",0.222222222222222,13.3862433862434,6.83427815482822,0.000186123486254602,0.455081663713772,0.442539063436045,"PPIF/TP53/TOR1AIP1/UBLCP1",4
"GO:0045773","positive regulation of axon extension","4/147","21/8855",0.19047619047619,11.4739229024943,6.24323293408298,0.000350197509591206,0.455081663713772,0.442539063436045,"TNFRSF12A/LIMK1/MACF1/BMPR2",4
"GO:0038093","Fc receptor signaling pathway","4/147","27/8855",0.148148148148148,8.92416225749559,5.35763712776489,0.000950469907802154,0.546383527792934,0.531324537871179,"FYN/MAP2K7/LIMK1/SOS1",4
"GO:0050900","leukocyte migration","9/147","164/8855",0.0548780487804878,3.30574912891986,3.87229395591499,0.00159963382107359,0.546383527792934,0.531324537871179,"CD9/FYN/MADCAM1/RPS19/C5/CORO1C/SOS1/PREX1/TNFRSF18",9
"GO:0016072","rRNA metabolic process","10/147","203/8855",0.0492610837438424,2.96739385409336,3.68426016099343,0.0019976447884837,0.546383527792934,0.531324537871179,"RPS19/METTL16/EXOSC2/RPS6/TP53/DEDD/RPS21/RPS7/GEMIN4/TOP1",10
"GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","4/147","33/8855",0.121212121212121,7.3015873015873,4.71186258691535,0.00205168110188013,0.546383527792934,0.531324537871179,"TRIP6/EDAR/PDCD4/VCP",4
"GO:0003206","cardiac chamber morphogenesis","5/147","59/8855",0.0847457627118644,5.10492332526231,4.11014989779749,0.00286913276233755,0.546383527792934,0.531324537871179,"ID2/SOS1/TBX3/TP53/BMPR2",5
"GO:0002063","chondrocyte development","3/147","18/8855",0.166666666666667,10.0396825396825,4.98776771786588,0.00304621381438054,0.546383527792934,0.531324537871179,"SERPINH1/RARG/BMPR2",3
"GO:0043153","entrainment of circadian clock by photoperiod","3/147","18/8855",0.166666666666667,10.0396825396825,4.98776771786588,0.00304621381438054,0.546383527792934,0.531324537871179,"ID2/TP53/PER1",3
"GO:0048675","axon extension","5/147","61/8855",0.0819672131147541,4.93754879000781,4.00928427865576,0.00332045207057604,0.546383527792934,0.531324537871179,"TNFRSF12A/LIMK1/USP9X/MACF1/BMPR2",5
"GO:0032506","cytokinetic process","4/147","38/8855",0.105263157894737,6.34085213032581,4.2865821183385,0.00347129503082428,0.546383527792934,0.531324537871179,"RAB11A/SPIRE1/ARF1/ALKBH4",4
"GO:0060411","cardiac septum morphogenesis","4/147","38/8855",0.105263157894737,6.34085213032581,4.2865821183385,0.00347129503082428,0.546383527792934,0.531324537871179,"ID2/TBX3/TP53/BMPR2",4
"GO:0009648","photoperiodism","3/147","19/8855",0.157894736842105,9.51127819548872,4.82517366414808,0.00357374221533106,0.546383527792934,0.531324537871179,"ID2/TP53/PER1",3
"GO:0032780","negative regulation of ATP-dependent activity","2/147","6/8855",0.333333333333333,20.0793650793651,6.0738164277777,0.00393004925183913,0.546383527792934,0.531324537871179,"TP53/UBLCP1",2
