annotated_gene_id,gene_name,in_YEATS2KD,in_p53KD,shared
ENSG00000006327,TNFRSF12A,False,True,False
ENSG00000006704,GTF2IRD1,True,False,False
ENSG00000008283,CYB561,False,True,False
ENSG00000010278,CD9,False,True,False
ENSG00000010810,FYN,False,True,False
ENSG00000011007,ELOA,False,True,False
ENSG00000033050,ABCF2,False,True,False
ENSG00000046647,GEMIN8,False,True,False
ENSG00000048544,MRPS10,False,True,False
ENSG00000053254,FOXN3,False,True,False
ENSG00000055147,FAM114A2,False,True,False
ENSG00000057608,GDI2,True,False,False
ENSG00000059804,SLC2A3,False,True,False
ENSG00000063244,U2AF2,False,True,False
ENSG00000064545,TMEM161A,False,True,False
ENSG00000068137,PLEKHH3,False,True,False
ENSG00000068650,ATP11A,True,False,False
ENSG00000071655,MBD3,False,True,False
ENSG00000072736,NFATC3,False,True,False
ENSG00000076984,MAP2K7,False,True,False
ENSG00000078246,TULP3,True,False,False
ENSG00000079462,PAFAH1B3,False,True,False
ENSG00000079616,KIF22,False,True,False
ENSG00000079999,KEAP1,False,True,False
ENSG00000086102,NFX1,True,False,False
ENSG00000087077,TRIP6,False,True,False
ENSG00000091542,ALKBH5,False,True,False
ENSG00000099866,MADCAM1,False,True,False
ENSG00000100226,GTPBP1,False,True,False
ENSG00000100813,ACIN1,False,True,False
ENSG00000101040,ZMYND8,False,True,False
ENSG00000101391,CDK5RAP1,True,False,False
ENSG00000101444,AHCY,False,True,False
ENSG00000103769,RAB11A,False,True,False
ENSG00000104738,MCM4,False,True,False
ENSG00000105227,PRX,False,True,False
ENSG00000105248,YJU2,False,True,False
ENSG00000105339,DENND3,True,False,False
ENSG00000105372,RPS19,False,True,False
ENSG00000106526,ACTR3C,False,True,False
ENSG00000106683,LIMK1,False,True,False
ENSG00000106804,C5,False,True,False
ENSG00000107829,FBXW4,False,True,False
ENSG00000108179,PPIF,False,True,False
ENSG00000108262,GIT1,False,True,False
ENSG00000109475,RPL34,False,True,False
ENSG00000110880,CORO1C,False,True,False
ENSG00000111057,KRT18,False,True,False
ENSG00000111669,TPI1,False,True,False
ENSG00000111676,ATN1,False,True,False
ENSG00000111911,HINT3,False,True,False
ENSG00000112130,RNF8,True,False,False
ENSG00000115310,RTN4,True,False,False
ENSG00000115738,ID2,False,True,False
ENSG00000115904,SOS1,False,True,False
ENSG00000117560,FASLG,True,False,False
ENSG00000118369,USP35,True,False,False
ENSG00000120254,MTHFD1L,True,False,False
ENSG00000120265,PCMT1,False,True,False
ENSG00000120690,ELF1,False,True,False
ENSG00000122515,ZMIZ2,False,True,False
ENSG00000122642,FKBP9,False,True,False
ENSG00000124126,PREX1,False,True,False
ENSG00000124134,KCNS1,True,False,False
ENSG00000124486,USP9X,False,True,False
ENSG00000125459,MSTO1,True,False,False
ENSG00000125520,SLC2A4RG,False,True,False
ENSG00000126522,ASL,False,True,False
ENSG00000126705,AHDC1,False,True,False
ENSG00000127603,MACF1,False,True,False
ENSG00000127804,METTL16,False,True,False
ENSG00000128408,RIBC2,True,False,False
ENSG00000128918,ALDH1A2,True,False,False
ENSG00000129103,SUMF2,False,True,False
ENSG00000130204,TOMM40,False,True,False
ENSG00000130713,EXOSC2,False,True,False
ENSG00000131368,MRPS25,False,True,False
ENSG00000133067,LGR6,True,False,False
ENSG00000133627,ACTR3B,False,True,False
ENSG00000134278,SPIRE1,False,True,False
ENSG00000135111,TBX3,False,True,False
ENSG00000135503,ACVR1B,True,False,False
ENSG00000135960,EDAR,False,True,False
ENSG00000136270,TBRG4,False,True,False
ENSG00000136448,NMT1,False,True,False
ENSG00000136932,TRMO,False,True,False
ENSG00000136938,ANP32B,False,True,False
ENSG00000136982,DSCC1,False,True,False
ENSG00000137154,RPS6,False,True,False
ENSG00000137478,FCHSD2,False,True,False
ENSG00000138071,ACTR2,True,False,False
ENSG00000138430,OLA1,False,True,False
ENSG00000138621,PPCDC,False,True,False
ENSG00000139083,ETV6,False,True,False
ENSG00000140367,UBE2Q2,False,True,False
ENSG00000141293,SKAP1,True,False,False
ENSG00000141510,TP53,False,True,False
ENSG00000141522,ARHGDIA,False,True,False
