sample	annotation	peak_count
p53_0hr	3' UTR	2749
p53_0hr	5' UTR	311
p53_0hr	Distal Intergenic	21424
p53_0hr	Downstream (<=300bp)	109
p53_0hr	Exon (ENST00000005386.8/79657, exon 9 of 17)	1
p53_0hr	Exon (ENST00000006275.8/79090, exon 3 of 6)	1
p53_0hr	Exon (ENST00000019317.8/10928, exon 3 of 10)	1
p53_0hr	Exon (ENST00000164024.5/1951, exon 8 of 35)	1
p53_0hr	Exon (ENST00000170168.9/57455, exon 2 of 16)	1
p53_0hr	Exon (ENST00000170564.7/55094, exon 17 of 20)	1
p53_0hr	Exon (ENST00000173229.7/9423, exon 7 of 7)	1
p53_0hr	Exon (ENST00000182527.4/9697, exon 10 of 11)	1
p53_0hr	Exon (ENST00000182527.4/9697, exon 2 of 11)	1
p53_0hr	Exon (ENST00000192788.6/54887, exon 11 of 21)	1
p53_0hr	Exon (ENST00000200652.4/6583, exon 7 of 10)	1
p53_0hr	Exon (ENST00000205386.8/22798, exon 25 of 34)	1
p53_0hr	Exon (ENST00000215095.11/112755, exon 9 of 10)	1
p53_0hr	Exon (ENST00000216115.3/638, exon 2 of 5)	1
p53_0hr	Exon (ENST00000216115.3/638, exon 3 of 5)	1
p53_0hr	Exon (ENST00000216181.11/4627, exon 13 of 41)	1
p53_0hr	Exon (ENST00000217173.7/22888, exon 4 of 5)	1
p53_0hr	Exon (ENST00000217402.3/128866, exon 4 of 5)	1
p53_0hr	Exon (ENST00000217446.8/128869, exon 4 of 12)	1
p53_0hr	Exon (ENST00000217909.8/203427, exon 3 of 5)	1
p53_0hr	Exon (ENST00000218147.11/63035, exon 11 of 13)	1
p53_0hr	Exon (ENST00000220244.7/57214, exon 12 of 29)	1
p53_0hr	Exon (ENST00000220244.7/57214, exon 6 of 29)	1
p53_0hr	Exon (ENST00000220244.7/57214, exon 7 of 29)	1
p53_0hr	Exon (ENST00000220244.7/57214, exon 8 of 29)	1
p53_0hr	Exon (ENST00000220592.10/27161, exon 3 of 19)	1
p53_0hr	Exon (ENST00000220597.4/55824, exon 8 of 9)	1
p53_0hr	Exon (ENST00000221476.4/1158, exon 5 of 8)	1
p53_0hr	Exon (ENST00000221476.4/1158, exon 6 of 8)	1
p53_0hr	Exon (ENST00000221485.8/57030, exon 11 of 12)	1
p53_0hr	Exon (ENST00000222248.4/6528, exon 5 of 15)	1
p53_0hr	Exon (ENST00000222345.11/23094, exon 12 of 22)	1
p53_0hr	Exon (ENST00000223095.5/5054, exon 5 of 9)	1
p53_0hr	Exon (ENST00000223095.5/5054, exon 7 of 9)	1
p53_0hr	Exon (ENST00000223398.11/7461, exon 6 of 17)	1
p53_0hr	Exon (ENST00000223398.11/7461, exon 8 of 17)	1
p53_0hr	Exon (ENST00000225371.6/8288, exon 10 of 13)	1
p53_0hr	Exon (ENST00000225387.8/1411, exon 4 of 6)	1
p53_0hr	Exon (ENST00000225899.4/3882, exon 5 of 7)	1
p53_0hr	Exon (ENST00000227348.9/56253, exon 2 of 10)	1
p53_0hr	Exon (ENST00000227348.9/56253, exon 4 of 10)	1
p53_0hr	Exon (ENST00000227348.9/56253, exon 5 of 10)	1
p53_0hr	Exon (ENST00000227471.7/81622, exon 11 of 11)	1
p53_0hr	Exon (ENST00000228347.9/55703, exon 6 of 28)	1
