.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
MutP53_Input1_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
MutP53_Input1_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
MutP53_Input2_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
MutP53_Input2_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
P53_H4K16ac_1_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
P53_H4K16ac_1_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
P53_H4K16ac_2_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
P53_H4K16ac_2_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
Scr_H4K16ac_1_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
Scr_H4K16ac_1_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Scr_H4K16ac_2_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.25	1	0.5	0.25	1	1
Scr_H4K16ac_2_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
Scr_Input1_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
Scr_Input1_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
Scr_Input2_S0_L001_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
Scr_Input2_S0_L001_R2_001_val_2	1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
