.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR5944047_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR5944048_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR5944049_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR5944050_1	1	1	1	0.25	0.25	1	0.5	0.5	0.25	1
SRR5944051_1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR5944052_1	1	1	1	0.25	0.5	1	0.5	1	0.5	1
SRR5944053_1	1	1	1	0.25	0.25	1	0.5	1	0.25	1
SRR5944054_1	1	1	1	0.25	1	1	0.5	1	0.5	1
SRR5944055_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR5944056_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR5944057_1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR5944058_1	1	1	1	0.25	1	1	0.5	1	0.5	1
SRR5944059_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR5944060_1	1	1	1	0.25	1	1	0.5	1	1	1
SRR5944061_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR5944062_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944063_1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
SRR5944064_1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
SRR5944065_1	1	1	1	0.25	0.25	1	0.5	1	0.5	1
SRR5944066_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944067_1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR5944068_1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
SRR5944069_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944070_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR5944071_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR5944072_1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR5944073_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944074_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR5944075_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944076_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944077_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944078_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944079_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944080_1	1	1	1	0.25	1	1	0.5	0.25	1	1
SRR5944081_1	1	1	1	0.25	1	1	0.5	1	1	1
SRR5944082_1	1	1	1	0.25	1	1	0.5	1	0.25	1
