"Set","SYMBOL","ENTREZID"
"background","AARS1","16"
"background","ABCB6","10058"
"background","ABCC3","8714"
"background","ABCD1","215"
"background","ABCF2","10061"
"background","ABHD12B","145447"
"background","ABHD6","57406"
"background","ABL1","25"
"background","ACAD9","28976"
"background","ACIN1","22985"
"background","ACO2","50"
"background","ACOT2","10965"
"background","ACOT7","11332"
"background","ACOX3","8310"
"background","ACSS1","84532"
"background","ACTB","60"
"background","ACTL10","170487"
"background","ACTMAP","284325"
"background","ACTN1","87"
"background","ACTR3B","57180"
"background","ACTR3C","653857"
"background","ACVR1B","91"
"background","ACYP1","97"
"background","ADAM8","101"
"background","ADAMTS17","170691"
"background","ADAMTS19","171019"
"background","ADAP1","11033"
"background","ADAR","103"
"background","ADCK1","57143"
"background","ADCY7","113"
"background","ADNP-AS1","101927631"
"background","ADPRHL1","113622"
"background","ADRA1B","147"
"background","ADRM1","11047"
"background","ADSS1","122622"
"background","AEN","64782"
"background","AFAP1","60312"
"background","AFAP1-AS1","84740"
"background","AFF3","3899"
"background","AFG1L","246269"
"background","AFG3L1P","172"
"background","AGAP1","116987"
"background","AGPAT2","10555"
"background","AGPAT3","56894"
"background","AGRN","375790"
"background","AHCY","191"
"background","AHDC1","27245"
"background","AHNAK","79026"
"background","AHNAK2","113146"
"background","AHRR","57491"
"background","AHSA2P","130872"
"background","AIFM2","84883"
"background","AIMP2","7965"
"background","AKAP8","10270"
"background","AKNAD1","254268"
"background","AKR1A1","10327"
"background","AKT1S1","84335"
"background","AKT2","208"
"background","ALDH16A1","126133"
"background","ALDH3A2","224"
"background","ALDH3B1","221"
"background","ALDOA","226"
"background","ALG10","84920"
"background","ALG13","79868"
"background","ALG3","10195"
"background","ALG8","79053"
"background","ALKBH4","54784"
"background","ALKBH5","54890"
"background","AMDHD2","51005"
"background","AMMECR1L","83607"
"background","AMN1","196394"
"background","AMZ2","51321"
"background","AMZ2P1","201283"
"background","ANAPC1","64682"
"background","ANAPC13","25847"
"background","ANAPC15","25906"
"background","ANAPC16","119504"
"background","ANAPC1P2","285074"
"background","ANAPC7","51434"
"background","ANGEL1","23357"
"background","ANKRD10","55608"
"background","ANKRD11","29123"
"background","ANKRD12","23253"
"background","ANKRD13B","124930"
"background","ANKRD13D","338692"
"background","ANKRD23","200539"
"background","ANKRD28","23243"
"background","ANKRD37","353322"
"background","ANKZF1","55139"
"background","ANO1","55107"
"background","ANO7","50636"
"background","ANP32B","10541"
"background","ANXA2","302"
"background","AOPEP","84909"
"background","AP1S1","1174"
"background","AP2S1","1175"
"background","AP5S1","55317"
"background","AP5Z1","9907"
"background","APCDD1","147495"
"background","APEH","327"
"background","APOLD1","81575"
"background","APRT","353"
"background","ARF1","375"
"background","ARF4","378"
"background","ARF6","382"
"background","ARFGAP2","84364"
"background","ARHGAP1","392"
"background","ARHGAP35","2909"
"background","ARHGAP4","393"
"background","ARHGDIA","396"
"background","ARHGEF1","9138"
"background","ARHGEF10L","55160"
"background","ARHGEF16","27237"
