"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","GO_BP","GO:0007166","cell surface receptor signaling pathway","8/16","280/1753",8,0.00153003491420236,0.469719413325625,"KREMEN1;C5;LIMK1;TNFRSF18;FBXW4;FGF3;TP53;TSPAN5"
"loss_down","GO_BP","GO:0000959","mitochondrial RNA metabolic process","2/16","10/1753",2,0.00336941814391686,0.469719413325625,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0071466","cellular response to xenobiotic stimulus","2/16","14/1753",2,0.00666993279931467,0.469719413325625,"EPHX1;TP53"
"loss_down","GO_BP","GO:0061564","axon development","3/16","47/1753",3,0.00792009989618426,0.469719413325625,"KREMEN1;LIMK1;AP5Z1"
"loss_down","GO_BP","GO:0002252","immune effector process","3/16","50/1753",3,0.00941390951140467,0.469719413325625,"C5;LIMK1;TP53"
"loss_down","GO_BP","GO:0002685","regulation of leukocyte migration","2/16","21/1753",2,0.0148290679461738,0.469719413325625,"C5;TNFRSF18"
"loss_down","GO_BP","GO:0033209","tumor necrosis factor-mediated signaling pathway","2/16","22/1753",2,0.0162254533117997,0.469719413325625,"TNFRSF18;TP53"
"loss_down","GO_BP","GO:0022008","neurogenesis","5/16","183/1753",5,0.0196661658623316,0.469719413325625,"KREMEN1;LIMK1;AP5Z1;FGF3;TP53"
"loss_down","GO_BP","GO:0048736","appendage development","2/16","25/1753",2,0.0207386685653215,0.469719413325625,"KREMEN1;FBXW4"
"loss_down","GO_BP","GO:0060173","limb development","2/16","25/1753",2,0.0207386685653215,0.469719413325625,"KREMEN1;FBXW4"
"loss_down","GO_BP","GO:0009056","catabolic process","7/16","347/1753",7,0.0247000091801905,0.469719413325625,"EPHX1;AP5Z1;FBXW4;FASTK;TBRG4;TP53;TSPAN5"
"loss_down","GO_BP","GO:0071356","cellular response to tumor necrosis factor","2/16","32/1753",2,0.0330373678532038,0.469719413325625,"TNFRSF18;TP53"
"loss_down","GO_BP","GO:0034612","response to tumor necrosis factor","2/16","34/1753",2,0.0369728096122654,0.469719413325625,"TNFRSF18;TP53"
