"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","KEGG","hsa04810","Regulation of actin cytoskeleton","5/10","31/927",5,6.7365072365433e-06,0.000485028521031118,"ACTR3B;C5;LIMK1;ACTR3C;FGF3"
"loss_down","KEGG","hsa04666","Fc gamma R-mediated phagosome formation","3/10","16/927",3,0.000471438155398839,0.0169717735943582,"ACTR3B;LIMK1;ACTR3C"
"loss_down","KEGG","hsa05135","Yersinia infection","3/10","22/927",3,0.00125256134302821,0.0300614722326771,"ACTR3B;LIMK1;ACTR3C"
"loss_down","KEGG","hsa05218","Melanoma","2/10","12/927",2,0.00653091417451616,0.0970351864015792,"FGF3;TP53"
"loss_down","KEGG","hsa05131","Shigellosis","3/10","39/927",3,0.00673855461122078,0.0970351864015792,"ACTR3B;ACTR3C;TP53"
"loss_down","KEGG","hsa05100","Bacterial invasion of epithelial cells","2/10","14/927",2,0.00890112649465456,0.106813517935855,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05207","Chemical carcinogenesis - receptor activation","2/10","21/927",2,0.0197254041021013,0.177528636918912,"EPHX1;FGF3"
"loss_down","KEGG","hsa05226","Gastric cancer","2/10","21/927",2,0.0197254041021013,0.177528636918912,"FGF3;TP53"
"loss_down","KEGG","hsa04530","Tight junction","2/10","24/927",2,0.0254784164212411,0.183444598232936,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05224","Breast cancer","2/10","24/927",2,0.0254784164212411,0.183444598232936,"FGF3;TP53"
"loss_down","KEGG","hsa04517","IgSF CAM signaling","2/10","28/927",2,0.0340954379742116,0.21845745426953,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05168","Herpes simplex virus 1 infection","2/10","29/927",2,0.0364095757115883,0.21845745426953,"C5;TP53"
"loss_down","KEGG","hsa04010","MAPK signaling pathway","2/10","33/927",2,0.0462661604837634,0.251351659777384,"FGF3;TP53"
"loss_down","KEGG","hsa05130","Pathogenic Escherichia coli infection","2/10","34/927",2,0.0488739338456025,0.251351659777384,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa04144","Endocytosis","2/10","36/927",2,0.0542531199016055,0.260414975527706,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa04151","PI3K-Akt signaling pathway","2/10","41/927",2,0.0685997122719074,0.286455049437075,"FGF3;TP53"
"loss_down","KEGG","hsa04519","Cadherin signaling","2/10","42/927",2,0.0716137623592688,0.286455049437075,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05132","Salmonella infection","2/10","42/927",2,0.0716137623592688,0.286455049437075,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05217","Basal cell carcinoma","1/10","11/927",1,0.113043194331245,0.321934695910124,"TP53"
"loss_down","KEGG","hsa05230","Central carbon metabolism in cancer","1/10","11/927",1,0.113043194331245,0.321934695910124,"TP53"
"loss_down","KEGG","hsa04137","Mitophagy - animal","1/10","12/927",1,0.122726128890947,0.321934695910124,"TP53"
"loss_down","KEGG","hsa05213","Endometrial cancer","1/10","13/927",1,0.132313821471374,0.321934695910124,"TP53"
"loss_down","KEGG","hsa01524","Platinum drug resistance","1/10","14/927",1,0.141807105700352,0.321934695910124,"TP53"
"loss_down","KEGG","hsa04071","Sphingolipid signaling pathway","1/10","14/927",1,0.141807105700352,0.321934695910124,"TP53"
"loss_down","KEGG","hsa04211","Longevity regulating pathway","1/10","14/927",1,0.141807105700352,0.321934695910124,"TP53"
"loss_down","KEGG","hsa05214","Glioma","1/10","14/927",1,0.141807105700352,0.321934695910124,"TP53"
"loss_down","KEGG","hsa04613","Neutrophil extracellular trap formation","1/10","15/927",1,0.151206808814259,0.321934695910124,"C5"
"loss_down","KEGG","hsa04919","Thyroid hormone signaling pathway","1/10","15/927",1,0.151206808814259,0.321934695910124,"TP53"
"loss_down","KEGG","hsa05223","Non-small cell lung cancer","1/10","15/927",1,0.151206808814259,0.321934695910124,"TP53"
"loss_down","KEGG","hsa04360","Axon guidance","1/10","17/927",1,0.169728748937169,0.321934695910124,"LIMK1"
"loss_down","KEGG","hsa05210","Colorectal cancer","1/10","17/927",1,0.169728748937169,0.321934695910124,"TP53"
"loss_down","KEGG","hsa05215","Prostate cancer","1/10","17/927",1,0.169728748937169,0.321934695910124,"TP53"
"loss_down","KEGG","hsa05200","Pathways in cancer","2/10","70/927",2,0.170814625279927,0.321934695910124,"FGF3;TP53"
"loss_down","KEGG","hsa01522","Endocrine resistance","1/10","18/927",1,0.178852608838958,0.321934695910124,"TP53"
"loss_down","KEGG","hsa04020","Calcium signaling pathway","1/10","18/927",1,0.178852608838958,0.321934695910124,"FGF3"
