"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","Reactome","R-HSA-390466","Chaperonin-mediated protein folding","2/14","13/1215",2,0.00894941908940163,0.424602053428705,"FBXW4;TP53"
"loss_down","Reactome","R-HSA-391251","Protein folding","2/14","15/1215",2,0.0118893232920853,0.424602053428705,"FBXW4;TP53"
"loss_down","Reactome","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","3/14","74/1215",3,0.0485815392874792,0.424602053428705,"KREMEN1;FGF3;TP53"
"loss_down","Reactome","R-HSA-1257604","PIP3 activates AKT signaling","2/14","42/1215",2,0.0816373833354208,0.424602053428705,"FGF3;TP53"
"loss_down","Reactome","R-HSA-9006925","Intracellular signaling by second messengers","2/14","48/1215",2,0.102837796361356,0.424602053428705,"FGF3;TP53"
"loss_down","Reactome","R-HSA-109606","Intrinsic Pathway for Apoptosis","1/14","10/1215",1,0.109818009041166,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-1226099","Signaling by FGFR in disease","1/14","10/1215",1,0.109818009041166,0.424602053428705,"FGF3"
"loss_down","Reactome","R-HSA-1912422","Pre-NOTCH Expression and Processing","1/14","10/1215",1,0.109818009041166,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-349425","Autodegradation of the E3 ubiquitin ligase COP1","1/14","10/1215",1,0.109818009041166,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","1/14","10/1215",1,0.109818009041166,0.424602053428705,"FGF3"
"loss_down","Reactome","R-HSA-69541","Stabilization of p53","1/14","10/1215",1,0.109818009041166,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-977225","Amyloid fiber formation","1/14","10/1215",1,0.109818009041166,0.424602053428705,"TSPAN5"
"loss_down","Reactome","R-HSA-9958863","SLC-mediated transport of amino acids","1/14","10/1215",1,0.109818009041166,0.424602053428705,"SLC43A1"
"loss_down","Reactome","R-HSA-163841","Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation","1/14","12/1215",1,0.130391065765536,0.424602053428705,"SUMF2"
"loss_down","Reactome","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis","1/14","12/1215",1,0.130391065765536,0.424602053428705,"LIMK1"
"loss_down","Reactome","R-HSA-2219528","PI3K/AKT Signaling in Cancer","1/14","12/1215",1,0.130391065765536,0.424602053428705,"FGF3"
"loss_down","Reactome","R-HSA-69563","p53-Dependent G1 DNA Damage Response","1/14","12/1215",1,0.130391065765536,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-69580","p53-Dependent G1/S DNA damage checkpoint","1/14","12/1215",1,0.130391065765536,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-168256","Immune System","5/14","248/1215",5,0.137601112498022,0.424602053428705,"C5;LIMK1;TNFRSF18;FBXW4;TP53"
"loss_down","Reactome","R-HSA-199418","Negative regulation of the PI3K/AKT network","1/14","13/1215",1,0.140511202988548,0.424602053428705,"FGF3"
"loss_down","Reactome","R-HSA-211859","Biological oxidations","1/14","13/1215",1,0.140511202988548,0.424602053428705,"EPHX1"
"loss_down","Reactome","R-HSA-9645723","Diseases of programmed cell death","1/14","13/1215",1,0.140511202988548,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-168249","Innate Immune System","3/14","117/1215",3,0.144820873650316,0.424602053428705,"C5;LIMK1;TP53"
"loss_down","Reactome","R-HSA-190236","Signaling by FGFR","1/14","14/1215",1,0.150521887812308,0.424602053428705,"FGF3"
"loss_down","Reactome","R-HSA-418594","G alpha (i) signalling events","1/14","14/1215",1,0.150521887812308,0.424602053428705,"C5"
"loss_down","Reactome","R-HSA-5654738","Signaling by FGFR2","1/14","14/1215",1,0.150521887812308,0.424602053428705,"FGF3"
"loss_down","Reactome","R-HSA-5693565","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","1/14","14/1215",1,0.150521887812308,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","1/14","14/1215",1,0.150521887812308,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-69473","G2/M DNA damage checkpoint","1/14","14/1215",1,0.150521887812308,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","1/14","15/1215",1,0.160424213849467,0.424602053428705,"TNFRSF18"
"loss_down","Reactome","R-HSA-5693606","DNA Double Strand Break Response","1/14","15/1215",1,0.160424213849467,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","1/14","15/1215",1,0.160424213849467,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-9020702","Interleukin-1 signaling","1/14","15/1215",1,0.160424213849467,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","1/14","16/1215",1,0.17021926468789,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","1/14","16/1215",1,0.17021926468789,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","1/14","16/1215",1,0.17021926468789,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-975871","MyD88 cascade initiated on plasma membrane","1/14","16/1215",1,0.17021926468789,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-9833482","PKR-mediated signaling","1/14","16/1215",1,0.17021926468789,0.424602053428705,"TP53"
"loss_down","Reactome","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","1/14","17/1215",1,0.179908113974269,0.424602053428705,"TP53"
