"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:0007032","endosome organization","1/5","10/1753",1,0.0282308292495992,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0002763","positive regulation of myeloid leukocyte differentiation","1/5","11/1753",1,0.0310184631301222,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0010631","epithelial cell migration","1/5","11/1753",1,0.0310184631301222,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0090130","tissue migration","1/5","11/1753",1,0.0310184631301222,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0090132","epithelium migration","1/5","11/1753",1,0.0310184631301222,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0097581","lamellipodium organization","1/5","11/1753",1,0.0310184631301222,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0030316","osteoclast differentiation","1/5","13/1753",1,0.0365745389321862,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0034446","substrate adhesion-dependent cell spreading","1/5","13/1753",1,0.0365745389321862,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0051893","regulation of focal adhesion assembly","1/5","13/1753",1,0.0365745389321862,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0090109","regulation of cell-substrate junction assembly","1/5","13/1753",1,0.0365745389321862,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0006469","negative regulation of protein kinase activity","1/5","14/1753",1,0.039343002900772,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0002684","positive regulation of immune system process","2/5","120/1753",2,0.0405376201089485,0.297964898301558,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0001933","negative regulation of protein phosphorylation","1/5","15/1753",1,0.0421050989246341,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0002761","regulation of myeloid leukocyte differentiation","1/5","15/1753",1,0.0421050989246341,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0006970","response to osmotic stress","1/5","15/1753",1,0.0421050989246341,0.297964898301558,"TSC22D2"
"loss_up","GO_BP","GO:0033673","negative regulation of kinase activity","1/5","15/1753",1,0.0421050989246341,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0007044","cell-substrate junction assembly","1/5","16/1753",1,0.0448608379956218,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0042326","negative regulation of phosphorylation","1/5","16/1753",1,0.0448608379956218,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0043547","positive regulation of GTPase activity","1/5","16/1753",1,0.0448608379956218,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0048041","focal adhesion assembly","1/5","16/1753",1,0.0448608379956218,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0051345","positive regulation of hydrolase activity","1/5","16/1753",1,0.0448608379956218,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0150116","regulation of cell-substrate junction organization","1/5","16/1753",1,0.0448608379956218,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0050852","T cell receptor signaling pathway","1/5","17/1753",1,0.0476102310929287,0.297964898301558,"ELF1"
"loss_up","GO_BP","GO:0006357","regulation of transcription by RNA polymerase II","3/5","327/1753",3,0.0478540661853201,0.297964898301558,"TSC22D2;ETV6;ELF1"
"loss_up","GO_BP","GO:0030097","hemopoiesis","2/5","133/1753",2,0.0490763173683352,0.297964898301558,"ETV6;CORO1C"
"loss_up","GO_BP","GO:0097529","myeloid leukocyte migration","1/5","18/1753",1,0.0503532891830988,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0071674","mononuclear cell migration","1/5","19/1753",1,0.053090023220035,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0150115","cell-substrate junction organization","1/5","19/1753",1,0.053090023220035,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0006366","transcription by RNA polymerase II","3/5","345/1753",3,0.0552363418785371,0.297964898301558,"TSC22D2;ETV6;ELF1"
"loss_up","GO_BP","GO:0001952","regulation of cell-matrix adhesion","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0006909","phagocytosis","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0030595","leukocyte chemotaxis","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0043087","regulation of GTPase activity","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0045639","positive regulation of myeloid cell differentiation","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0051348","negative regulation of transferase activity","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"CORO1C"
"loss_up","GO_BP","GO:0072089","stem cell proliferation","1/5","20/1753",1,0.0558204441450061,0.297964898301558,"ETV6"
"loss_up","GO_BP","GO:0007292","female gamete generation","1/5","22/1753",1,0.0612623903609995,0.297964898301558,"ETV6"
"loss_up","GO_BP","GO:0051336","regulation of hydrolase activity","1/5","22/1753",1,0.0612623903609995,0.297964898301558,"CORO1C"
