"Gene_set","Display_name","Database","Foreground_symbols","Mapped_symbols","Foreground_Entrez_in_universe","Background_symbols","Background_mapped_symbols","Background_Entrez_IDs","Tested_pathways","Significant_pathways","FDR_threshold","Status"
"loss_down","H4K16ac loss + RNA down","GO_BP",20,20,20,2087,2073,2073,686,0,0.05,"completed"
"loss_down","H4K16ac loss + RNA down","KEGG",20,20,20,2087,2073,2073,72,3,0.05,"completed"
"loss_down","H4K16ac loss + RNA down","Reactome",20,20,20,2087,2073,2073,121,0,0.05,"completed"
"gain_up","H4K16ac gain + RNA up","GO_BP",0,0,0,2087,2073,2073,0,0,0.05,"empty foreground"
"gain_up","H4K16ac gain + RNA up","KEGG",0,0,0,2087,2073,2073,0,0,0.05,"empty foreground"
"gain_up","H4K16ac gain + RNA up","Reactome",0,0,0,2087,2073,2073,0,0,0.05,"empty foreground"
"loss_up","H4K16ac loss + RNA up","GO_BP",6,6,6,2087,2073,2073,224,0,0.05,"completed"
"loss_up","H4K16ac loss + RNA up","KEGG",6,6,6,2087,2073,2073,1,1,0.05,"completed"
"loss_up","H4K16ac loss + RNA up","Reactome",6,6,6,2087,2073,2073,6,0,0.05,"completed"
"gain_down","H4K16ac gain + RNA down","GO_BP",0,0,0,2087,2073,2073,0,0,0.05,"empty foreground"
"gain_down","H4K16ac gain + RNA down","KEGG",0,0,0,2087,2073,2073,0,0,0.05,"empty foreground"
"gain_down","H4K16ac gain + RNA down","Reactome",0,0,0,2087,2073,2073,0,0,0.05,"empty foreground"
