"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","GO_BP","GO:0002252","immune effector process","3/11","46/1522",3,0.0035992309373151,0.356313560879868,"C5;LIMK1;TP53"
"loss_down","GO_BP","GO:0007166","cell surface receptor signaling pathway","5/11","225/1522",5,0.0146028699893832,0.356313560879868,"C5;LIMK1;FBXW4;FGF3;TP53"
"loss_down","GO_BP","GO:0022008","neurogenesis","4/11","150/1522",4,0.017232303983746,0.356313560879868,"LIMK1;AP5Z1;FGF3;TP53"
"loss_down","GO_BP","GO:0140053","mitochondrial gene expression","2/11","31/1522",2,0.0197013793600849,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0043488","regulation of mRNA stability","2/11","32/1522",2,0.0209318939133327,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0043487","regulation of RNA stability","2/11","34/1522",2,0.0234885508559694,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0061564","axon development","2/11","36/1522",2,0.0261698164152206,0.356313560879868,"LIMK1;AP5Z1"
"loss_down","GO_BP","GO:0050767","regulation of neurogenesis","2/11","37/1522",2,0.0275561053710432,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0061013","regulation of mRNA catabolic process","2/11","37/1522",2,0.0275561053710432,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0051960","regulation of nervous system development","2/11","41/1522",2,0.0333958182661148,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0010608","post-transcriptional regulation of gene expression","3/11","104/1522",3,0.0341823223756618,0.356313560879868,"FASTK;TBRG4;TP53"
"loss_down","GO_BP","GO:0071705","nitrogen compound transport","4/11","187/1522",4,0.0362734472147075,0.356313560879868,"SLC43A1;PDIA4;AP5Z1;TP53"
"loss_down","GO_BP","GO:0034976","response to endoplasmic reticulum stress","2/11","43/1522",2,0.0364866299510688,0.356313560879868,"PDIA4;TP53"
"loss_down","GO_BP","GO:0016236","macroautophagy","2/11","44/1522",2,0.0380733543014947,0.356313560879868,"AP5Z1;TP53"
"loss_down","GO_BP","GO:0001558","regulation of cell growth","2/11","47/1522",2,0.0429940350829375,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0006402","mRNA catabolic process","2/11","47/1522",2,0.0429940350829375,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0007264","small GTPase-mediated signal transduction","2/11","47/1522",2,0.0429940350829375,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0009057","macromolecule catabolic process","4/11","197/1522",4,0.0430094834886904,0.356313560879868,"AP5Z1;FBXW4;FASTK;TBRG4"
"loss_down","GO_BP","GO:0009056","catabolic process","5/11","299/1522",5,0.0464273394899742,0.356313560879868,"AP5Z1;FBXW4;FASTK;TBRG4;TP53"
"loss_down","GO_BP","GO:0044089","positive regulation of cellular component biogenesis","2/11","51/1522",2,0.0499149479272119,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0048699","generation of neurons","3/11","121/1522",3,0.0504501139300713,0.356313560879868,"LIMK1;AP5Z1;TP53"
"loss_down","GO_BP","GO:0002253","activation of immune response","2/11","53/1522",2,0.0535228447715339,0.356313560879868,"C5;LIMK1"
"loss_down","GO_BP","GO:0009653","anatomical structure morphogenesis","4/11","211/1522",4,0.0536387031980729,0.356313560879868,"LIMK1;FBXW4;FGF3;TP53"
"loss_down","GO_BP","GO:0007399","nervous system development","4/11","213/1522",4,0.055272816440935,0.356313560879868,"LIMK1;AP5Z1;FGF3;TP53"
"loss_down","GO_BP","GO:0007507","heart development","2/11","54/1522",2,0.0553623505534432,0.356313560879868,"FGF3;TP53"
"loss_down","GO_BP","GO:0016049","cell growth","2/11","54/1522",2,0.0553623505534432,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0048598","embryonic morphogenesis","2/11","54/1522",2,0.0553623505534432,0.356313560879868,"FBXW4;TP53"
"loss_down","GO_BP","GO:0016071","mRNA metabolic process","3/11","131/1522",3,0.0615840336884078,0.356313560879868,"FASTK;TBRG4;TP53"
"loss_down","GO_BP","GO:0006401","RNA catabolic process","2/11","60/1522",2,0.0668743967362988,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0048589","developmental growth","2/11","60/1522",2,0.0668743967362988,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0048584","positive regulation of response to stimulus","4/11","228/1522",4,0.0684579934704041,0.356313560879868,"C5;LIMK1;FGF3;TP53"
"loss_down","GO_BP","GO:1903311","regulation of mRNA metabolic process","2/11","61/1522",2,0.0688689367569548,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0002286","T cell activation involved in immune response","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0003279","cardiac septum development","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0009303","rRNA transcription","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0010332","response to gamma radiation","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0010657","muscle cell apoptotic process","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0010906","regulation of glucose metabolic process","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0015804","neutral amino acid transport","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"SLC43A1"
"loss_down","GO_BP","GO:0019320","hexose catabolic process","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0035282","segmentation","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0044773","mitotic DNA damage checkpoint signaling","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0046365","monosaccharide catabolic process","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0060966","regulation of gene silencing by regulatory ncRNA","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0061351","neural precursor cell proliferation","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0071466","cellular response to xenobiotic stimulus","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0071675","regulation of mononuclear cell migration","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"C5"
"loss_down","GO_BP","GO:2000106","regulation of leukocyte apoptotic process","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","1/11","10/1522",1,0.0701685131412467,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0040008","regulation of growth","2/11","62/1522",2,0.0708842276388797,0.356313560879868,"LIMK1;TP53"
"loss_down","GO_BP","GO:0141188","nucleic acid catabolic process","2/11","62/1522",2,0.0708842276388797,0.356313560879868,"FASTK;TBRG4"
"loss_down","GO_BP","GO:0006955","immune response","3/11","139/1522",3,0.0713026383123605,0.356313560879868,"C5;LIMK1;TP53"
"loss_down","GO_BP","GO:0006302","double-strand break repair","2/11","63/1522",2,0.072919929394098,0.356313560879868,"AP5Z1;TP53"
"loss_down","GO_BP","GO:0015031","protein transport","3/11","142/1522",3,0.075128782896409,0.356313560879868,"PDIA4;AP5Z1;TP53"
"loss_down","GO_BP","GO:0000077","DNA damage checkpoint signaling","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0003206","cardiac chamber morphogenesis","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0006140","regulation of nucleotide metabolic process","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0014013","regulation of gliogenesis","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
"loss_down","GO_BP","GO:0016482","cytosolic transport","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"AP5Z1"
"loss_down","GO_BP","GO:0030330","DNA damage response, signal transduction by p53 class mediator","1/11","11/1522",1,0.0769331602017267,0.356313560879868,"TP53"
