"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","KEGG","hsa04810","Regulation of actin cytoskeleton","5/8","25/801",5,1.02895479188374e-06,6.79110162643266e-05,"ACTR3B;C5;LIMK1;ACTR3C;FGF3"
"loss_down","KEGG","hsa04666","Fc gamma R-mediated phagosome formation","3/8","12/801",3,0.000138366479454449,0.00456609382199683,"ACTR3B;LIMK1;ACTR3C"
"loss_down","KEGG","hsa05135","Yersinia infection","3/8","15/801",3,0.000282124153774691,0.00620673138304321,"ACTR3B;LIMK1;ACTR3C"
"loss_down","KEGG","hsa05131","Shigellosis","3/8","30/801",3,0.00234351272657214,0.0386679599884403,"ACTR3B;ACTR3C;TP53"
"loss_down","KEGG","hsa05100","Bacterial invasion of epithelial cells","2/8","11/801",2,0.00459396181959259,0.0606402960186222,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05226","Gastric cancer","2/8","15/801",2,0.00859543360077767,0.0945497696085544,"FGF3;TP53"
"loss_down","KEGG","hsa05224","Breast cancer","2/8","18/801",2,0.0123368315362413,0.116318697341704,"FGF3;TP53"
"loss_down","KEGG","hsa04010","MAPK signaling pathway","2/8","23/801",2,0.0198919141574966,0.140101206066698,"FGF3;TP53"
"loss_down","KEGG","hsa04530","Tight junction","2/8","23/801",2,0.0198919141574966,0.140101206066698,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa04517","IgSF CAM signaling","2/8","24/801",2,0.0215909669234358,0.140101206066698,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05168","Herpes simplex virus 1 infection","2/8","25/801",2,0.0233502010111163,0.140101206066698,"C5;TP53"
"loss_down","KEGG","hsa04144","Endocytosis","2/8","28/801",2,0.0289785538931963,0.15938204641258,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05130","Pathogenic Escherichia coli infection","2/8","30/801",2,0.0330127437277845,0.165525185732596,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa04519","Cadherin signaling","2/8","31/801",2,0.0351114030341871,0.165525185732596,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa04151","PI3K-Akt signaling pathway","2/8","34/801",2,0.0417218258780315,0.17210253174688,"FGF3;TP53"
"loss_down","KEGG","hsa05132","Salmonella infection","2/8","34/801",2,0.0417218258780315,0.17210253174688,"ACTR3B;ACTR3C"
"loss_down","KEGG","hsa05200","Pathways in cancer","2/8","51/801",2,0.0869859806021621,0.250391382508897,"FGF3;TP53"
"loss_down","KEGG","hsa04020","Calcium signaling pathway","1/8","10/801",1,0.0960204636042455,0.250391382508897,"FGF3"
"loss_down","KEGG","hsa04015","Rap1 signaling pathway","1/8","11/801",1,0.10516311378271,0.250391382508897,"FGF3"
"loss_down","KEGG","hsa04071","Sphingolipid signaling pathway","1/8","11/801",1,0.10516311378271,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04137","Mitophagy - animal","1/8","11/801",1,0.10516311378271,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05214","Glioma","1/8","11/801",1,0.10516311378271,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04613","Neutrophil extracellular trap formation","1/8","12/801",1,0.11422475313681,0.250391382508897,"C5"
"loss_down","KEGG","hsa04211","Longevity regulating pathway","1/8","13/801",1,0.123205997718439,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04360","Axon guidance","1/8","13/801",1,0.123205997718439,0.250391382508897,"LIMK1"
"loss_down","KEGG","hsa04919","Thyroid hormone signaling pathway","1/8","13/801",1,0.123205997718439,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05210","Colorectal cancer","1/8","13/801",1,0.123205997718439,0.250391382508897,"TP53"
"loss_down","KEGG","hsa01524","Platinum drug resistance","1/8","14/801",1,0.132107459670536,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05223","Non-small cell lung cancer","1/8","14/801",1,0.132107459670536,0.250391382508897,"TP53"
"loss_down","KEGG","hsa01522","Endocrine resistance","1/8","15/801",1,0.140929747246948,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04310","Wnt signaling pathway","1/8","15/801",1,0.140929747246948,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04936","Alcoholic liver disease","1/8","15/801",1,0.140929747246948,0.250391382508897,"C5"
"loss_down","KEGG","hsa05207","Chemical carcinogenesis - receptor activation","1/8","15/801",1,0.140929747246948,0.250391382508897,"FGF3"
"loss_down","KEGG","hsa05215","Prostate cancer","1/8","15/801",1,0.140929747246948,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04722","Neurotrophin signaling pathway","1/8","16/801",1,0.14967346483222,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05212","Pancreatic cancer","1/8","16/801",1,0.14967346483222,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04014","Ras signaling pathway","1/8","17/801",1,0.158339212961319,0.250391382508897,"FGF3"
"loss_down","KEGG","hsa05162","Measles","1/8","17/801",1,0.158339212961319,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05220","Chronic myeloid leukemia","1/8","17/801",1,0.158339212961319,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05222","Small cell lung cancer","1/8","17/801",1,0.158339212961319,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05418","Fluid shear stress and atherosclerosis","1/8","17/801",1,0.158339212961319,0.250391382508897,"TP53"
"loss_down","KEGG","hsa04115","p53 signaling pathway","1/8","18/801",1,0.166927588339264,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05167","Kaposi sarcoma-associated herpesvirus infection","1/8","18/801",1,0.166927588339264,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05205","Proteoglycans in cancer","1/8","18/801",1,0.166927588339264,0.250391382508897,"TP53"
"loss_down","KEGG","hsa05161","Hepatitis B","1/8","20/801",1,0.183874588629391,0.263820061946517,"TP53"
"loss_down","KEGG","hsa05417","Lipid and atherosclerosis","1/8","20/801",1,0.183874588629391,0.263820061946517,"TP53"
"loss_down","KEGG","hsa04218","Cellular senescence","1/8","22/801",1,0.200519163485539,0.264685295800912,"TP53"
"loss_down","KEGG","hsa05160","Hepatitis C","1/8","22/801",1,0.200519163485539,0.264685295800912,"TP53"
