"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_down","Reactome","R-HSA-390466","Chaperonin-mediated protein folding","2/10","13/1064",2,0.00587221977295835,0.332927810386857,"FBXW4;TP53"
"loss_down","Reactome","R-HSA-391251","Protein folding","2/10","15/1064",2,0.00782565505096559,0.332927810386857,"FBXW4;TP53"
"loss_down","Reactome","R-HSA-1257604","PIP3 activates AKT signaling","2/10","36/1064",2,0.0422375650990498,0.332927810386857,"FGF3;TP53"
"loss_down","Reactome","R-HSA-9006925","Intracellular signaling by second messengers","2/10","39/1064",2,0.0489335763335302,0.332927810386857,"FGF3;TP53"
"loss_down","Reactome","R-HSA-168249","Innate Immune System","3/10","97/1064",3,0.0549565104256641,0.332927810386857,"C5;LIMK1;TP53"
"loss_down","Reactome","R-HSA-109606","Intrinsic Pathway for Apoptosis","1/10","10/1064",1,0.0904752676982243,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-2029480","Fcgamma receptor (FCGR) dependent phagocytosis","1/10","10/1064",1,0.0904752676982243,0.332927810386857,"LIMK1"
"loss_down","Reactome","R-HSA-418594","G alpha (i) signalling events","1/10","10/1064",1,0.0904752676982243,0.332927810386857,"C5"
"loss_down","Reactome","R-HSA-163841","Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"SUMF2"
"loss_down","Reactome","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-69563","p53-Dependent G1 DNA Damage Response","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-69580","p53-Dependent G1/S DNA damage checkpoint","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-975155","MyD88 dependent cascade initiated on endosome","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-975871","MyD88 cascade initiated on plasma membrane","1/10","11/1064",1,0.0991045346081086,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","2/10","60/1064",2,0.1051422428982,0.332927810386857,"FGF3;TP53"
"loss_down","Reactome","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168138","Toll Like Receptor 9 (TLR9) Cascade","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168179","Toll Like Receptor TLR1:TLR2 Cascade","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168188","Toll Like Receptor TLR6:TLR2 Cascade","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-181438","Toll Like Receptor 2 (TLR2) Cascade","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-190236","Signaling by FGFR","1/10","12/1064",1,0.107660047099959,0.332927810386857,"FGF3"
"loss_down","Reactome","R-HSA-5654738","Signaling by FGFR2","1/10","12/1064",1,0.107660047099959,0.332927810386857,"FGF3"
"loss_down","Reactome","R-HSA-5693565","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-5693606","DNA Double Strand Break Response","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-8878159","Transcriptional regulation by RUNX3","1/10","12/1064",1,0.107660047099959,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-2559580","Oxidative Stress Induced Senescence","1/10","13/1064",1,0.116142366043876,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","1/10","13/1064",1,0.116142366043876,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-6804756","Regulation of TP53 Activity through Phosphorylation","1/10","13/1064",1,0.116142366043876,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-9020702","Interleukin-1 signaling","1/10","13/1064",1,0.116142366043876,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-9645723","Diseases of programmed cell death","1/10","13/1064",1,0.116142366043876,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168256","Immune System","4/10","214/1064",4,0.121869607255155,0.332927810386857,"C5;LIMK1;FBXW4;TP53"
"loss_down","Reactome","R-HSA-166166","MyD88-independent TLR4 cascade","1/10","14/1064",1,0.124552048574381,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168164","Toll Like Receptor 3 (TLR3) Cascade","1/10","14/1064",1,0.124552048574381,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-6791312","TP53 Regulates Transcription of Cell Cycle Genes","1/10","14/1064",1,0.124552048574381,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-69473","G2/M DNA damage checkpoint","1/10","14/1064",1,0.124552048574381,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-937061","TRIF (TICAM1)-mediated TLR4 signaling","1/10","14/1064",1,0.124552048574381,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-166016","Toll Like Receptor 4 (TLR4) Cascade","1/10","15/1064",1,0.132889648111769,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-69615","G1/S DNA Damage Checkpoints","1/10","15/1064",1,0.132889648111769,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-446652","Interleukin-1 family signaling","1/10","16/1064",1,0.141155714383344,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-8943724","Regulation of PTEN gene transcription","1/10","16/1064",1,0.141155714383344,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-9833482","PKR-mediated signaling","1/10","16/1064",1,0.141155714383344,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-168898","Toll-like Receptor Cascades","1/10","17/1064",1,0.149350793444571,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","1/10","17/1064",1,0.149350793444571,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-9700206","Signaling by ALK in cancer","1/10","17/1064",1,0.149350793444571,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-9725370","Signaling by ALK fusions and activated point mutants","1/10","17/1064",1,0.149350793444571,0.332927810386857,"TP53"
"loss_down","Reactome","R-HSA-5628897","TP53 Regulates Metabolic Genes","1/10","18/1064",1,0.157475427700115,0.343874913549231,"TP53"
"loss_down","Reactome","R-HSA-162582","Signal Transduction","4/10","237/1064",4,0.16328269767695,0.34728875850885,"C5;LIMK1;FGF3;TP53"
"loss_down","Reactome","R-HSA-9816359","Maternal to zygotic transition (MZT)","1/10","19/1064",1,0.165530155924779,0.34728875850885,"TP53"
"loss_down","Reactome","R-HSA-196854","Metabolism of vitamins and cofactors","1/10","20/1064",1,0.17351551328435,0.349676358667602,"HPDL"
"loss_down","Reactome","R-HSA-983231","Factors involved in megakaryocyte development and platelet production","1/10","21/1064",1,0.18143203135634,0.349676358667602,"TP53"
"loss_down","Reactome","R-HSA-109581","Apoptosis","1/10","22/1064",1,0.189280238150622,0.349676358667602,"TP53"
"loss_down","Reactome","R-HSA-157118","Signaling by NOTCH","1/10","22/1064",1,0.189280238150622,0.349676358667602,"TP53"
"loss_down","Reactome","R-HSA-425407","SLC-mediated transmembrane transport","1/10","23/1064",1,0.197060658129983,0.349676358667602,"SLC43A1"
"loss_down","Reactome","R-HSA-5357801","Programmed Cell Death","1/10","23/1064",1,0.197060658129983,0.349676358667602,"TP53"
"loss_down","Reactome","R-HSA-5689880","Ub-specific processing proteases","1/10","23/1064",1,0.197060658129983,0.349676358667602,"TP53"
"loss_down","Reactome","R-HSA-388396","GPCR downstream signalling","1/10","24/1064",1,0.204773812230559,0.349676358667602,"C5"
"loss_down","Reactome","R-HSA-597592","Post-translational protein modification","3/10","170/1064",3,0.205063498291289,0.349676358667602,"FBXW4;SUMF2;TP53"
"loss_down","Reactome","R-HSA-2559583","Cellular Senescence","1/10","25/1064",1,0.212420217882188,0.349676358667602,"TP53"
