"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:0002684","positive regulation of immune system process","2/3","98/1522",2,0.0118002982793079,0.192823313249424,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0002763","positive regulation of myeloid leukocyte differentiation","1/3","10/1522",1,0.0195944787362431,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0007032","endosome organization","1/3","10/1522",1,0.0195944787362431,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0097581","lamellipodium organization","1/3","10/1522",1,0.0195944787362431,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0007044","cell-substrate junction assembly","1/3","11/1522",1,0.0215397277863694,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0030316","osteoclast differentiation","1/3","11/1522",1,0.0215397277863694,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0048041","focal adhesion assembly","1/3","11/1522",1,0.0215397277863694,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0034446","substrate adhesion-dependent cell spreading","1/3","12/1522",1,0.0234824020528426,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0150116","regulation of cell-substrate junction organization","1/3","12/1522",1,0.0234824020528426,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0002761","regulation of myeloid leukocyte differentiation","1/3","13/1522",1,0.025422503240817,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0006469","negative regulation of protein kinase activity","1/3","13/1522",1,0.025422503240817,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0006970","response to osmotic stress","1/3","13/1522",1,0.025422503240817,0.192823313249424,"TSC22D2"
"loss_up","GO_BP","GO:0043547","positive regulation of GTPase activity","1/3","13/1522",1,0.025422503240817,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0051345","positive regulation of hydrolase activity","1/3","13/1522",1,0.025422503240817,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0002682","regulation of immune system process","2/3","147/1522",2,0.026044175375574,0.192823313249424,"CORO1C;ELF1"
"loss_up","GO_BP","GO:0001933","negative regulation of protein phosphorylation","1/3","14/1522",1,0.0273600330554475,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0001952","regulation of cell-matrix adhesion","1/3","14/1522",1,0.0273600330554475,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0033673","negative regulation of kinase activity","1/3","14/1522",1,0.0273600330554475,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0050852","T cell receptor signaling pathway","1/3","14/1522",1,0.0273600330554475,0.192823313249424,"ELF1"
"loss_up","GO_BP","GO:0150115","cell-substrate junction organization","1/3","14/1522",1,0.0273600330554475,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0042326","negative regulation of phosphorylation","1/3","15/1522",1,0.0292949932018889,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0097529","myeloid leukocyte migration","1/3","15/1522",1,0.0292949932018889,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0006909","phagocytosis","1/3","16/1522",1,0.0312273853852961,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0030595","leukocyte chemotaxis","1/3","16/1522",1,0.0312273853852961,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0043087","regulation of GTPase activity","1/3","16/1522",1,0.0312273853852961,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0071674","mononuclear cell migration","1/3","16/1522",1,0.0312273853852961,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0045639","positive regulation of myeloid cell differentiation","1/3","18/1522",1,0.0350844726836256,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0050851","antigen receptor-mediated signaling pathway","1/3","18/1522",1,0.0350844726836256,0.192823313249424,"ELF1"
"loss_up","GO_BP","GO:0051336","regulation of hydrolase activity","1/3","18/1522",1,0.0350844726836256,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0051348","negative regulation of transferase activity","1/3","18/1522",1,0.0350844726836256,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:1902107","positive regulation of leukocyte differentiation","1/3","19/1522",1,0.0370091712088577,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:1903708","positive regulation of hemopoiesis","1/3","19/1522",1,0.0370091712088577,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0010810","regulation of cell-substrate adhesion","1/3","20/1522",1,0.0389313085916745,0.192823313249424,"CORO1C"
