"Gene_set","Display_name","Database","Foreground_symbols","Mapped_symbols","Foreground_Entrez_in_universe","Background_symbols","Background_mapped_symbols","Background_Entrez_IDs","Tested_pathways","Significant_pathways","FDR_threshold","Status"
"loss_down","H4K16ac loss + RNA down","GO_BP",14,14,14,1812,1800,1800,615,0,0.05,"completed"
"loss_down","H4K16ac loss + RNA down","KEGG",14,14,14,1812,1800,1800,66,4,0.05,"completed"
"loss_down","H4K16ac loss + RNA down","Reactome",14,14,14,1812,1800,1800,107,0,0.05,"completed"
"gain_up","H4K16ac gain + RNA up","GO_BP",0,0,0,1812,1800,1800,0,0,0.05,"empty foreground"
"gain_up","H4K16ac gain + RNA up","KEGG",0,0,0,1812,1800,1800,0,0,0.05,"empty foreground"
"gain_up","H4K16ac gain + RNA up","Reactome",0,0,0,1812,1800,1800,0,0,0.05,"empty foreground"
"loss_up","H4K16ac loss + RNA up","GO_BP",4,4,4,1812,1800,1800,206,0,0.05,"completed"
"loss_up","H4K16ac loss + RNA up","KEGG",4,4,4,1812,1800,1800,0,0,0.05,"completed"
"loss_up","H4K16ac loss + RNA up","Reactome",4,4,4,1812,1800,1800,4,0,0.05,"completed"
"gain_down","H4K16ac gain + RNA down","GO_BP",0,0,0,1812,1800,1800,0,0,0.05,"empty foreground"
"gain_down","H4K16ac gain + RNA down","KEGG",0,0,0,1812,1800,1800,0,0,0.05,"empty foreground"
"gain_down","H4K16ac gain + RNA down","Reactome",0,0,0,1812,1800,1800,0,0,0.05,"empty foreground"
