"Gene","RNA_log2FC","RNA_padj"
"FGD5",-3.37006307828515,2.73312712109327e-201
"TP53",-3.49646254394052,1.93668204335291e-175
"GDA",3.55925506482357,3.10528095902285e-151
"PPFIBP1",1.67103388184898,4.87949931870715e-144
"JAG2",-2.99978998647789,1.34452753835667e-141
"NTSR1",-3.30780337030468,4.0614544454459e-138
"PDGFA",-2.55759172437341,3.02630114274648e-137
"INHBB",-4.80355493935359,1.26743440836453e-135
"EMP1",1.87426904649765,4.37118276811639e-131
"ALDH1A3",-2.18652135235161,3.85336297470511e-126
"ATP9A",-1.89206143744015,1.13962008430238e-121
"NCAM1",-3.45294498424359,4.28914200641166e-120
"CD8B2",-4.70302644905438,1.20651281022899e-115
"GPRC5A",2.0372402079865,6.3253037049796e-109
"LIMK1",-1.97746705262862,1.34265024195215e-105
"ENTPD8",-3.52336589631243,1.75011043498665e-104
"EEPD1",-3.24274883738897,2.66344236076923e-102
"MAOA",5.95520124813504,2.29635091662539e-101
"EPAS1",-1.59228347970364,4.2159955726383e-101
"UNC13D",2.03756351116736,9.37943009771067e-101
"DUSP6",1.61901275522105,2.11645543061202e-100
"SDK1",-3.24052786476516,3.48526148716386e-100
"SULF2",-2.43533794806944,7.51718022023214e-100
"PTK7",-2.27412438003443,3.35451890989906e-92
"SCN5A",-2.22374858411431,2.91942489374824e-91
"CEMIP",-3.11631178069832,3.56263497694278e-91
"GABARAPL1",1.84750293997893,4.66790790997319e-85
"KRAS",1.57639996857305,2.31545047933965e-84
"KCNJ5",-2.02369752228057,5.29964807559961e-84
"NES",-2.02717746375744,5.87445356014531e-84
"ST14",-1.85893602878773,4.32764403812218e-83
"SERINC2",-1.40115348946705,2.58996602116276e-77
"STMN3",-2.32603281499251,4.8582298858429e-77
"ABCA2",-2.21477488648162,1.9734871075249e-74
"STK38L",1.69508351655213,2.26119077140294e-74
"ADRA2C",-1.77721180401046,1.76756527612257e-73
"LRP2",-4.45940590947134,6.44804568319434e-73
"ARHGAP4",-1.76064206041813,3.28706375754117e-72
"SPARC",7.00167549676022,7.23986922920091e-72
"CLIP2",-1.73066289760717,1.81723560912781e-71
"WWC3",-2.76300939378531,1.26548054614268e-70
"GAS6",-2.6252878794511,6.94820526267426e-70
"ADAMTSL2",-2.49349699074699,1.41760215594215e-68
"SYK",-1.41408369249877,1.35384540749016e-67
"PROX1",-2.33824626089291,4.86498367848457e-67
"PKP2",1.39403559802491,5.90055739396311e-67
"CARD11",-2.0864516639812,8.17117276937083e-67
"CD82",-2.22277419520952,2.8807464144988e-65
"VIL1",-5.79418368200211,2.66676884285613e-64
"SCNN1A",-1.92350797180405,3.90635250195308e-64
"H1-2",-2.38516645718861,5.84654671661926e-64
"RIN2",2.8415480862661,5.94952838018138e-63
"OSBPL3",-1.56273034593553,3.19399429104108e-62
"NECTIN1",-1.71208448154027,4.66616739972825e-62
"TM7SF2",-2.66615457807552,1.56760757030147e-61
"CTSD",-1.86052590947549,4.08100553586777e-61
