gene_id,gene_name,in_YEATS2KD,in_p53KD,shared
.,.,False,True,False
ENSG00000008283,CYB561,False,True,False
ENSG00000011007,ELOA,False,True,False
ENSG00000046647,GEMIN8,False,True,False
ENSG00000048544,MRPS10,False,True,False
ENSG00000055147,FAM114A2,False,True,False
ENSG00000063244,U2AF2,False,True,False
ENSG00000064545,TMEM161A,False,True,False
ENSG00000068137,PLEKHH3,False,True,False
ENSG00000071655,MBD3,False,True,False
ENSG00000072736,NFATC3,False,True,False
ENSG00000076984,MAP2K7,False,True,False
ENSG00000077935,SMC1B,True,False,False
ENSG00000079616,KIF22,False,True,False
ENSG00000079999,KEAP1,False,True,False
ENSG00000087077,TRIP6,False,True,False
ENSG00000091542,ALKBH5,False,True,False
ENSG00000099866,MADCAM1,False,True,False
ENSG00000100226,GTPBP1,False,True,False
ENSG00000105227,PRX,False,True,False
ENSG00000105248,YJU2,False,True,False
ENSG00000106804,C5,False,True,False
ENSG00000108179,PPIF,False,True,False
ENSG00000111057,KRT18,False,True,False
ENSG00000111669,TPI1,False,True,False
ENSG00000111911,HINT3,False,True,False
ENSG00000115904,SOS1,False,True,False
ENSG00000120265,PCMT1,False,True,False
ENSG00000120688,WBP4,False,True,False
ENSG00000122515,ZMIZ2,False,True,False
ENSG00000122642,FKBP9,False,True,False
ENSG00000124126,PREX1,False,True,False
ENSG00000125520,SLC2A4RG,False,True,False
ENSG00000126522,ASL,False,True,False
ENSG00000127399,LRRC61,False,True,False
ENSG00000127804,METTL16,False,True,False
ENSG00000128789,PSMG2,False,True,False
ENSG00000129103,SUMF2,False,True,False
ENSG00000129255,MPDU1,False,True,False
ENSG00000130204,TOMM40,False,True,False
ENSG00000130713,EXOSC2,False,True,False
ENSG00000131368,MRPS25,False,True,False
ENSG00000131652,THOC6,False,True,False
ENSG00000133627,ACTR3B,False,True,False
ENSG00000135111,TBX3,False,True,False
ENSG00000136270,TBRG4,False,True,False
ENSG00000136938,ANP32B,False,True,False
ENSG00000136982,DSCC1,False,True,False
ENSG00000137154,RPS6,False,True,False
ENSG00000137478,FCHSD2,False,True,False
ENSG00000138430,OLA1,False,True,False
ENSG00000138621,PPCDC,False,True,False
ENSG00000140367,UBE2Q2,False,True,False
ENSG00000141510,TP53,False,True,False
ENSG00000141522,ARHGDIA,False,True,False
ENSG00000143614,GATAD2B,False,True,False
ENSG00000145833,DDX46,False,True,False
ENSG00000146463,ZMYM4,False,True,False
ENSG00000146701,MDH2,False,True,False
ENSG00000148356,LRSAM1,True,False,False
ENSG00000149150,SLC43A1,False,True,False
ENSG00000149257,SERPINH1,False,True,False
ENSG00000150593,PDCD4,False,True,False
ENSG00000154473,BUB3,False,True,False
ENSG00000155660,PDIA4,False,True,False
ENSG00000160993,ALKBH4,False,True,False
ENSG00000162222,TTC9C,False,True,False
ENSG00000162244,RPL29,False,True,False
ENSG00000163528,CHCHD4,False,True,False
ENSG00000164045,CDC25A,False,True,False
ENSG00000164070,HSPA4L,False,True,False
ENSG00000164896,FASTK,False,True,False
ENSG00000165244,ZNF367,True,False,False
ENSG00000165280,VCP,False,True,False
ENSG00000165516,KLHDC2,False,True,False
ENSG00000166526,ZNF3,False,True,False
ENSG00000167074,TEF,False,True,False
ENSG00000168734,PKIG,False,True,False
ENSG00000169139,UBE2V2,False,True,False
ENSG00000169223,LMAN2,False,True,False
ENSG00000170296,GABARAP,False,True,False
ENSG00000171853,TRAPPC12,False,True,False
ENSG00000171863,RPS7,False,True,False
ENSG00000172375,C2CD2L,False,True,False
ENSG00000173153,ESRRA,False,True,False
ENSG00000176531,PHLDB3,False,True,False
ENSG00000177303,CASKIN2,False,True,False
ENSG00000178802,MPI,False,True,False
ENSG00000185896,LAMP1,False,True,False
ENSG00000186603,HPDL,False,True,False
ENSG00000186895,FGF3,False,True,False
ENSG00000188015,S100A3,False,True,False
ENSG00000188186,LAMTOR4,False,True,False
ENSG00000188368,PRR19,False,True,False
ENSG00000196428,TSC22D2,False,True,False
ENSG00000196683,TOMM7,False,True,False
ENSG00000196756,SNHG17,True,False,False
ENSG00000197021,EOLA2,False,True,False
ENSG00000203650,LINC01285,True,False,False
ENSG00000204217,BMPR2,False,True,False
ENSG00000211584,SLC48A1,False,True,False
ENSG00000221838,AP4M1,True,False,False
ENSG00000223343,ENSG00000223343,False,True,False
ENSG00000223503,ENSG00000223503,True,False,False
ENSG00000224164,LINC02828,False,True,False
ENSG00000228137,ENSG00000228137,True,False,False
ENSG00000230269,LINC02525,False,True,False
ENSG00000234492,RPL34-DT,False,True,False
ENSG00000235246,TMEM184B-AS1,False,True,False
ENSG00000240498,CDKN2B-AS1,False,True,False
ENSG00000240739,ENSG00000240739,False,True,False
ENSG00000241852,C8orf58,False,True,False
ENSG00000242802,AP5Z1,False,True,False
ENSG00000246174,KCTD21-AS1,False,True,False
ENSG00000248323,LUCAT1,False,True,False
ENSG00000249240,ENSG00000249240,False,True,False
ENSG00000253320,MAILR,False,True,False
ENSG00000253729,PRKDC,False,True,False
ENSG00000256442,ENSG00000256442,False,True,False
ENSG00000256508,MRGPRF-AS1,False,True,False
ENSG00000257830,KRT86-AS2,False,True,False
ENSG00000258534,ENSG00000258534,False,True,False
ENSG00000259033,ENSG00000259033,False,True,False
ENSG00000260285,TRMT61A-DT,False,True,False
ENSG00000260672,ENSG00000260672,False,True,False
ENSG00000264480,MIR4714,False,True,False
ENSG00000264585,MIR4449,False,True,False
ENSG00000267201,LINC01775,False,True,False
ENSG00000269955,FMC1-LUC7L2,False,True,False
ENSG00000271780,ENSG00000271780,False,True,False
ENSG00000272325,NUDT3,False,True,False
ENSG00000272434,ENSG00000272434,False,True,False
ENSG00000272764,ENSG00000272764,True,False,False
ENSG00000272906,ENSG00000272906,False,True,False
ENSG00000273619,RPS21-DT,False,True,False
ENSG00000274210,RNVU1-27,False,True,False
ENSG00000275765,ENSG00000275765,False,True,False
ENSG00000276368,H2AC14,False,True,False
ENSG00000277027,RMRP,False,True,False
ENSG00000280187,ENSG00000280187,False,True,False
ENSG00000281010,ENSG00000281010,False,True,False
ENSG00000283297,TEX52,True,False,False
ENSG00000285292,ABCF2-H2BK1,False,True,False
ENSG00000285665,TOP1P1,False,True,False
ENSG00000286264,ENSG00000286264,False,True,False
ENSG00000286489,ENSG00000286489,False,True,False
ENSG00000287070,ENSG00000287070,False,True,False
ENSG00000288764,ENSG00000288764,False,True,False
ENSG00000288909,ENSG00000288909,False,True,False
ENSG00000289521,ENSG00000289521,False,True,False
ENSG00000293332,ENSG00000293332,True,False,False
ENSG00000293440,DBIL5P,False,True,False
ENSG00000293473,CENPBD1P,False,True,False
ENSG00000294719,ENSG00000294719,False,True,False
ENSG00000294913,ENSG00000294913,False,True,False
ENSG00000295124,ENSG00000295124,False,True,False
ENSG00000295217,ENSG00000295217,False,True,False
ENSG00000295879,ENSG00000295879,False,True,False
ENSG00000296285,ENSG00000296285,False,True,False
ENSG00000296370,ENSG00000296370,False,True,False
ENSG00000297567,ENSG00000297567,False,True,False
ENSG00000298642,ENSG00000298642,False,True,False
ENSG00000298733,ENSG00000298733,True,False,False
ENSG00000300154,ENSG00000300154,False,True,False
ENSG00000300470,ENSG00000300470,False,True,False
ENSG00000301931,ENSG00000301931,False,True,False
ENSG00000306611,ENSG00000306611,False,True,False
ENSG00000307200,ENSG00000307200,True,False,False
ENSG00000307315,ENSG00000307315,False,True,False
ENSG00000307566,ENSG00000307566,False,True,False
ENSG00000308702,ENSG00000308702,False,True,False
ENSG00000308714,ENSG00000308714,False,True,False
