.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
21161D-57-01_S151_L003_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
21161D-57-01_S151_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.25	1
21161D-57-02_S152_L003_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
21161D-57-02_S152_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.25	1
21161D-57-03_S155_L003_R1_001	1	0	0	0	1	1	1	1	1	1	0.5
21161D-57-03_S155_L003_R1_001_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
21161D-57-03_S155_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	0.5
21161D-57-04_S156_L003_R1_001_val_1	1	1	1	1	0.25	1	1	0.5	0.5	1	1
21161D-57-04_S156_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	0.5	0.25	0.5
21161D-57-05_S153_L003_R1_001	1	1	1	1	0.25	0.5	1	0.25	1	1	1
21161D-57-05_S153_L003_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
21161D-57-05_S153_L003_R2_001	1	0	0	0	1	1	1	1	1	1	0.5
21161D-57-05_S153_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.25	1
21161D-57-06_S154_L003_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
21161D-57-06_S154_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	1	0.25	0.5
21161D-57-07_S157_L003_R1_001_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	1	1
21161D-57-07_S157_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
21161D-57-08_S158_L003_R1_001_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
21161D-57-08_S158_L003_R2_001_val_2	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
