geneId	ENSEMBL	SYMBOL	GENENAME
389541	ENSG00000188186	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4
54784	ENSG00000160993	ALKBH4	alkB homolog 4, lysine demethylase
101928200	ENSG00000256508	MRGPRF-AS1	MRGPRF antisense RNA 1
6654	ENSG00000115904	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1
22985	ENSG00000100813	ACIN1	apoptotic chromatin condensation inducer 1
79053	ENSG00000159063	ALG8	ALG8 alpha-1,3-glucosyltransferase
3615	ENSG00000178035	IMPDH2	inosine monophosphate dehydrogenase 2
114841035	ENSG00000286264	LOC114841035	uncharacterized LOC114841035
2193	ENSG00000179115	FARSA	phenylalanyl-tRNA synthetase subunit alpha
7551	ENSG00000166526	ZNF3	zinc finger protein 3
1534	ENSG00000008283	CYB561	cytochrome b561
659	ENSG00000204217	BMPR2	bone morphogenetic protein receptor type 2
146691	ENSG00000175662	TOM1L2	target of myb1 like 2 membrane trafficking protein
57180	ENSG00000133627	ACTR3B	actin related protein 3B
162515	ENSG00000174326	SLC16A11	solute carrier family 16 member 11
9191	ENSG00000158796	DEDD	death effector domain containing
84627	ENSG00000225614	ZNF469	zinc finger protein 469
9184	ENSG00000154473	BUB3	BUB3 mitotic checkpoint protein
3835	ENSG00000079616	KIF22	kinesin family member 22
10827	ENSG00000055147	FAM114A2	family with sequence similarity 114 member A2
9873	ENSG00000137478	FCHSD2	FCH and double SH3 domains 2
9879	ENSG00000145833	DDX46	DEAD-box helicase 46
6201	ENSG00000171863	RPS7	ribosomal protein S7
124904614	ENSG00000301105	LOC124904614	uncharacterized LOC124904614
440313		LOC440313	protein enabled homolog
10960	ENSG00000169223	LMAN2	lectin, mannose binding 2
64432	ENSG00000131368	MRPS25	mitochondrial ribosomal protein S25
57716	ENSG00000105227	PRX	periaxin
23588	ENSG00000165516	KLHDC2	kelch domain containing 2
375	ENSG00000143761	ARF1	ARF GTPase 1
10105	ENSG00000108179	PPIF	peptidylprolyl isomerase F
871	ENSG00000149257	SERPINH1	serpin family H member 1
83999	ENSG00000183762	KREMEN1	kringle containing transmembrane protein 1
9817	ENSG00000079999	KEAP1	kelch like ECH associated protein 1
100996842	ENSG00000233223	MPDU1-AS1	MPDU1 antisense RNA 1
83637	ENSG00000122515	ZMIZ2	zinc finger MIZ-type containing 2
124902771	ENSG00000287545	LOC124902771	uncharacterized LOC124902771
26010	ENSG00000196141	SPATS2L	spermatogenesis associated serine rich 2 like
10541	ENSG00000136938	ANP32B	acidic nuclear phosphoprotein 32 family member B
6924	ENSG00000011007	ELOA	elongin A
653583	ENSG00000176531	PHLDB3	pleckstrin homology like domain family B member 3
112267932		LOC112267932	uncharacterized LOC112267932
9202	ENSG00000146463	ZMYM4	zinc finger MYM-type containing 4
9567	ENSG00000100226	GTPBP1	GTP binding protein 1
435	ENSG00000126522	ASL	argininosuccinate lyase
8501	ENSG00000149150	SLC43A1	solute carrier family 43 member 1
105378483		LOC105378483	uncharacterized LOC105378483
50628	ENSG00000179409	GEMIN4	gem nuclear organelle associated protein 4
100616432	ENSG00000264480	MIR4714	microRNA 4714
10452	ENSG00000130204	TOMM40	translocase of outer mitochondrial membrane 40
9819	ENSG00000196428	TSC22D2	TSC22 domain family member 2
55173	ENSG00000048544	MRPS10	mitochondrial ribosomal protein S10
7336	ENSG00000169139	UBE2V2	ubiquitin conjugating enzyme E2 V2
100130581	ENSG00000188825	LINC00910	long intergenic non-protein coding RNA 910
6515	ENSG00000059804	SLC2A3	solute carrier family 2 member 3
200261	ENSG00000233746	LINC00656	long intergenic non-protein coding RNA 656
23613	ENSG00000101040	ZMYND8	zinc finger MYND-type containing 8
6023	ENSG00000277027	RMRP	RNA component of mitochondrial RNA processing endoribonuclease
5916	ENSG00000172819	RARG	retinoic acid receptor gamma
3875	ENSG00000111057	KRT18	keratin 18
6275	ENSG00000196154	S100A4	S100 calcium binding protein A4
727	ENSG00000106804	C5	complement C5
10061	ENSG00000033050	ABCF2	ATP binding cassette subfamily F member 2
55254	ENSG00000176142	TMEM39A	transmembrane protein 39A
449520		GGNBP1	gametogenetin binding protein 1 (pseudogene)
28964	ENSG00000108262	GIT1	GIT ArfGAP 1
8766	ENSG00000103769	RAB11A	RAB11A, member RAS oncogene family
9601	ENSG00000155660	PDIA4	protein disulfide isomerase family A member 4
124901566		LOC124901566	uncharacterized LOC124901566
3984	ENSG00000106683	LIMK1	LIM domain kinase 1
283989	ENSG00000182173	TSEN54	tRNA splicing endonuclease subunit 54
6159	ENSG00000162244	RPL29	ribosomal protein L29
396	ENSG00000141522	ARHGDIA	Rho GDP dissociation inhibitor alpha
11338	ENSG00000063244	U2AF2	U2 small nuclear RNA auxiliary factor 2
79066	ENSG00000127804	METTL16	methyltransferase 16, RNA N6-adenosine
26092	ENSG00000143337	TOR1AIP1	torsin 1A interacting protein 1
100507194	ENSG00000230269	LINC02525	long intergenic non-protein coding RNA 2525
2052	ENSG00000143819	EPHX1	epoxide hydrolase 1
9907	ENSG00000242802	AP5Z1	adaptor related protein complex 5 subunit zeta 1
22824	ENSG00000164070	HSPA4L	heat shock protein family A (Hsp70) member 4 like
29123	ENSG00000167522	ANKRD11	ankyrin repeat domain containing 11
80301	ENSG00000241839	PLEKHO2	pleckstrin homology domain containing O2
54960	ENSG00000046647	GEMIN8	gem nuclear organelle associated protein 8
135114	ENSG00000111911	HINT3	histidine triad nucleotide binding protein 3
124905197		LOC124905197	uncharacterized LOC124905197
100272228	ENSG00000235703	EOLA2-DT	EOLA2 divergent transcript
220064	ENSG00000149716	LTO1	LTO1 maturation factor of ABCE1
105370689		LOC105370689	uncharacterized LOC105370689
993	ENSG00000164045	CDC25A	cell division cycle 25A
100616123	ENSG00000264979	MIR4436B1	microRNA 4436b-1
414926	ENSG00000245750	LINC00593	long intergenic non-protein coding RNA 593
124904621	ENSG00000274210	RNVU1-27	RNA, variant U1 small nuclear 27
51112	ENSG00000171853	TRAPPC12	trafficking protein particle complex subunit 12
6223	ENSG00000105372	RPS19	ribosomal protein S19
105371922		LOC105371922	uncharacterized LOC105371922
8784	ENSG00000186891	TNFRSF18	TNF receptor superfamily member 18
51330	ENSG00000006327	TNFRSF12A	TNF receptor superfamily member 12A
6468	ENSG00000107829	FBXW4	F-box and WD repeat domain containing 4
147	ENSG00000170214	ADRA1B	adrenoceptor alpha 1B
100128731	ENSG00000228474	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic
92912	ENSG00000140367	UBE2Q2	ubiquitin conjugating enzyme E2 Q2
105373411	ENSG00000231083	LOC105373411	uncharacterized LOC105373411
11337	ENSG00000170296	GABARAP	GABA type A receptor-associated protein
101928059	ENSG00000284738	LOC101928059	uncharacterized LOC101928059
653857	ENSG00000106526	ACTR3C	actin related protein 3C
2768	ENSG00000146535	GNA12	G protein subunit alpha 12
1112	ENSG00000053254	FOXN3	forkhead box N3
11142	ENSG00000168734	PKIG	cAMP-dependent protein kinase inhibitor gamma
79075	ENSG00000136982	DSCC1	DNA replication and sister chromatid cohesion 1
283237	ENSG00000162222	TTC9C	tetratricopeptide repeat domain 9C
25870	ENSG00000129103	SUMF2	sulfatase modifying factor 2
6194	ENSG00000137154	RPS6	ribosomal protein S6
165100	ENSG00000177673	TEX44	testis expressed 44
10913	ENSG00000135960	EDAR	ectodysplasin A receptor
115708	ENSG00000166166	TRMT61A	tRNA methyltransferase 61A
84909	ENSG00000148120	AOPEP	aminopeptidase O (putative)
928	ENSG00000010278	CD9	CD9 molecule
5609	ENSG00000076984	MAP2K7	mitogen-activated protein kinase kinase 7
23499	ENSG00000127603	MACF1	microtubule actin crosslinking factor 1
105379321	ENSG00000289521	LOC105379321	uncharacterized LOC105379321
53615	ENSG00000071655	MBD3	methyl-CpG binding domain protein 3
191	ENSG00000101444	AHCY	adenosylhomocysteinase
3892	ENSG00000170442	KRT86	keratin 86
105376291		LOC105376291	uncharacterized LOC105376291
84842	ENSG00000186603	HPDL	4-hydroxyphenylpyruvate dioxygenase like
51531	ENSG00000136932	TRMO	tRNA methyltransferase O
105377769		TRIM7-AS2	TRIM7 antisense RNA 2
54890	ENSG00000091542	ALKBH5	alkB homolog 5, RNA demethylase
1798	ENSG00000172269	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
107984552		LOC107984552	uncharacterized LOC107984552
57580	ENSG00000124126	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
7415	ENSG00000165280	VCP	valosin containing protein
100505994	ENSG00000248323	LUCAT1	lung cancer associated transcript 1
10922	ENSG00000164896	FASTK	Fas activated serine/threonine kinase
4775	ENSG00000072736	NFATC3	nuclear factor of activated T cells 3
101928602	ENSG00000267201	LINC01775	long intergenic non-protein coding RNA 1775
100616436	ENSG00000264585	MIR4449	microRNA 4449
2534	ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase
7008	ENSG00000167074	TEF	TEF transcription factor, PAR bZIP family member
131474	ENSG00000163528	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4
378805	ENSG00000231721	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
6926	ENSG00000135111	TBX3	T-box transcription factor 3
105373629		LOC105373629	uncharacterized LOC105373629
11165	ENSG00000272325	NUDT3	nudix hydrolase 3
55702	ENSG00000105248	YJU2	YJU2 splicing factor homolog
340073	ENSG00000249647	LINC02900	long intergenic non-protein coding RNA 2900
4351	ENSG00000178802	MPI	mannose phosphate isomerase
6227	ENSG00000171858	RPS21	ribosomal protein S21
56731	ENSG00000125520	SLC2A4RG	SLC2A4 regulator
9238	ENSG00000136270	TBRG4	transforming growth factor beta regulator 4
5110	ENSG00000120265	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase
541565	ENSG00000241852	C8orf58	chromosome 8 open reading frame 58
26788	ENSG00000206630	SNORD60	small nucleolar RNA, C/D box 60
8174	ENSG00000099866	MADCAM1	mucosal vascular addressin cell adhesion molecule 1
102723640	ENSG00000259783	LINC02259	long intergenic non-protein coding RNA 2259
2120	ENSG00000139083	ETV6	ETS variant transcription factor 6
124909376	ENSG00000223343	LOC124909376	uncharacterized LOC124909376
2248	ENSG00000186895	FGF3	fibroblast growth factor 3
138716	ENSG00000164967	RPP25L	ribonuclease P/MRP subunit p25 like
374443	ENSG00000284634	LOC374443	C-type lectin domain family 2 member D pseudogene
4836	ENSG00000136448	NMT1	N-myristoyltransferase 1
101928046		LOC101928046	uncharacterized LOC101928046
79990	ENSG00000068137	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3
6164	ENSG00000109475	RPL34	ribosomal protein L34
54929	ENSG00000064545	TMEM161A	transmembrane protein 161A
100048912	ENSG00000240498	CDKN2B-AS1	CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1
172	ENSG00000293510	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene
124901803		LOC124901803	uncharacterized LOC124901803
56907	ENSG00000134278	SPIRE1	spire type actin nucleation factor 1
1778	ENSG00000197102	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
100652758	ENSG00000275765	LOC100652758	uncharacterized LOC100652758
2101	ENSG00000173153	ESRRA	estrogen related receptor alpha
60490	ENSG00000138621	PPCDC	phosphopantothenoylcysteine decarboxylase
25829	ENSG00000198792	TMEM184B	transmembrane protein 184B
