"geneId","ENSEMBL","SYMBOL","GENENAME","direction","peak_count","strongest_abs_fold","minimum_FDR"
"100048912","ENSG00000240498","CDKN2B-AS1","CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1","down",1,1.74099767690695,0.0344474927102648
"100128731","ENSG00000228474","OST4","oligosaccharyltransferase complex subunit 4, non-catalytic","down",1,2.8079071689536,0.0101142234268828
"100130581","ENSG00000188825","LINC00910","long intergenic non-protein coding RNA 910","down",1,5.7183486494684,0.00421496877531297
"100272228","ENSG00000235703","EOLA2-DT","EOLA2 divergent transcript","down",1,5.02463156599194,0.00755510666974482
"100505561","ENSG00000227356","GOLGA7B-DT","GOLGA7B divergent transcript","down",1,1.5432665538905,0.0469345852738983
"100505994","ENSG00000248323","LUCAT1","lung cancer associated transcript 1","down",1,3.41120551556583,0.0208671291218467
"100506753",NA,"MAILR","macrophage interferon regulatory lncRNA","down",1,2.38170006439598,0.0431180774279267
"100507194","ENSG00000230269","LINC02525","long intergenic non-protein coding RNA 2525","down",1,5.37468810072646,0.00573106866618317
"10061","ENSG00000033050","ABCF2","ATP binding cassette subfamily F member 2","down",1,5.61366014150471,0.00478960701296911
"100616123","ENSG00000264979","MIR4436B1","microRNA 4436b-1","down",1,2.24868305291306,0.00821544800273545
"100616432","ENSG00000264480","MIR4714","microRNA 4714","down",1,5.83298555684451,0.00346187581507129
"100616436","ENSG00000264585","MIR4449","microRNA 4449","down",1,1.46968459148588,0.0228414794087417
"100652758","ENSG00000275765","LOC100652758","uncharacterized LOC100652758","down",1,1.54325015495521,0.0402182077597206
"10098","ENSG00000168785","TSPAN5","tetraspanin 5","down",1,2.60080922825344,0.0469345852738983
"100996842","ENSG00000233223","MPDU1-AS1","MPDU1 antisense RNA 1","down",1,2.04994899470623,0.00184275507193784
"10105","ENSG00000108179","PPIF","peptidylprolyl isomerase F","down",1,2.94737964904574,0.00175945924087355
"101928046",NA,"LOC101928046","uncharacterized LOC101928046","down",1,2.42266065518352,0.0327680191839872
"101928059","ENSG00000284738","LOC101928059","uncharacterized LOC101928059","down",1,4.55349847103853,0.0119391232735047
"101928200","ENSG00000256508","MRGPRF-AS1","MRGPRF antisense RNA 1","down",1,7.61549541308898,0.000151103682441649
"101928602","ENSG00000267201","LINC01775","long intergenic non-protein coding RNA 1775","down",1,1.4998839877945,0.0227833661313445
"101929691","ENSG00000285872","LOC101929691","uncharacterized LOC101929691","down",1,1.49660675952137,0.048110556312044
"102723640","ENSG00000259783","LINC02259","long intergenic non-protein coding RNA 2259","down",1,1.46055485175981,0.0304074563347914
"102725509",NA,"LINC01232","long intergenic non-protein coding RNA 1232","down",1,1.74893873793544,0.0431180774279267
"10452","ENSG00000130204","TOMM40","translocase of outer mitochondrial membrane 40","down",1,5.79202732130836,0.00367198451561398
"105370689",NA,"LOC105370689","uncharacterized LOC105370689","down",1,4.91834987494902,0.00817621769513532
"105371922",NA,"LOC105371922","uncharacterized LOC105371922","down",1,4.72064738073247,0.0095919375875153
"105372664",NA,"LOC105372664","uncharacterized LOC105372664","up",1,3.95072556144344,0.0191397092952585
"105373411","ENSG00000231083","LOC105373411","uncharacterized LOC105373411","down",1,4.65360735024883,0.0116148467683032
"105373629",NA,"LOC105373629","uncharacterized LOC105373629","down",1,1.88631040483611,0.0250873974608285
"105374978","ENSG00000224164","LINC02828","long intergenic non-protein coding RNA 2828","down",1,1.45165418569967,0.0497562146135758
"105376291",NA,"LOC105376291","uncharacterized LOC105376291","down",1,1.70545461077476,0.0177818261323512
"105377769",NA,"TRIM7-AS2","TRIM7 antisense RNA 2","down",1,1.96074816972948,0.0191397092952585
"105378483",NA,"LOC105378483","uncharacterized LOC105378483","down",1,4.11969093077552,0.00300418564813155
"105379321","ENSG00000289521","LOC105379321","uncharacterized LOC105379321","down",1,3.0310763612936,0.0164374001622942
"10541","ENSG00000136938","ANP32B","acidic nuclear phosphoprotein 32 family member B","down",1,2.55251719667486,0.00189976295168535
"107984552",NA,"LOC107984552","uncharacterized LOC107984552","down",1,1.69404549838532,0.0198008142690221
"10827","ENSG00000055147","FAM114A2","family with sequence similarity 114 member A2","down",1,6.68502242650584,0.00120500250184844
"10913","ENSG00000135960","EDAR","ectodysplasin A receptor","down",1,3.14108886104607,0.015206113503864
"10922","ENSG00000164896","FASTK","Fas activated serine/threonine kinase","down",1,2.02443456482352,0.0210366865976233
"10960","ENSG00000169223","LMAN2","lectin, mannose binding 2","down",1,2.75783450858662,0.00173631420053894
"1112","ENSG00000053254","FOXN3","forkhead box N3","down",1,1.98246216770572,0.0144498537826234
"11142","ENSG00000168734","PKIG","cAMP-dependent protein kinase inhibitor gamma","down",1,4.00938451991166,0.0144498537826234
"11165","ENSG00000272325","NUDT3","nudix hydrolase 3","down",1,3.20018294152249,0.0250873974608285
"112267932",NA,"LOC112267932","uncharacterized LOC112267932","down",1,6.29095239818802,0.00215518381695027
"112267993",NA,"LOC112267993","uncharacterized LOC112267993","down",1,1.89249509923094,0.0469345852738983
"11328","ENSG00000122642","FKBP9","FKBP prolyl isomerase 9","down",1,1.66902945340259,0.0431180774279267
"11337","ENSG00000170296","GABARAP","GABA type A receptor-associated protein","down",1,3.13846378190671,0.0116148467683032
"11338","ENSG00000063244","U2AF2","U2 small nuclear RNA auxiliary factor 2","down",1,1.95556463538114,0.00547281825423269
"114841035","ENSG00000286264","LOC114841035","uncharacterized LOC114841035","down",1,2.22901707671132,0.000517465302461274
"115708","ENSG00000166166","TRMT61A","tRNA methyltransferase 61A","down",1,1.76813683293085,0.0153836044497207
"124901566",NA,"LOC124901566","uncharacterized LOC124901566","down",1,4.14859375677321,0.00521506259380617
"124901803",NA,"LOC124901803","uncharacterized LOC124901803","down",1,2.81532620427293,0.0355258386137699
"124902771","ENSG00000287545","LOC124902771","uncharacterized LOC124902771","down",1,6.29136022652845,0.00189976295168535
"124904614","ENSG00000301105","LOC124904614","uncharacterized LOC124904614","down",1,6.48931396461482,0.00173631420053894
"124904621","ENSG00000274210","RNVU1-27","RNA, variant U1 small nuclear 27","down",1,4.82506829705604,0.00874603094729466
"124905197",NA,"LOC124905197","uncharacterized LOC124905197","down",1,1.87873842801836,0.00748906804721547
"124909376","ENSG00000223343","LOC124909376","uncharacterized LOC124909376","down",1,3.30002738959739,0.0304921078933594
"131474","ENSG00000163528","CHCHD4","coiled-coil-helix-coiled-coil-helix domain containing 4","down",1,2.44329816168043,0.0239740401240284
"134510","ENSG00000164332","UBLCP1","ubiquitin like domain containing CTD phosphatase 1","down",1,2.89426137821771,0.046462211042283
"135114","ENSG00000111911","HINT3","histidine triad nucleotide binding protein 3","down",1,5.10821263310062,0.00748906804721547
"138716","ENSG00000164967","RPP25L","ribonuclease P/MRP subunit p25 like","down",1,1.41227440413875,0.0322756828750499
"146691","ENSG00000175662","TOM1L2","target of myb1 like 2 membrane trafficking protein","down",1,7.01031335133528,0.000644135406625563
"147","ENSG00000170214","ADRA1B","adrenoceptor alpha 1B","down",1,4.65042636111053,0.0100623697237371
"1534","ENSG00000008283","CYB561","cytochrome b561","down",1,2.10061556787273,0.000595355619610499
"154791","ENSG00000164898","FMC1","formation of mitochondrial complex V assembly factor 1","down",1,1.46477047956167,0.0451834358710382
"162515","ENSG00000174326","SLC16A11","solute carrier family 16 member 11","down",1,7.24570352675528,0.000652942085778337
"165100","ENSG00000177673","TEX44","testis expressed 44","down",1,2.74488048936133,0.0151564283020522
"172","ENSG00000293510","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene","down",1,1.61701005070316,0.0346467018716167
"1778","ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","down",1,1.64279568699129,0.0382333555201107
"1798","ENSG00000172269","DPAGT1","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1","down",1,1.85629119168457,0.0195903256980795
"1822","ENSG00000111676","ATN1","atrophin 1","down",1,1.29080890502076,0.0469345852738983
"191","ENSG00000101444","AHCY","adenosylhomocysteinase","down",1,1.4418919551044,0.0177818261323512
"1997","ENSG00000120690","ELF1","E74 like ETS transcription factor 1","down",1,1.6057765719548,0.0451422994627494
"200261","ENSG00000233746","LINC00656","long intergenic non-protein coding RNA 656","down",2,3.8883378300457,0.00440330222408514
"2052","ENSG00000143819","EPHX1","epoxide hydrolase 1","down",1,3.98744817848144,0.00589051713221614
"2101","ENSG00000173153","ESRRA","estrogen related receptor alpha","down",1,2.16281059836227,0.0404326619315777
"2120","ENSG00000139083","ETV6","ETS variant transcription factor 6","down",1,1.88762485076819,0.0304074563347914
"2193","ENSG00000179115","FARSA","phenylalanyl-tRNA synthetase subunit alpha","down",1,7.13008836931712,0.000517465302461274
"220064","ENSG00000149716","LTO1","LTO1 maturation factor of ABCE1","down",1,2.4009087954107,0.00792573741027029
"2248","ENSG00000186895","FGF3","fibroblast growth factor 3","down",1,1.84033744222388,0.0307283444727661
"22824","ENSG00000164070","HSPA4L","heat shock protein family A (Hsp70) member 4 like","down",1,4.03409083086368,0.00645643236492422
"22985","ENSG00000100813","ACIN1","apoptotic chromatin condensation inducer 1","down",1,7.33494015023422,0.000409114358745645
"23404","ENSG00000130713","EXOSC2","exosome component 2","down",1,1.9837284506621,0.04834793429039
"23499","ENSG00000127603","MACF1","microtubule actin crosslinking factor 1","down",1,2.80354780679428,0.0164374001622942
"23588","ENSG00000165516","KLHDC2","kelch domain containing 2","down",1,6.52504623997696,0.00173631420053894
"23603","ENSG00000110880","CORO1C","coronin 1C","down",1,2.87289645583534,0.043601945597182
"23613","ENSG00000101040","ZMYND8","zinc finger MYND-type containing 8","down",1,5.60512979290691,0.0046074073375653
"2534","ENSG00000010810","FYN","FYN proto-oncogene, Src family tyrosine kinase","down",1,1.60709212982622,0.0234339948788788
"25829","ENSG00000198792","TMEM184B","transmembrane protein 184B","down",1,2.94017231836828,0.0418367886583068
"25870","ENSG00000129103","SUMF2","sulfatase modifying factor 2","down",1,2.40342031054413,0.0145916827285808
"26010","ENSG00000196141","SPATS2L","spermatogenesis associated serine rich 2 like","down",1,5.73204067142612,0.00189976295168535
"26092","ENSG00000143337","TOR1AIP1","torsin 1A interacting protein 1","down",1,2.14507244966677,0.00573106866618317
"26788","ENSG00000206630","SNORD60","small nucleolar RNA, C/D box 60","down",1,1.46352637751556,0.0300373411478296
"27245","ENSG00000126705","AHDC1","AT-hook DNA binding motif containing 1","down",1,2.17645679452097,0.0421453618458237
"27250","ENSG00000150593","PDCD4","programmed cell death 4","down",1,1.81226477279356,0.0423888912515506
"2768","ENSG00000146535","GNA12","G protein subunit alpha 12","down",1,1.76495325977625,0.0141862756380074
"283237","ENSG00000162222","TTC9C","tetratricopeptide repeat domain 9C","down",1,2.62907312882693,0.0144680186708651
"283404","ENSG00000258279","LINC00592","long intergenic non-protein coding RNA 592","down",1,1.28855192760188,0.0470307132942146
"283989","ENSG00000182173","TSEN54","tRNA splicing endonuclease subunit 54","down",1,4.91817765618876,0.00531616638791051
"284040","ENSG00000239704","CDRT4","CMT1A duplicated region transcript 4","down",1,1.70544585551402,0.0463700895599328
"28964","ENSG00000108262","GIT1","GIT ArfGAP 1","down",1,5.44522687902751,0.00514607095287258
"29123","ENSG00000167522","ANKRD11","ankyrin repeat domain containing 11","down",1,5.09755759612411,0.00680820586783923
"29789","ENSG00000138430","OLA1","Obg like ATPase 1","down",1,1.37730923270232,0.0470652101919716
"3398","ENSG00000115738","ID2","inhibitor of DNA binding 2","down",1,1.99329109593403,0.0469345852738983
"340073","ENSG00000249647","LINC02900","long intergenic non-protein coding RNA 2900","down",1,1.55370076134645,0.0252639206826081
"3615","ENSG00000178035","IMPDH2","inosine monophosphate dehydrogenase 2","down",1,5.61150536969534,0.000517465302461274
"374443","ENSG00000284634","LOC374443","C-type lectin domain family 2 member D pseudogene","down",1,1.6694524799361,0.0324015974372033
"375","ENSG00000143761","ARF1","ARF GTPase 1","down",1,6.42104891213982,0.00175945924087355
"378805","ENSG00000231721","LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript","down",1,2.52473239727182,0.0245943683867746
"3835","ENSG00000079616","KIF22","kinesin family member 22","down",1,6.75356032821583,0.00110547875581268
"3875","ENSG00000111057","KRT18","keratin 18","down",1,3.83356045866715,0.00472082769921384
"3892","ENSG00000170442","KRT86","keratin 86","down",1,3.644998776146,0.0177818261323512
"389541","ENSG00000188186","LAMTOR4","late endosomal/lysosomal adaptor, MAPK and MTOR activator 4","down",1,8.36721030583638,3.3902020077986e-06
"3916","ENSG00000185896","LAMP1","lysosomal associated membrane protein 1","down",1,1.58618958279175,0.0481765190317315
"396","ENSG00000141522","ARHGDIA","Rho GDP dissociation inhibitor alpha","down",1,1.62677644763354,0.00543713743454161
"3984","ENSG00000106683","LIMK1","LIM domain kinase 1","down",1,3.04782280179994,0.00530431549211305
"3995","ENSG00000221968","FADS3","fatty acid desaturase 3","down",1,1.75397581540574,0.0470652101919716
"414926","ENSG00000245750","LINC00593","long intergenic non-protein coding RNA 593","down",1,2.01885164910003,0.00852675422737396
"4173","ENSG00000104738","MCM4","minichromosome maintenance complex component 4","down",1,1.26599376266524,0.0421453618458237
"4191","ENSG00000146701","MDH2","malate dehydrogenase 2","down",1,1.51605638733043,0.043601945597182
"435","ENSG00000126522","ASL","argininosuccinate lyase","down",1,5.97464037003827,0.00289820807455558
"4351","ENSG00000178802","MPI","mannose phosphate isomerase","down",1,2.32897212999055,0.0253155648107775
"440313",NA,"LOC440313","protein enabled homolog","down",1,6.47565937073331,0.00173631420053894
"449520",NA,"GGNBP1","gametogenetin binding protein 1 (pseudogene)","down",1,3.80567943487819,0.00503961510575783
"4775","ENSG00000072736","NFATC3","nuclear factor of activated T cells 3","down",1,3.69896161746697,0.0224850691000763
"4836","ENSG00000136448","NMT1","N-myristoyltransferase 1","down",1,3.21622947180225,0.0327680191839872
"5050","ENSG00000079462","PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3","down",1,1.49870264485695,0.0469345852738983
"50628","ENSG00000179409","GEMIN4","gem nuclear organelle associated protein 4","down",1,1.60204611259583,0.00312137813585434
"5110","ENSG00000120265","PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase","down",1,3.09573229163183,0.0278040531293603
"51112","ENSG00000171853","TRAPPC12","trafficking protein particle complex subunit 12","down",1,4.82599838963653,0.00902851511578583
"51330","ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A","down",1,4.73826934672162,0.00974205939825343
"51523","ENSG00000171604","CXXC5","CXXC finger protein 5","down",1,1.42958439442481,0.0469345852738983
"51531","ENSG00000136932","TRMO","tRNA methyltransferase O","down",1,3.65569981018189,0.0185059362702848
"51750","ENSG00000258366","RTEL1","regulator of telomere elongation helicase 1","up",1,2.88985837868417,0.043601945597182
"5187","ENSG00000179094","PER1","period circadian regulator 1","down",1,1.43117682783611,0.046462211042283
"53615","ENSG00000071655","MBD3","methyl-CpG binding domain protein 3","down",1,1.50592086696299,0.0168333086469048
"541565","ENSG00000241852","C8orf58","chromosome 8 open reading frame 58","down",1,2.04275548397199,0.0291400714991976
"54784","ENSG00000160993","ALKBH4","alkB homolog 4, lysine demethylase","down",1,8.29752648253577,1.58619259016563e-05
"54890","ENSG00000091542","ALKBH5","alkB homolog 5, RNA demethylase","down",1,1.46532542503249,0.0193780383594015
"54929","ENSG00000064545","TMEM161A","transmembrane protein 161A","down",1,1.59513927592965,0.0344474927102648
"54960","ENSG00000046647","GEMIN8","gem nuclear organelle associated protein 8","down",1,5.04447630275578,0.00719811202485636
"55173","ENSG00000048544","MRPS10","mitochondrial ribosomal protein S10","down",1,5.81475176190894,0.00400790313655034
"55254","ENSG00000176142","TMEM39A","transmembrane protein 39A","down",1,5.71681970740992,0.00478960701296911
"55652","ENSG00000211584","SLC48A1","solute carrier family 48 member 1","down",1,1.78923993256896,0.0463700895599328
"55702","ENSG00000105248","YJU2","YJU2 splicing factor homolog","down",1,2.11376303816157,0.0250873974608285
"5609","ENSG00000076984","MAP2K7","mitogen-activated protein kinase kinase 7","down",1,2.49926393498471,0.0164112072819106
"56731","ENSG00000125520","SLC2A4RG","SLC2A4 regulator","down",1,2.74685632648292,0.0253732612674741
"56907","ENSG00000134278","SPIRE1","spire type actin nucleation factor 1","down",1,2.33753943327583,0.0366186752379826
"57180","ENSG00000133627","ACTR3B","actin related protein 3B","down",1,7.1187512109924,0.000644135406625563
"57580","ENSG00000124126","PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1","down",1,2.03089893722803,0.0200131188286013
"57716","ENSG00000105227","PRX","periaxin","down",1,6.44996583265741,0.00173631420053894
"5916","ENSG00000172819","RARG","retinoic acid receptor gamma","down",1,5.57833733044318,0.00472082769921384
"6023","ENSG00000277027","RMRP","RNA component of mitochondrial RNA processing endoribonuclease","down",1,2.6885413529304,0.00469967533851221
"60490","ENSG00000138621","PPCDC","phosphopantothenoylcysteine decarboxylase","down",1,1.33350794737468,0.0418367886583068
"6159","ENSG00000162244","RPL29","ribosomal protein L29","down",1,1.52676527445894,0.00543713743454161
"6164","ENSG00000109475","RPL34","ribosomal protein L34","down",1,1.76767712280142,0.033253958674082
"6194","ENSG00000137154","RPS6","ribosomal protein S6","down",1,1.65593620787955,0.0151505265300123
"6201","ENSG00000171863","RPS7","ribosomal protein S7","down",1,2.05521201542979,0.00153523867139461
"6223","ENSG00000105372","RPS19","ribosomal protein S19","down",1,1.59059357178803,0.00913451800821206
"6227","ENSG00000171858","RPS21","ribosomal protein S21","down",1,1.58278251681534,0.0253155648107775
"6275","ENSG00000196154","S100A4","S100 calcium binding protein A4","down",1,5.54389422924871,0.00478960701296911
"64432","ENSG00000131368","MRPS25","mitochondrial ribosomal protein S25","down",1,2.86580612950141,0.00173631420053894
"6468","ENSG00000107829","FBXW4","F-box and WD repeat domain containing 4","down",1,4.16865260813796,0.00974205939825343
"6515","ENSG00000059804","SLC2A3","solute carrier family 2 member 3","down",1,5.67350274938801,0.00421496877531297
"653583","ENSG00000176531","PHLDB3","pleckstrin homology like domain family B member 3","down",1,6.20584472209742,0.00200334216244036
"653857","ENSG00000106526","ACTR3C","actin related protein 3C","down",1,2.236622852075,0.0127939467401331
"659","ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2","down",1,7.10819068490328,0.000640763062500879
"6654","ENSG00000115904","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","down",1,7.41695960667147,0.000409114358745645
"6924","ENSG00000011007","ELOA","elongin A","down",1,3.28959228267793,0.00200334216244036
"6926","ENSG00000135111","TBX3","T-box transcription factor 3","down",1,2.31818165530018,0.0250873974608285
"7008","ENSG00000167074","TEF","TEF transcription factor, PAR bZIP family member","down",1,2.34906461647591,0.0238010831307294
"7150","ENSG00000198900","TOP1","DNA topoisomerase I","up",2,3.2406678439062,1.14392280321193e-09
"7151",NA,"TOP1P1","DNA topoisomerase I pseudogene 1","up",1,2.49751139854405,0.00200334216244036
"7157","ENSG00000141510","TP53","tumor protein p53","down",1,1.98378372845093,0.0463700895599328
"7167","ENSG00000111669","TPI1","triosephosphate isomerase 1","down",1,1.27745340587294,0.0424957806742772
"7205","ENSG00000087077","TRIP6","thyroid hormone receptor interactor 6","down",1,1.34549896459225,0.0463700895599328
"727","ENSG00000106804","C5","complement C5","down",1,5.648124091029,0.00478960701296911
"7336","ENSG00000169139","UBE2V2","ubiquitin conjugating enzyme E2 V2","down",1,3.3876206583768,0.00421496877531297
"7415","ENSG00000165280","VCP","valosin containing protein","down",1,1.60284023935817,0.0204511080949885
"7551","ENSG00000166526","ZNF3","zinc finger protein 3","down",1,2.15844341368097,0.000595355619610499
"79053","ENSG00000159063","ALG8","ALG8 alpha-1,3-glucosyltransferase","down",1,7.16347984691335,0.000517465302461274
