"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"GO:0032506","cytokinetic process","3/38","13/1871",0.230769230769231,11.3623481781377,5.39682543979772,0.00192227970162684,0.64558230648142,0.63525670536497,"ALKBH4/ARF1/RAB11A",3,"ALKBH4;ARF1;RAB11A"
"GO:0007268","chemical synaptic transmission","5/38","57/1871",0.087719298245614,4.31902123730379,3.6631962580782,0.00511011334859532,0.64558230648142,0.63525670536497,"FCHSD2/ARF1/ZMYND8/GIT1/RAB11A",5,"FCHSD2;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0098916","anterograde trans-synaptic signaling","5/38","57/1871",0.087719298245614,4.31902123730379,3.6631962580782,0.00511011334859532,0.64558230648142,0.63525670536497,"FCHSD2/ARF1/ZMYND8/GIT1/RAB11A",5,"FCHSD2;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0099537","trans-synaptic signaling","5/38","57/1871",0.087719298245614,4.31902123730379,3.6631962580782,0.00511011334859532,0.64558230648142,0.63525670536497,"FCHSD2/ARF1/ZMYND8/GIT1/RAB11A",5,"FCHSD2;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0000910","cytokinesis","4/38","36/1871",0.111111111111111,5.47076023391813,3.89893472628542,0.00534921745323185,0.64558230648142,0.63525670536497,"ALKBH4/ARF1/GIT1/RAB11A",4,"ALKBH4;ARF1;GIT1;RAB11A"
"GO:0050804","modulation of chemical synaptic transmission","4/38","37/1871",0.108108108108108,5.32290184921764,3.82303206429843,0.00591084206208333,0.64558230648142,0.63525670536497,"ARF1/ZMYND8/GIT1/RAB11A",4,"ARF1;ZMYND8;GIT1;RAB11A"
"GO:0099177","regulation of trans-synaptic signaling","4/38","37/1871",0.108108108108108,5.32290184921764,3.82303206429843,0.00591084206208333,0.64558230648142,0.63525670536497,"ARF1/ZMYND8/GIT1/RAB11A",4,"ARF1;ZMYND8;GIT1;RAB11A"
"GO:0099536","synaptic signaling","5/38","61/1871",0.0819672131147541,4.0358067299396,3.47001313374049,0.00684245655900631,0.64558230648142,0.63525670536497,"FCHSD2/ARF1/ZMYND8/GIT1/RAB11A",5,"FCHSD2;ARF1;ZMYND8;GIT1;RAB11A"
"GO:0042552","myelination","3/38","20/1871",0.15,7.38552631578947,4.13275687083383,0.00694453810668534,0.64558230648142,0.63525670536497,"SOS1/PRX/RARG",3,"SOS1;PRX;RARG"
"GO:0007272","ensheathment of neurons","3/38","21/1871",0.142857142857143,7.03383458646617,4.00265862856977,0.00798919549104109,0.64558230648142,0.63525670536497,"SOS1/PRX/RARG",3,"SOS1;PRX;RARG"
