"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","3/12","48/609",0.0625,3.171875,2.22090131590446,0.0610121816866959,0.562183966501882,0.562183966501882,"10452/6515/10061",3,"TOMM40;SLC2A3;ABCF2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","2/12","27/609",0.0740740740740741,3.75925925925926,2.0776297022717,0.095011209516038,0.562183966501882,0.562183966501882,"6515/6275",2,"SLC2A3;S100A4"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","2/12","31/609",0.0645161290322581,3.2741935483871,1.84119419923359,0.120467992821832,0.562183966501882,0.562183966501882,"659/6515",2,"BMPR2;SLC2A3"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","2/12","42/609",0.0476190476190476,2.41666666666667,1.3478949251185,0.197790731766685,0.599688183559951,0.599688183559951,"6654/3835",2,"SOS1;KIF22"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","1/12","12/609",0.0833333333333333,4.22916666666667,1.60047599742076,0.214174351271411,0.599688183559951,0.599688183559951,"727",1,"C5"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","1/12","23/609",0.0434782608695652,2.20652173913043,0.835613616981595,0.372675129813607,0.71384212633471,0.71384212633471,"375",1,"ARF1"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","1/12","25/609",0.04,2.03,0.74499962231854,0.398126062675986,0.71384212633471,0.71384212633471,"2193",1,"FARSA"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","1/12","28/609",0.0357142857142857,1.8125,0.623547534288368,0.434531855787565,0.71384212633471,0.71384212633471,"3615",1,"IMPDH2"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","1/12","34/609",0.0294117647058824,1.49264705882353,0.418790361316202,0.501360173039746,0.71384212633471,0.71384212633471,"435",1,"ASL"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","1/12","37/609",0.027027027027027,1.37162162162162,0.330414477988147,0.531984565440619,0.71384212633471,0.71384212633471,"6515",1,"SLC2A3"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","1/12","40/609",0.025,1.26875,0.249102211108181,0.560875956405844,0.71384212633471,0.71384212633471,"6275",1,"S100A4"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","1/12","63/609",0.0158730158730159,0.805555555555555,-0.230900428949098,0.73368228776411,0.739535424296767,0.739535424296767,"3835",1,"KIF22"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","1/12","63/609",0.0158730158730159,0.805555555555555,-0.230900428949098,0.73368228776411,0.739535424296767,0.739535424296767,"3615",1,"IMPDH2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","1/12","64/609",0.015625,0.79296875,-0.248017820784093,0.739535424296767,0.739535424296767,0.739535424296767,"3835",1,"KIF22"
