"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","4/19","32/984",0.125,6.47368421052632,4.41495372623236,0.0025388087212357,0.188418900397543,0.188418900397543,"6654/57180/727/28964",4,"SOS1;ACTR3B;C5;GIT1"
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","4/19","37/984",0.108108108108108,5.59886201991465,3.99913582740778,0.00438183489296612,0.188418900397543,0.188418900397543,"57180/375/28964/8766",4,"ACTR3B;ARF1;GIT1;RAB11A"
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","3/19","34/984",0.0882352941176471,4.56965944272446,2.97094316401838,0.0250174855836399,0.514107200684999,0.514107200684999,"57180/375/10061",3,"ACTR3B;ARF1;ABCF2"
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","2/19","23/984",0.0869565217391304,4.50343249427918,2.38443715559639,0.0702303898205041,0.514107200684999,0.514107200684999,"6654/375",2,"SOS1;ARF1"
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","2/19","29/984",0.0689655172413793,3.57168784029038,1.97153943028075,0.105255313416224,0.514107200684999,0.514107200684999,"57180/28964",2,"ACTR3B;GIT1"
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","2/19","30/984",0.0666666666666667,3.45263157894737,1.91341272759162,0.111500090341249,0.514107200684999,0.514107200684999,"389541/6654",2,"LAMTOR4;SOS1"
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","2/19","37/984",0.0540540540540541,2.79943100995733,1.5647716738852,0.157712808916341,0.514107200684999,0.514107200684999,"6654/659",2,"SOS1;BMPR2"
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","1/19","10/984",0.1,5.17894736842105,1.86284759630975,0.177892628011007,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","1/19","10/984",0.1,5.17894736842105,1.86284759630975,0.177892628011007,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","1/19","10/984",0.1,5.17894736842105,1.86284759630975,0.177892628011007,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","1/19","10/984",0.1,5.17894736842105,1.86284759630975,0.177892628011007,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","2/19","40/984",0.05,2.58947368421053,1.43941904064494,0.17857462895767,0.514107200684999,0.514107200684999,"57180/375",2,"ACTR3B;ARF1"
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","2/19","41/984",0.0487804878048781,2.52631578947368,1.40013651396548,0.18563495318552,0.514107200684999,0.514107200684999,"22985/9879",2,"ACIN1;DDX46"
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","2/19","42/984",0.0476190476190476,2.46616541353383,1.36198419197811,0.192741323006161,0.514107200684999,0.514107200684999,"57180/375",2,"ACTR3B;ARF1"
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/19","11/984",0.0909090909090909,4.70813397129187,1.73454368263925,0.193929630133995,0.514107200684999,0.514107200684999,"3615",1,"IMPDH2"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","1/19","11/984",0.0909090909090909,4.70813397129187,1.73454368263925,0.193929630133995,0.514107200684999,0.514107200684999,"727",1,"C5"
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","1/19","12/984",0.0833333333333333,4.31578947368421,1.62081833842476,0.209669955958717,0.514107200684999,0.514107200684999,"435",1,"ASL"
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","1/19","13/984",0.0769230769230769,3.98380566801619,1.51887662502569,0.225118794268166,0.514107200684999,0.514107200684999,"10452",1,"TOMM40"
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","1/19","13/984",0.0769230769230769,3.98380566801619,1.51887662502569,0.225118794268166,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","1/19","13/984",0.0769230769230769,3.98380566801619,1.51887662502569,0.225118794268166,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","1/19","13/984",0.0769230769230769,3.98380566801619,1.51887662502569,0.225118794268166,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","1/19","14/984",0.0714285714285714,3.69924812030075,1.42662838598593,0.240281248345308,0.514107200684999,0.514107200684999,"79053",1,"ALG8"
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/19","14/984",0.0714285714285714,3.69924812030075,1.42662838598593,0.240281248345308,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","1/19","14/984",0.0714285714285714,3.69924812030075,1.42662838598593,0.240281248345308,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","1/19","14/984",0.0714285714285714,3.69924812030075,1.42662838598593,0.240281248345308,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","1/19","14/984",0.0714285714285714,3.69924812030075,1.42662838598593,0.240281248345308,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","1/19","15/984",0.0666666666666667,3.45263157894737,1.34247423519843,0.255162337295245,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","1/19","15/984",0.0666666666666667,3.45263157894737,1.34247423519843,0.255162337295245,0.514107200684999,0.514107200684999,"57180",1,"ACTR3B"
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/19","15/984",0.0666666666666667,3.45263157894737,1.34247423519843,0.255162337295245,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","1/19","16/984",0.0625,3.23684210526316,1.2651660940856,0.26976699734828,0.514107200684999,0.514107200684999,"3615",1,"IMPDH2"
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","1/19","16/984",0.0625,3.23684210526316,1.2651660940856,0.26976699734828,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","1/19","17/984",0.0588235294117647,3.04643962848297,1.19371338479314,0.284100083144129,0.514107200684999,0.514107200684999,"659",1,"BMPR2"
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","1/19","17/984",0.0588235294117647,3.04643962848297,1.19371338479314,0.284100083144129,0.514107200684999,0.514107200684999,"57180",1,"ACTR3B"
"Cellular Processes","Cell motility","hsa04814","Motor proteins","1/19","17/984",0.0588235294117647,3.04643962848297,1.19371338479314,0.284100083144129,0.514107200684999,0.514107200684999,"3835",1,"KIF22"
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","1/19","17/984",0.0588235294117647,3.04643962848297,1.19371338479314,0.284100083144129,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Substance dependence","hsa05034","Alcoholism","1/19","17/984",0.0588235294117647,3.04643962848297,1.19371338479314,0.284100083144129,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"659",1,"BMPR2"
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"6275",1,"S100A4"
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"727",1,"C5"
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","1/19","18/984",0.0555555555555556,2.87719298245614,1.12731818844248,0.298166368997554,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","1/19","19/984",0.0526315789473684,2.72576177285319,1.0653293480563,0.311970550145636,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","1/19","19/984",0.0526315789473684,2.72576177285319,1.0653293480563,0.311970550145636,0.514107200684999,0.514107200684999,"22985",1,"ACIN1"
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","1/19","19/984",0.0526315789473684,2.72576177285319,1.0653293480563,0.311970550145636,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","1/19","19/984",0.0526315789473684,2.72576177285319,1.0653293480563,0.311970550145636,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","1/19","20/984",0.05,2.58947368421053,1.00720929642378,0.325517243976965,0.514107200684999,0.514107200684999,"3615",1,"IMPDH2"
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","1/19","20/984",0.05,2.58947368421053,1.00720929642378,0.325517243976965,0.514107200684999,0.514107200684999,"659",1,"BMPR2"
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","1/19","20/984",0.05,2.58947368421053,1.00720929642378,0.325517243976965,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","1/19","20/984",0.05,2.58947368421053,1.00720929642378,0.325517243976965,0.514107200684999,0.514107200684999,"727",1,"C5"
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","1/19","21/984",0.0476190476190476,2.46616541353383,0.952509633893974,0.338810991242979,0.514107200684999,0.514107200684999,"22985",1,"ACIN1"
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","1/19","21/984",0.0476190476190476,2.46616541353383,0.952509633893974,0.338810991242979,0.514107200684999,0.514107200684999,"3835",1,"KIF22"
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","1/19","22/984",0.0454545454545455,2.35406698564593,0.900852849332222,0.351856257251685,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","1/19","22/984",0.0454545454545455,2.35406698564593,0.900852849332222,0.351856257251685,0.514107200684999,0.514107200684999,"659",1,"BMPR2"
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","1/19","23/984",0.0434782608695652,2.25171624713959,0.851918435082446,0.364657433044011,0.514107200684999,0.514107200684999,"659",1,"BMPR2"
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","1/19","23/984",0.0434782608695652,2.25171624713959,0.851918435082446,0.364657433044011,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","1/19","23/984",0.0434782608695652,2.25171624713959,0.851918435082446,0.364657433044011,0.514107200684999,0.514107200684999,"57180",1,"ACTR3B"
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","1/19","23/984",0.0434782608695652,2.25171624713959,0.851918435082446,0.364657433044011,0.514107200684999,0.514107200684999,"8766",1,"RAB11A"
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","1/19","23/984",0.0434782608695652,2.25171624713959,0.851918435082446,0.364657433044011,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","1/19","23/984",0.0434782608695652,2.25171624713959,0.851918435082446,0.364657433044011,0.514107200684999,0.514107200684999,"6654",1,"SOS1"
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","1/19","24/984",0.0416666666666667,2.15789473684211,0.805432197867288,0.377218836553027,0.515384937927362,0.515384937927362,"57180",1,"ACTR3B"
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","1/19","25/984",0.04,2.07157894736842,0.761157929681034,0.389544713746248,0.515384937927362,0.515384937927362,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","1/19","25/984",0.04,2.07157894736842,0.761157929681034,0.389544713746248,0.515384937927362,0.515384937927362,"6654",1,"SOS1"
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","1/19","26/984",0.0384615384615385,1.9919028340081,0.718890845529384,0.401639239751275,0.515384937927362,0.515384937927362,"6654",1,"SOS1"
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","1/19","26/984",0.0384615384615385,1.9919028340081,0.718890845529384,0.401639239751275,0.515384937927362,0.515384937927362,"6654",1,"SOS1"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","1/19","27/984",0.037037037037037,1.91812865497076,0.678452360670082,0.413506519964976,0.515384937927362,0.515384937927362,"659",1,"BMPR2"
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","1/19","27/984",0.037037037037037,1.91812865497076,0.678452360670082,0.413506519964976,0.515384937927362,0.515384937927362,"6654",1,"SOS1"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","1/19","27/984",0.037037037037037,1.91812865497076,0.678452360670082,0.413506519964976,0.515384937927362,0.515384937927362,"6654",1,"SOS1"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","1/19","30/984",0.0333333333333333,1.72631578947368,0.566632953664471,0.447784916706115,0.540483977374841,0.540483977374841,"727",1,"C5"
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","1/19","30/984",0.0333333333333333,1.72631578947368,0.566632953664471,0.447784916706115,0.540483977374841,0.540483977374841,"6654",1,"SOS1"
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","1/19","31/984",0.032258064516129,1.67062818336163,0.532115733382498,0.458782911027481,0.540483977374841,0.540483977374841,"6654",1,"SOS1"
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","1/19","31/984",0.032258064516129,1.67062818336163,0.532115733382498,0.458782911027481,0.540483977374841,0.540483977374841,"6654",1,"SOS1"
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","1/19","33/984",0.0303030303030303,1.56937799043062,0.466613489129423,0.480159427871946,0.550582810626498,0.550582810626498,"6654",1,"SOS1"
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome biogenesis","1/19","33/984",0.0303030303030303,1.56937799043062,0.466613489129423,0.480159427871946,0.550582810626498,0.550582810626498,"389541",1,"LAMTOR4"
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","1/19","34/984",0.0294117647058824,1.52321981424149,0.435463481976675,0.490545306810361,0.555090741916988,0.555090741916988,"727",1,"C5"
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","1/19","36/984",0.0277777777777778,1.43859649122807,0.376012374255985,0.51073023459111,0.570425976296564,0.570425976296564,"6654",1,"SOS1"
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","1/19","41/984",0.024390243902439,1.26315789473684,0.241402847235428,0.557929772122421,0.615153338493951,0.615153338493951,"6654",1,"SOS1"
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","1/19","44/984",0.0227272727272727,1.17703349282297,0.168503044516433,0.584143358552725,0.627954110444179,0.627954110444179,"6654",1,"SOS1"
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","1/19","44/984",0.0227272727272727,1.17703349282297,0.168503044516433,0.584143358552725,0.627954110444179,0.627954110444179,"57180",1,"ACTR3B"
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","1/19","49/984",0.0204081632653061,1.05692803437164,0.057333483002776,0.624589077898174,0.663143959249913,0.663143959249913,"10452",1,"TOMM40"
