"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","contributing_genes"
"R-HSA-6811434","COPI-dependent Golgi-to-ER retrograde traffic","2/25","16/1264",0.125,6.32,3.0408875279833,0.0380478689666952,0.597962183793321,0.59796218379332,"KIF22/ARF1",2,"KIF22;ARF1"
"R-HSA-9679191","Potential therapeutics for SARS","2/25","16/1264",0.125,6.32,3.0408875279833,0.0380478689666952,0.597962183793321,0.59796218379332,"SOS1/IMPDH2",2,"SOS1;IMPDH2"
"R-HSA-2132295","MHC class II antigen presentation","2/25","17/1264",0.117647058823529,5.94823529411765,2.91660491291131,0.0426042924748105,0.597962183793321,0.59796218379332,"KIF22/ARF1",2,"KIF22;ARF1"
"R-HSA-8856688","Golgi-to-ER retrograde transport","2/25","22/1264",0.0909090909090909,4.59636363636364,2.41629617653228,0.0681456513430631,0.597962183793321,0.59796218379332,"KIF22/ARF1",2,"KIF22;ARF1"
"R-HSA-382551","Transport of small molecules","4/25","83/1264",0.0481927710843374,2.4366265060241,1.92262240410775,0.0759876782440499,0.597962183793321,0.59796218379332,"ARF1/SLC43A1/SLC2A3/RAB11A",4,"ARF1;SLC43A1;SLC2A3;RAB11A"
"R-HSA-168249","Innate Immune System","5/25","121/1264",0.0413223140495868,2.08925619834711,1.78910420448613,0.0826925990701084,0.597962183793321,0.59796218379332,"SOS1/SLC2A3/C5/IMPDH2/PLEKHO2",5,"SOS1;SLC2A3;C5;IMPDH2;PLEKHO2"
"R-HSA-9013149","RAC1 GTPase cycle","2/25","25/1264",0.08,4.0448,2.18337909865206,0.0853815085440138,0.597962183793321,0.59796218379332,"SOS1/GIT1",2,"SOS1;GIT1"
"R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic","2/25","26/1264",0.0769230769230769,3.88923076923077,2.11370614189929,0.0913993689204744,0.597962183793321,0.59796218379332,"KIF22/ARF1",2,"KIF22;ARF1"
"R-HSA-6798695","Neutrophil degranulation","3/25","59/1264",0.0508474576271186,2.57084745762712,1.75469857046186,0.107238048132357,0.597962183793321,0.59796218379332,"SLC2A3/IMPDH2/PLEKHO2",3,"SLC2A3;IMPDH2;PLEKHO2"
"R-HSA-1632852","Macroautophagy","2/25","30/1264",0.0666666666666667,3.37066666666667,1.86599109642375,0.116648246692458,0.597962183793321,0.59796218379332,"LAMTOR4/TOMM40",2,"LAMTOR4;TOMM40"
