metric	value
p53_gain_peaks	9
p53_loss_peaks	208
yeats2_gain_peaks	19
yeats2_loss_peaks	42
yeats2_peaks_overlapping_any_p53_diff_peak	0
yeats2_overlap_percent	0.00
gain_gain_unique_yeats2_peaks	0
gain_loss_unique_yeats2_peaks	0
loss_gain_unique_yeats2_peaks	0
loss_loss_unique_yeats2_peaks	0
concordant_unique_yeats2_peaks	0
discordant_unique_yeats2_peaks	0
overlapping_peak_pairs	0
overlap_pairs_with_both_gene_annotations	0
overlap_pairs_with_same_nearby_gene	0
unique_overlapping_yeats2_peaks_with_same_nearby_gene	0
shared_nearby_genes_gain_gain	0
shared_nearby_genes_gain_loss	0
shared_nearby_genes_loss_gain	0
shared_nearby_genes_loss_loss	1
shared_nearby_gene_direction_combinations	1
