"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","annotation_category","input_gene","ENTREZID"
"chr20",41113809,41114309,501,"*",8.13568345905469,9.01039753624913,5.54802365759989,3.2406678439062,3.55035010307862e-13,1.14392280321193e-09,"3' UTR",20,41104102,41124487,20386,1,"7150","ENST00000680945.1",9707,"ENSG00000198900","TOP1","DNA topoisomerase I","3' UTR","TOP1","7150"
"chr7",100148821,100149321,501,"*",6.0426282226989,0,7.0426282226989,-8.36721030583638,3.15661267020354e-09,3.3902020077986e-06,"Promoter (<=1kb)",7,100148912,100154203,5292,1,"389541","ENST00000474141.5",0,"ENSG00000188186","LAMTOR4","late endosomal/lysosomal adaptor, MAPK and MTOR activator 4","Promoter (<=1 kb)","LAMTOR4","389541"
"chr7",102464281,102464781,501,"*",6.11431862340906,0,7.11431862340906,-8.29752648253577,2.46150308840104e-08,1.58619259016563e-05,"Promoter (<=1kb)",7,102459397,102464857,5461,2,"54784","ENST00000498283.1",76,"ENSG00000160993","ALKBH4","alkB homolog 4, lysine demethylase","Promoter (<=1 kb)","ALKBH4","54784"
"chr11",69010952,69011452,501,"*",5.384789960145,0,6.384789960145,-7.61549541308898,2.81384883504002e-07,0.000151103682441649,"Promoter (<=1kb)",11,69012283,69014556,2274,1,"101928200","ENST00000569432.2",-831,"ENSG00000256508","MRGPRF-AS1","MRGPRF antisense RNA 1","Promoter (<=1 kb)","MRGPRF-AS1","101928200"
"chr2",39123825,39124325,501,"*",5.28281296728795,0,6.28281296728795,-7.41695960667147,9.83899103476041e-07,0.000409114358745645,"Promoter (<=1kb)",2,39023146,39124345,101200,2,"6654","ENST00000690679.1",20,"ENSG00000115904","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","Promoter (<=1 kb)","SOS1","6654"
"chr14",23071297,23071797,501,"*",5.16611126912757,0,6.16611126912757,-7.33494015023422,1.0158022563517e-06,0.000409114358745645,"Promoter (<=1kb)",14,23058564,23071565,13002,2,"22985","ENST00000557515.5",0,"ENSG00000100813","ACIN1","apoptotic chromatin condensation inducer 1","Promoter (<=1 kb)","ACIN1","22985"
"chr11",78139042,78139542,501,"*",5.00608800873186,0,6.00608800873186,-7.16347984691335,1.67838938801354e-06,0.000517465302461274,"Promoter (<=1kb)",11,78100946,78139258,38313,2,"79053","ENST00000530910.6",0,"ENSG00000159063","ALG8","ALG8 alpha-1,3-glucosyltransferase","Promoter (<=1 kb)","ALG8","79053"
"chr3",49028966,49029466,501,"*",5.38675777870752,0,6.37014707444031,-5.61150536969534,1.68725096915698e-06,0.000517465302461274,"Promoter (<=1kb)",3,49024325,49029398,5074,2,"3615","ENST00000326739.9",0,"ENSG00000178035","IMPDH2","inosine monophosphate dehydrogenase 2","Promoter (<=1 kb)","IMPDH2","3615"
"chr11",64241166,64241666,501,"*",6.20395220668941,4.24347885739659,7.00557101178232,-2.22901707671132,1.79147104377487e-06,0.000517465302461274,"Promoter (<=1kb)",11,64241379,64243497,2119,1,"114841035","ENST00000650773.1",0,"ENSG00000286264","LOC114841035","uncharacterized LOC114841035","Promoter (<=1 kb)","LOC114841035","114841035"
"chr19",12933423,12933923,501,"*",4.98447885944549,0,5.98447885944549,-7.13008836931712,1.92724507434367e-06,0.000517465302461274,"Promoter (<=1kb)",19,12922479,12933711,11233,2,"2193","ENST00000314606.9",0,"ENSG00000179115","FARSA","phenylalanyl-tRNA synthetase subunit alpha","Promoter (<=1 kb)","FARSA","2193"
"chr7",100081616,100082116,501,"*",6.21401273167175,4.3361679599546,7.00304090316893,-2.15844341368097,2.50405804536779e-06,0.000595355619610499,"Promoter (<=1kb)",7,100064033,100081727,17695,2,"7551","ENST00000413658.6",0,"ENSG00000166526","ZNF3","zinc finger protein 3","Promoter (<=1 kb)","ZNF3","7551"
"chr17",63446485,63446985,501,"*",6.1629706400058,4.34810230914665,6.94182665804143,-2.10061556787273,2.5868959263026e-06,0.000595355619610499,"Promoter (<=1kb)",17,63435712,63446354,10643,2,"1534","ENST00000578072.1",-131,"ENSG00000008283","CYB561","cytochrome b561","Promoter (<=1 kb)","CYB561","1534"
"chr2",202374748,202375248,501,"*",5.0518329162097,0,6.0518329162097,-7.10819068490328,2.98306826117727e-06,0.000640763062500879,"Promoter (1-2kb)",2,202376327,202567749,191423,1,"659","ENST00000374580.10",-1079,"ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2","Promoter (1-2 kb)","BMPR2","659"
"chr17",17913813,17914313,501,"*",4.92880869885139,0,5.92880869885139,-7.01031335133528,3.29427820745603e-06,0.000644135406625563,"Intron (ENST00000581396.6/146691, intron 1 of 13)",17,17846825,17872064,25240,2,"146691","ENST00000478943.5",-41749,"ENSG00000175662","TOM1L2","target of myb1 like 2 membrane trafficking protein","Other intron","TOM1L2","146691"
"chr7",152759716,152760216,501,"*",5.10128362245003,0,6.10128362245003,-7.1187512109924,3.39860394557249e-06,0.000644135406625563,"Promoter (<=1kb)",7,152759749,152854938,95190,1,"57180","ENST00000377776.7",0,"ENSG00000133627","ACTR3B","actin related protein 3B","Promoter (<=1 kb)","ACTR3B","57180"
"chr17",7046952,7047452,501,"*",5.31830775522969,0,6.31830775522969,-7.24570352675528,3.64772114959965e-06,0.000652942085778337,"Promoter (2-3kb)",17,7041621,7044092,2472,2,"162515","ENST00000673828.2",-2860,"ENSG00000174326","SLC16A11","solute carrier family 16 member 11","Promoter (2-3 kb)","SLC16A11","162515"
"chr1",161132338,161132838,501,"*",4.82490301926277,0,5.82490301926277,-6.88505551263067,4.54602047523094e-06,0.000770909366904951,"Promoter (<=1kb)",1,161120974,161132667,11694,2,"9191","ENST00000368006.8",0,"ENSG00000158796","DEDD","death effector domain containing","Promoter (<=1 kb)","DEDD","9191"
"chr16",88315333,88315833,501,"*",4.91522742876287,0,5.91522742876287,-6.86971382325721,6.64019115994792e-06,0.00106973479586761,"Distal Intergenic",16,88268699,88294886,26188,1,"84627","ENST00000767805.1",46634,"ENSG00000225614","ZNF469","zinc finger protein 469","Distal intergenic","ZNF469","84627"
"chr10",123153956,123154456,501,"*",5.28200915803164,0.522913575870329,6.25512139030691,-4.80601420018015,7.35492568106324e-06,0.00110547875581268,"Promoter (<=1kb)",10,123154402,123165212,10811,1,"9184","ENST00000368859.6",0,"ENSG00000154473","BUB3","BUB3 mitotic checkpoint protein","Promoter (<=1 kb)","BUB3","9184"
"chr16",29789827,29790327,501,"*",4.77939221209565,0,5.77939221209565,-6.75356032821583,7.5482720756918e-06,0.00110547875581268,"Promoter (<=1kb)",16,29790727,29805384,14658,1,"3835","ENST00000691169.1",-400,"ENSG00000079616","KIF22","kinesin family member 22","Promoter (<=1 kb)","KIF22","3835"
"chr5",154038889,154039389,501,"*",4.71910847798026,0,5.71910847798026,-6.68502242650584,8.60181798339977e-06,0.00120500250184844,"Promoter (<=1kb)",5,153990148,154038910,48763,2,"10827","ENST00000351797.9",0,"ENSG00000055147","FAM114A2","family with sequence similarity 114 member A2","Promoter (<=1 kb)","FAM114A2","10827"
"chr11",73142783,73143283,501,"*",4.90241499345439,0,5.90241499345439,-6.74995218438461,1.07498250155754e-05,0.001443164008341,"Promoter (<=1kb)",11,72836745,73142318,305574,2,"9873","ENST00000409418.9",-465,"ENSG00000137478","FCHSD2","FCH and double SH3 domains 2","Promoter (<=1 kb)","FCHSD2","9873"
"chr5",134758371,134758871,501,"*",4.66393337246939,0,5.66393337246939,-6.58173357828123,1.14323318422333e-05,0.00147339892782703,"Promoter (<=1kb)",5,134758771,134790122,31352,1,"9879","ENST00000628477.2",0,"ENSG00000145833","DDX46","DEAD-box helicase 46","Promoter (<=1 kb)","DDX46","9879"
"chr2",3575104,3575604,501,"*",6.34768245969539,4.50694040732969,7.13078020661608,-2.05521201542979,1.2388642289342e-05,0.00153523867139461,"Promoter (<=1kb)",2,3575260,3580920,5661,1,"6201","ENST00000645674.2",0,"ENSG00000171863","RPS7","ribosomal protein S7","Promoter (<=1 kb)","RPS7","6201"
"chr19",2541166,2541666,501,"*",4.6321615186653,0,5.6321615186653,-6.48931396461482,1.49899991071084e-05,0.00173631420053894,"Intron (ENST00000382159.8/2788, intron 3 of 4)",19,2491706,2494839,3134,2,"124904614","ENST00000776228.1",-46327,"ENSG00000301105","LOC124904614","uncharacterized LOC124904614","Other intron","LOC124904614","124904614"
"chr15",100803813,100804313,501,"*",4.6296831449884,0,5.6296831449884,-6.47565937073331,1.57016851800583e-05,0.00173631420053894,"Exon (ENST00000770601.1/105371024, exon 5 of 5)",15,100782417,100786189,3773,2,"440313","ENST00000639346.1",-17624,NA,"LOC440313","protein enabled homolog","Other exon","LOC440313","440313"
"chr5",177351544,177352044,501,"*",5.48079348471632,2.77326185179432,6.36590568956559,-2.75783450858662,1.59927625859164e-05,0.00173631420053894,"Promoter (<=1kb)",5,177315805,177351840,36036,2,"10960","ENST00000694903.1",0,"ENSG00000169223","LMAN2","lectin, mannose binding 2","Promoter (<=1 kb)","LMAN2","10960"
"chr3",15064985,15065485,501,"*",5.44117628274658,2.59607528208403,6.33712412611609,-2.86580612950141,1.65782444977496e-05,0.00173631420053894,"Promoter (<=1kb)",3,15009611,15065250,55640,2,"64432","ENST00000695375.1",0,"ENSG00000131368","MRPS25","mitochondrial ribosomal protein S25","Promoter (<=1 kb)","MRPS25","64432"
"chr19",40417016,40417516,501,"*",4.62149983684784,0,5.62149983684784,-6.44996583265741,1.68215523205948e-05,0.00173631420053894,"Promoter (2-3kb)",19,40413338,40414793,1456,2,"57716","ENST00000676042.1",-2223,"ENSG00000105227","PRX","periaxin","Promoter (2-3 kb)","PRX","57716"
"chr14",49767504,49768004,501,"*",4.75108620362187,0,5.75108620362187,-6.52504623997696,1.72445854802129e-05,0.00173631420053894,"Promoter (<=1kb)",14,49768130,49783105,14976,1,"23588","ENST00000555739.5",-126,"ENSG00000165516","KLHDC2","kelch domain containing 2","Promoter (<=1 kb)","KLHDC2","23588"
"chr1",228082099,228082599,501,"*",4.61321512485571,0,5.61321512485571,-6.42104891213982,1.82965982883237e-05,0.00175945924087355,"Promoter (<=1kb)",1,228082708,228099212,16505,1,"375","ENST00000272102.10",-109,"ENSG00000143761","ARF1","ARF GTPase 1","Promoter (<=1 kb)","ARF1","375"
"chr10",79347554,79348054,501,"*",5.24708694967574,2.30243792635442,6.15021086606602,-2.94737964904574,1.85666089974241e-05,0.00175945924087355,"Promoter (<=1kb)",10,79347658,79354086,6429,1,"10105","ENST00000448165.1",0,"ENSG00000108179","PPIF","peptidylprolyl isomerase F","Promoter (<=1 kb)","PPIF","10105"
"chr11",75562464,75562964,501,"*",5.64917977970923,3.3472383064904,6.49493876172094,-2.38149745856431,1.92911836365638e-05,0.00177589124791453,"Promoter (<=1kb)",11,75562809,75571940,9132,1,"871","ENST00000533449.6",0,"ENSG00000149257","SERPINH1","serpin family H member 1","Promoter (<=1 kb)","SERPINH1","871"
