"geneId","ENSEMBL","SYMBOL","GENENAME","peak_count","highest_logFC","highest_logFC_chrom","highest_logFC_start","highest_logFC_end","lowest_logFC","lowest_logFC_chrom","lowest_logFC_start","lowest_logFC_end","rank_highest_logFC","rank_lowest_logFC","rank_highest_abs_logFC"
"389541","ENSG00000188186","LAMTOR4","late endosomal/lysosomal adaptor, MAPK and MTOR activator 4",1,-8.36721030583638,"chr7",100148821,100149321,-8.36721030583638,"chr7",100148821,100149321,211,1,1
"54784","ENSG00000160993","ALKBH4","alkB homolog 4, lysine demethylase",1,-8.29752648253577,"chr7",102464281,102464781,-8.29752648253577,"chr7",102464281,102464781,210,2,2
"101928200","ENSG00000256508","MRGPRF-AS1","MRGPRF antisense RNA 1",1,-7.61549541308898,"chr11",69010952,69011452,-7.61549541308898,"chr11",69010952,69011452,209,3,3
"6654","ENSG00000115904","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1",1,-7.41695960667147,"chr2",39123825,39124325,-7.41695960667147,"chr2",39123825,39124325,208,4,4
"22985","ENSG00000100813","ACIN1","apoptotic chromatin condensation inducer 1",1,-7.33494015023422,"chr14",23071297,23071797,-7.33494015023422,"chr14",23071297,23071797,207,5,5
"162515","ENSG00000174326","SLC16A11","solute carrier family 16 member 11",1,-7.24570352675528,"chr17",7046952,7047452,-7.24570352675528,"chr17",7046952,7047452,206,6,6
"79053","ENSG00000159063","ALG8","ALG8 alpha-1,3-glucosyltransferase",1,-7.16347984691335,"chr11",78139042,78139542,-7.16347984691335,"chr11",78139042,78139542,205,7,7
"2193","ENSG00000179115","FARSA","phenylalanyl-tRNA synthetase subunit alpha",1,-7.13008836931712,"chr19",12933423,12933923,-7.13008836931712,"chr19",12933423,12933923,204,8,8
"57180","ENSG00000133627","ACTR3B","actin related protein 3B",1,-7.1187512109924,"chr7",152759716,152760216,-7.1187512109924,"chr7",152759716,152760216,203,9,9
"659","ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2",1,-7.10819068490328,"chr2",202374748,202375248,-7.10819068490328,"chr2",202374748,202375248,202,10,10
"146691","ENSG00000175662","TOM1L2","target of myb1 like 2 membrane trafficking protein",1,-7.01031335133528,"chr17",17913813,17914313,-7.01031335133528,"chr17",17913813,17914313,201,11,11
"9191","ENSG00000158796","DEDD","death effector domain containing",1,-6.88505551263067,"chr1",161132338,161132838,-6.88505551263067,"chr1",161132338,161132838,200,12,12
"84627","ENSG00000225614","ZNF469","zinc finger protein 469",1,-6.86971382325721,"chr16",88315333,88315833,-6.86971382325721,"chr16",88315333,88315833,199,13,13
"3835","ENSG00000079616","KIF22","kinesin family member 22",1,-6.75356032821583,"chr16",29789827,29790327,-6.75356032821583,"chr16",29789827,29790327,198,14,14
"9873","ENSG00000137478","FCHSD2","FCH and double SH3 domains 2",1,-6.74995218438461,"chr11",73142783,73143283,-6.74995218438461,"chr11",73142783,73143283,197,15,15
"10827","ENSG00000055147","FAM114A2","family with sequence similarity 114 member A2",1,-6.68502242650584,"chr5",154038889,154039389,-6.68502242650584,"chr5",154038889,154039389,196,16,16
"9879","ENSG00000145833","DDX46","DEAD-box helicase 46",1,-6.58173357828123,"chr5",134758371,134758871,-6.58173357828123,"chr5",134758371,134758871,195,17,17
"83999","ENSG00000183762","KREMEN1","kringle containing transmembrane protein 1",1,-6.54438096119262,"chr22",29096577,29097077,-6.54438096119262,"chr22",29096577,29097077,194,18,18
"23588","ENSG00000165516","KLHDC2","kelch domain containing 2",1,-6.52504623997696,"chr14",49767504,49768004,-6.52504623997696,"chr14",49767504,49768004,193,19,19
"124904614","ENSG00000301105","LOC124904614","uncharacterized LOC124904614",1,-6.48931396461482,"chr19",2541166,2541666,-6.48931396461482,"chr19",2541166,2541666,192,20,20
"440313",NA,"LOC440313","protein enabled homolog",1,-6.47565937073331,"chr15",100803813,100804313,-6.47565937073331,"chr15",100803813,100804313,191,21,21
"57716","ENSG00000105227","PRX","periaxin",1,-6.44996583265741,"chr19",40417016,40417516,-6.44996583265741,"chr19",40417016,40417516,190,22,22
