gene_id,Gene,chr,start,end,strand
ENSG00000137133.13,HINT2,chr9,35812959,35815354,-
ENSG00000160813.9,PPP1R35,chr7,100435260,100436546,-
ENSG00000288634.1,ENSG00000288634,chr7,112450486,112450645,+
ENSG00000136997.22,MYC,chr8,127735433,127742951,+
ENSG00000293564.1,ENSG00000293564,chr1,179882315,179882393,+
ENSG00000034510.8,TMSB10,chr2,84904922,84906680,+
ENSG00000187186.17,ENSG00000187186,chr9,34664162,34666122,-
ENSG00000164897.16,TMUB1,chr7,151081081,151083533,-
ENSG00000162244.14,RPL29,chr3,51993521,51996021,-
ENSG00000177954.16,RPS27,chr1,153990748,153992344,+
ENSG00000186603.7,HPDL,chr1,45326894,45328710,+
ENSG00000179085.10,DPM3,chr1,155138456,155140595,-
ENSG00000203852.4,H3C15,chr1,149852607,149853125,+
ENSG00000167700.11,SLC33A2,chr8,144508262,144511317,+
ENSG00000176101.14,SSNA1,chr9,137188639,137190371,+
ENSG00000164967.12,RPP25L,chr9,34610485,34612605,-
ENSG00000106211.12,HSPB1,chr7,76302665,76305813,+
ENSG00000203811.2,H3C14,chr1,149840686,149841208,-
ENSG00000146834.17,MEPCE,chr7,100428321,100435138,+
ENSG00000275714.3,H3C1,chr6,26020450,26021487,+
ENSG00000289051.1,MLDHR,chr10,87863558,87863654,+
ENSG00000157778.11,PSMG3,chr7,1567331,1571078,-
ENSG00000204335.5,SP5,chr2,170715286,170718078,+
ENSG00000184270.6,H2AC21,chr1,149887468,149887965,-
ENSG00000184709.8,LRRC26,chr9,137168757,137170058,-
ENSG00000188290.13,HES4,chr1,998961,1000825,-
ENSG00000277157.2,H4C4,chr6,26188709,26189112,-
ENSG00000160051.14,IQCC,chr1,32205637,32208688,+
ENSG00000276368.2,H2AC14,chr6,27814301,27814777,-
ENSG00000215845.13,TSTD1,chr1,161037618,161039118,-
ENSG00000143314.14,MRPL24,chr1,156737291,156741590,-
ENSG00000146826.19,TRAPPC14,chr7,100154419,100158737,-
ENSG00000184924.8,PTRHD1,chr2,24788910,24793395,-
ENSG00000169230.12,PRELID1,chr5,177303786,177306958,+
ENSG00000175756.16,AURKAIP1,chr1,1373709,1375521,-
ENSG00000168906.15,MAT2A,chr2,85539162,85545281,+
ENSG00000288626.1,ENSG00000288626,chr1,147611589,147611796,+
ENSG00000161016.20,RPL8,chr8,144789764,144793502,-
ENSG00000122592.9,HOXA7,chr7,27153715,27157936,-
ENSG00000188186.12,LAMTOR4,chr7,100148887,100155945,+
ENSG00000168090.12,COPS6,chr7,100088947,100095185,+
ENSG00000184260.6,H2AC20,chr1,149886917,149887411,+
ENSG00000138085.20,ATRAID,chr2,27212011,27217178,+
ENSG00000087077.16,TRIP6,chr7,100867125,100873524,+
ENSG00000273703.2,H2BC14,chr6,27815021,27815489,+
ENSG00000188396.6,DYNLT4,chr1,44805884,44807417,-
ENSG00000115307.19,AUP1,chr2,74526635,74529966,-
ENSG00000159884.13,CCDC107,chr9,35658276,35661524,+
ENSG00000289760.1,ENSG00000289760,chr7,100478098,100478170,-
ENSG00000166508.21,MCM7,chr7,100092232,100101940,-
ENSG00000196659.10,IFT70B,chr2,177548997,177552796,-
ENSG00000169972.15,PUSL1,chr1,1308546,1311679,+
ENSG00000182180.16,MRPS16,chr10,73248759,73252693,-
ENSG00000213689.14,TREX1,chr3,48465810,48467645,+
ENSG00000163825.6,RTP3,chr3,46494610,46501506,+
ENSG00000171863.17,RPS7,chr2,3575197,3580952,+
ENSG00000237110.3,TAAR9,chr6,132538276,132539336,+
ENSG00000175283.8,DOLK,chr9,128945529,128947603,-
ENSG00000186143.11,PRR30,chr2,27136847,27139410,-
ENSG00000221838.14,AP4M1,chr7,100100840,100110345,+
