MOF_peak_id,chromosome,start,end,nearest_H4K16ac_peak_id,distance_bp
MOF_loss_000001,chr1,171339314,171339815,H4K16ac_loss_000076,8542620.0
MOF_loss_000002,chrKI270438.1,103827,104328,,
MOF_loss_000003,chr20,41113808,41114309,H4K16ac_loss_000108,3417532.0
MOF_loss_000004,chr20,41099897,41100398,H4K16ac_loss_000108,3431443.0
MOF_loss_000005,chrKI270438.1,109163,109664,,
MOF_loss_000006,chr1,228166143,228166644,H4K16ac_loss_000030,83544.0
MOF_loss_000007,chrKI270467.1,2081,2582,,
MOF_loss_000008,chrML143380.1,79221,79722,,
MOF_loss_000009,chrKI270466.1,768,1269,,
MOF_loss_000010,chrGL000225.1,74434,74935,,
MOF_loss_000011,chr10,69222581,69223082,H4K16ac_loss_000031,10124471.0
MOF_loss_000012,chr1,28510592,28511093,H4K16ac_loss_000176,967433.0
MOF_loss_000013,chrKI270442.1,135028,135529,,
MOF_loss_000014,chrKI270442.1,140409,140910,,
MOF_loss_000015,chr11,44569136,44569637,H4K16ac_loss_000046,12944470.0
MOF_loss_000016,chr6,26157331,26157832,H4K16ac_loss_000208,1435324.0
MOF_loss_000017,chrKI270519.1,113222,113723,,
MOF_loss_000018,chr17,81966759,81967260,H4K16ac_loss_000073,94736.0
MOF_loss_000019,chr10,90921078,90921579,H4K16ac_loss_000196,6921429.0
MOF_loss_000020,chr8,125655636,125656137,H4K16ac_loss_000109,5799217.0
MOF_loss_000021,chrKI270442.1,157078,157579,,
MOF_loss_000022,chrGL000194.1,4267,4768,,
MOF_loss_000023,chr2,65366535,65367036,H4K16ac_loss_000004,26242210.0
MOF_loss_000024,chr14,61695034,61695535,H4K16ac_loss_000162,8559410.0
MOF_loss_000025,chrML143380.1,48430,48931,,
MOF_loss_000026,chr13,110485408,110485909,H4K16ac_loss_000206,2810878.0
MOF_loss_000027,chr2,219279040,219279541,H4K16ac_loss_000113,12333095.0
MOF_loss_000028,chrKI270442.1,180199,180700,,
MOF_loss_000029,chr22,46035719,46036220,H4K16ac_loss_000139,4668193.0
MOF_loss_000030,chr9,35111414,35111915,H4K16ac_loss_000132,38689.0
MOF_loss_000031,chr2,111705754,111706255,H4K16ac_loss_000090,1604363.0
MOF_loss_000032,chr21,7945317,7945818,,
MOF_loss_000033,chr17,76737280,76737781,H4K16ac_loss_000071,1221264.0
MOF_loss_000034,chrGL000224.1,3604,4105,,
