gene_id,Gene,chr,start,end,strand
ENSG00000136997.22,MYC,chr8,127735433,127742951,+
ENSG00000204822.9,MRPL53,chr2,74471956,74472699,-
ENSG00000293564.1,ENSG00000293564,chr1,179882315,179882393,+
ENSG00000221821.4,PEX39,chr6,42890264,42890821,-
ENSG00000214309.7,MBLAC1,chr7,100126693,100128498,+
ENSG00000276966.3,H4C5,chr6,26204609,26205021,+
ENSG00000197061.5,H4C3,chr6,26103932,26104337,+
ENSG00000277157.2,H4C4,chr6,26188709,26189112,-
ENSG00000253293.7,HOXA10,chr7,27170591,27180261,-
ENSG00000278463.2,H2AC4,chr6,26033091,26033618,-
ENSG00000257184.4,HOXA10-HOXA9,chr7,27162437,27180239,-
ENSG00000146066.4,HIGD2A,chr5,176388731,176389768,+
ENSG00000273983.2,H3C8,chr6,26270917,26271413,-
ENSG00000274997.2,H2AC12,chr6,27147105,27147562,+
ENSG00000078399.20,HOXA9,chr7,27162437,27175180,-
ENSG00000197956.12,S100A6,chr1,153532725,153536549,-
ENSG00000196747.5,H2AC13,chr6,27808172,27808667,+
ENSG00000106211.12,HSPB1,chr7,76302665,76305813,+
ENSG00000122592.9,HOXA7,chr7,27153715,27157936,-
ENSG00000177721.5,ANXA2R,chr5,43039232,43043170,-
ENSG00000169564.7,PCBP1,chr2,70087476,70089203,+
ENSG00000184357.5,H1-5,chr6,27866791,27867588,-
ENSG00000160813.9,PPP1R35,chr7,100435260,100436546,-
ENSG00000277224.3,H2BC7,chr6,26199515,26199988,+
ENSG00000276368.2,H2AC14,chr6,27814301,27814777,-
ENSG00000197238.5,H4C11,chr6,27824091,27824480,+
ENSG00000184260.6,H2AC20,chr1,149886917,149887411,+
ENSG00000128564.10,VGF,chr7,101162508,101167245,-
ENSG00000184270.6,H2AC21,chr1,149887468,149887965,-
ENSG00000106366.11,SERPINE1,chr7,101122157,101139263,+
ENSG00000275714.3,H3C1,chr6,26020450,26021487,+
ENSG00000288634.1,ENSG00000288634,chr7,112450486,112450645,+
ENSG00000146834.17,MEPCE,chr7,100428321,100435138,+
ENSG00000198841.4,KTI12,chr1,52032102,52033810,-
ENSG00000106268.18,NUDT1,chr7,2242202,2251824,+
ENSG00000278705.4,H4C2,chr6,26025801,26027283,-
ENSG00000168090.12,COPS6,chr7,100088947,100095185,+
ENSG00000233276.10,GPX1,chr3,49357173,49358605,-
ENSG00000106004.6,HOXA5,chr7,27141051,27143719,-
ENSG00000131435.15,PDLIM4,chr5,132257639,132273712,+
ENSG00000155876.6,RRAGA,chr9,19049426,19051025,+
ENSG00000273703.2,H2BC14,chr6,27815021,27815489,+
ENSG00000273542.3,H4C12,chr6,27830917,27831560,-
ENSG00000136634.7,IL10,chr1,206767601,206774541,-
ENSG00000115738.12,ID2,chr2,8678844,8684461,+
ENSG00000188015.12,S100A3,chr1,153547328,153550151,-
ENSG00000184924.8,PTRHD1,chr2,24788910,24793395,-
ENSG00000175793.12,SFN,chr1,26863148,26864456,+
ENSG00000187837.5,H1-2,chr6,26054759,26056470,-
ENSG00000182795.15,C1orf116,chr1,207018049,207032821,-
ENSG00000106006.7,HOXA6,chr7,27144102,27150603,-
ENSG00000203852.4,H3C15,chr1,149852607,149853125,+
ENSG00000134107.7,BHLHE40,chr3,4978714,4985323,+
ENSG00000288825.1,H2AC18,chr1,149842217,149842750,-
ENSG00000184292.7,TACSTD2,chr1,58575432,58577252,-
ENSG00000105997.25,HOXA3,chr7,27106183,27152610,-
ENSG00000278588.2,H2BC10,chr6,26272930,26273412,+
ENSG00000164400.7,CSF2,chr5,132073783,132076170,+
ENSG00000204335.5,SP5,chr2,170715286,170718078,+
ENSG00000274641.2,H2BC17,chr6,27893424,27893891,+
ENSG00000170458.17,CD14,chr5,140630401,140633711,-
ENSG00000247626.5,MARS2,chr2,197705368,197708395,+
ENSG00000288570.1,ENSG00000288570,chr9,130713625,130713724,+
ENSG00000115289.16,PCGF1,chr2,74505040,74508361,-
ENSG00000159450.13,TCHH,chr1,152106316,152115444,-
ENSG00000188784.4,PLA2G2E,chr1,19920008,19923617,-
ENSG00000188396.6,DYNLT4,chr1,44805884,44807417,-
ENSG00000278828.2,H3C10,chr6,27810050,27811300,+
ENSG00000135925.11,WNT10A,chr2,218880851,218899581,+
ENSG00000276903.2,H2AC16,chr6,27865316,27865798,+
ENSG00000196154.14,S100A4,chr1,153543612,153552135,-
ENSG00000166997.10,CNPY4,chr7,100119613,100125511,+
ENSG00000176532.6,PRR15,chr7,29563774,29568145,+
ENSG00000273802.4,H2BC8,chr6,26214569,26217252,-
ENSG00000163825.6,RTP3,chr3,46494610,46501506,+
ENSG00000168209.8,DDIT4,chr10,72273918,72276039,+
ENSG00000179528.17,LBX2,chr2,74497454,74503316,-
