gene_id,Gene,chr,start,end,strand
ENSG00000184270.6,H2AC21,chr1,149887468,149887965,-
ENSG00000274997.2,H2AC12,chr6,27147105,27147562,+
ENSG00000146066.4,HIGD2A,chr5,176388731,176389768,+
ENSG00000196866.3,H2AC7,chr6,26198783,26199293,-
ENSG00000160813.9,PPP1R35,chr7,100435260,100436546,-
ENSG00000204822.9,MRPL53,chr2,74471956,74472699,-
ENSG00000288859.2,H2AC19,chr1,149851060,149851652,+
ENSG00000284465.1,TAF11L7,chr5,17585161,17585758,-
ENSG00000136997.22,MYC,chr8,127735433,127742951,+
ENSG00000197061.5,H4C3,chr6,26103932,26104337,+
ENSG00000183598.4,H3C13,chr1,149813224,149813693,-
ENSG00000276903.2,H2AC16,chr6,27865316,27865798,+
ENSG00000204335.5,SP5,chr2,170715286,170718078,+
ENSG00000005448.19,WDR54,chr2,74421476,74425770,+
ENSG00000164645.3,TEX47,chr7,88794105,88795737,-
ENSG00000163795.16,ZNF513,chr2,27377234,27380790,-
ENSG00000233816.4,IFNA13,chr9,21367371,21368057,-
ENSG00000165204.3,OR1K1,chr9,122800122,122801073,+
ENSG00000278677.2,H2AC17,chr6,27892698,27893185,-
ENSG00000277157.2,H4C4,chr6,26188709,26189112,-
ENSG00000197238.5,H4C11,chr6,27824091,27824480,+
ENSG00000215156.6,ENSG00000215156,chr5,34190155,34193653,+
ENSG00000196747.5,H2AC13,chr6,27808172,27808667,+
ENSG00000310604.1,ENSG00000310604,chr2,69829738,69829798,+
ENSG00000184260.6,H2AC20,chr1,149886917,149887411,+
ENSG00000214309.7,MBLAC1,chr7,100126693,100128498,+
ENSG00000283267.3,FAM237B,chr7,90316502,90321304,-
ENSG00000146834.17,MEPCE,chr7,100428321,100435138,+
ENSG00000276966.3,H4C5,chr6,26204609,26205021,+
ENSG00000176125.7,UFSP1,chr7,100888720,100889715,-
ENSG00000185130.7,H2BC13,chr6,27805408,27807936,-
ENSG00000107175.14,CREB3,chr9,35732295,35738887,+
ENSG00000273703.2,H2BC14,chr6,27815021,27815489,+
ENSG00000278588.2,H2BC10,chr6,26272930,26273412,+
ENSG00000187186.17,ENSG00000187186,chr9,34664162,34666122,-
ENSG00000288646.1,ENSG00000288646,chr6,53065601,53065673,+
ENSG00000137133.13,HINT2,chr9,35812959,35815354,-
ENSG00000228083.3,IFNA14,chr9,21239001,21240005,-
ENSG00000196196.3,HRCT1,chr9,35906201,35907136,+
ENSG00000198755.13,RPL10A,chr6,35468365,35470786,+
ENSG00000286095.4,SPEGNB,chr2,219496128,219498287,+
ENSG00000159884.13,CCDC107,chr9,35658276,35661524,+
ENSG00000165202.3,OR1Q1,chr9,122614737,122615682,+
ENSG00000288654.2,ENSG00000288654,chr3,88058138,88059047,-
ENSG00000169230.12,PRELID1,chr5,177303786,177306958,+
ENSG00000196981.5,WDR5B,chr3,122411845,122416464,-
ENSG00000106211.12,HSPB1,chr7,76302665,76305813,+
ENSG00000278705.4,H4C2,chr6,26025801,26027283,-
ENSG00000172586.9,CHCHD1,chr10,73782038,73783652,+
ENSG00000233276.10,GPX1,chr3,49357173,49358605,-
ENSG00000147873.6,IFNA5,chr9,21304325,21305313,-
ENSG00000134248.16,LAMTOR5,chr1,110401248,110407963,-
ENSG00000168906.15,MAT2A,chr2,85539162,85545281,+
ENSG00000137077.11,CCL21,chr9,34709004,34710167,-
ENSG00000277224.3,H2BC7,chr6,26199515,26199988,+
ENSG00000173207.15,CKS1B,chr1,154974640,154979256,+
ENSG00000164405.13,UQCRQ,chr5,132866622,132868847,+
ENSG00000164967.12,RPP25L,chr9,34610485,34612605,-
ENSG00000155876.6,RRAGA,chr9,19049426,19051025,+
ENSG00000213927.4,CCL27,chr9,34661879,34664048,-
ENSG00000128564.10,VGF,chr7,101162508,101167245,-
ENSG00000188396.6,DYNLT4,chr1,44805884,44807417,-
