GL000194.1	3229	3659	Scramble_H4K16ac_rep1_peak_1	GL000194.1	1633	4194	p53KD_H4K16ac_rep1_peak_3
GL000214.1	64378	64878	Scramble_H4K16ac_rep1_peak_11	GL000214.1	64328	65716	p53KD_H4K16ac_rep1_peak_20
GL000214.1	117569	118979	Scramble_H4K16ac_rep1_peak_12	GL000214.1	117107	118648	p53KD_H4K16ac_rep1_peak_21
GL000214.1	130163	133576	Scramble_H4K16ac_rep1_peak_13	GL000214.1	129220	137592	p53KD_H4K16ac_rep1_peak_25
GL000214.1	134471	134708	Scramble_H4K16ac_rep1_peak_13	GL000214.1	129220	137592	p53KD_H4K16ac_rep1_peak_25
GL000214.1	136316	136390	Scramble_H4K16ac_rep1_peak_14	GL000214.1	129220	137592	p53KD_H4K16ac_rep1_peak_25
GL000216.2	142374	142591	Scramble_H4K16ac_rep1_peak_15	GL000216.2	142327	143218	p53KD_H4K16ac_rep1_peak_28
GL000216.2	147108	149762	Scramble_H4K16ac_rep1_peak_16	GL000216.2	147064	150633	p53KD_H4K16ac_rep1_peak_29
GL000216.2	153063	153742	Scramble_H4K16ac_rep1_peak_17	GL000216.2	153167	153735	p53KD_H4K16ac_rep1_peak_30
GL000216.2	158628	159688	Scramble_H4K16ac_rep1_peak_18	GL000216.2	157812	159696	p53KD_H4K16ac_rep1_peak_32
GL000216.2	160587	160921	Scramble_H4K16ac_rep1_peak_18	GL000216.2	160590	160978	p53KD_H4K16ac_rep1_peak_33
GL000216.2	163046	164988	Scramble_H4K16ac_rep1_peak_19	GL000216.2	162534	164918	p53KD_H4K16ac_rep1_peak_34
GL000216.2	165908	166900	Scramble_H4K16ac_rep1_peak_19	GL000216.2	165845	166920	p53KD_H4K16ac_rep1_peak_35
GL000216.2	167813	168846	Scramble_H4K16ac_rep1_peak_19	GL000216.2	167766	168874	p53KD_H4K16ac_rep1_peak_36
GL000216.2	173799	174004	Scramble_H4K16ac_rep1_peak_20	GL000216.2	173775	174018	p53KD_H4K16ac_rep1_peak_37
GL000220.1	101675	161706	Scramble_H4K16ac_rep1_peak_21	GL000220.1	101601	108197	p53KD_H4K16ac_rep1_peak_39
GL000220.1	101675	161706	Scramble_H4K16ac_rep1_peak_21	GL000220.1	153154	161783	p53KD_H4K16ac_rep1_peak_40
GL000220.1	101675	161706	Scramble_H4K16ac_rep1_peak_21	GL000220.1	109173	152173	p53KD_H4K16ac_rep1_peak_40
GL000224.1	460	2912	Scramble_H4K16ac_rep1_peak_23	GL000224.1	157	9915	p53KD_H4K16ac_rep1_peak_45
GL000224.1	4509	5801	Scramble_H4K16ac_rep1_peak_23	GL000224.1	157	9915	p53KD_H4K16ac_rep1_peak_45
GL000224.1	6756	8937	Scramble_H4K16ac_rep1_peak_23	GL000224.1	157	9915	p53KD_H4K16ac_rep1_peak_45
GL000224.1	11115	12614	Scramble_H4K16ac_rep1_peak_24	GL000224.1	10951	12804	p53KD_H4K16ac_rep1_peak_46
GL000224.1	13750	13978	Scramble_H4K16ac_rep1_peak_25	GL000224.1	13676	15539	p53KD_H4K16ac_rep1_peak_46
GL000224.1	15187	15391	Scramble_H4K16ac_rep1_peak_25	GL000224.1	13676	15539	p53KD_H4K16ac_rep1_peak_46
GL000224.1	17004	19249	Scramble_H4K16ac_rep1_peak_26	GL000224.1	16753	19279	p53KD_H4K16ac_rep1_peak_47
GL000225.1	6790	6983	Scramble_H4K16ac_rep1_peak_27	GL000225.1	5574	8039	p53KD_H4K16ac_rep1_peak_49
GL000225.1	13565	14490	Scramble_H4K16ac_rep1_peak_28	GL000225.1	13053	15286	p53KD_H4K16ac_rep1_peak_52
GL000225.1	19392	20719	Scramble_H4K16ac_rep1_peak_29	GL000225.1	19978	20351	p53KD_H4K16ac_rep1_peak_53
GL000225.1	21592	21814	Scramble_H4K16ac_rep1_peak_29	GL000225.1	21183	22084	p53KD_H4K16ac_rep1_peak_53
GL000225.1	25542	26514	Scramble_H4K16ac_rep1_peak_30	GL000225.1	24818	26615	p53KD_H4K16ac_rep1_peak_54
GL000225.1	32623	33855	Scramble_H4K16ac_rep1_peak_31	GL000225.1	31935	33800	p53KD_H4K16ac_rep1_peak_55
GL000225.1	46051	46416	Scramble_H4K16ac_rep1_peak_32	GL000225.1	45990	46886	p53KD_H4K16ac_rep1_peak_58
GL000225.1	49205	49825	Scramble_H4K16ac_rep1_peak_33	GL000225.1	49200	49854	p53KD_H4K16ac_rep1_peak_59
