"seqnames","start","end","width","strand","Conc","Conc_YEATS2KD","Conc_Scramble","Fold","p.value","FDR"
"chr20",45084617,45085117,501,"*",4.68122482367298,0,5.68122482367298,-6.87918645854009,5.89086774173712e-07,0.0149686490097595
"chr2",65227538,65228038,501,"*",5.35593078316432,3.32090175109986,6.16822113868714,-2.69132492787918,1.21208348897994e-06,0.0149686490097595
"chr12",2855088,2855588,501,"*",4.49654617012127,0,5.49654617012127,-6.52439533991555,2.13488353264492e-06,0.0149686490097595
"chr7",74447763,74448263,501,"*",4.7948890108383,2.03051058071681,5.68461428224933,-3.26134218044692,6.37552728962682e-06,0.0233625267651967
"chr9",96417715,96418215,501,"*",5.68433459656125,4.08784613770065,6.42359437344791,-1.78987035004743,7.46327057049874e-06,0.0233625267651967
"chr6",37332619,37333119,501,"*",4.70887343738502,0.86544392400994,5.65772494421916,-4.26953818372165,8.92449092757714e-06,0.0233625267651967
"chr17",43377253,43377753,501,"*",4.25953331048505,0,5.25953331048505,-5.78587425773247,9.65193151887582e-06,0.0233625267651967
"chr1",202269114,202269614,501,"*",4.25686308795435,0,5.25686308795435,-5.78211570029249,9.69592093734646e-06,0.0233625267651967
"chr20",34744931,34745431,501,"*",4.60329927788474,1.03051058071681,5.54136710001605,-3.83863272953696,1.18337204045639e-05,0.0233625267651967
"chr7",74434978,74435478,501,"*",5.3137618515366,3.59584688017588,6.07590845329054,-1.85905539939515,1.21864869437681e-05,0.0233625267651967
"chr12",51961602,51962102,501,"*",5.04233067806002,2.92434858049581,5.86577931907379,-2.34497037834859,1.25370874734887e-05,0.0233625267651967
"chr3",183838940,183839440,501,"*",4.25795244807452,0,5.25795244807452,-5.5691774492581,1.33489738037431e-05,0.0233625267651967
"chr9",114300915,114301415,501,"*",4.52313870979752,0.521500068402107,5.47738784860899,-4.05650481102104,1.42381198623303e-05,0.0233625267651967
"chr5",132855842,132856342,501,"*",4.21038837025122,0,5.21038837025122,-5.48878588214587,1.45457654395292e-05,0.0233625267651967
"chr7",100101027,100101527,501,"*",8.16423693969142,7.68485736864202,8.52343644713427,-0.630613241101217,1.60236863842013e-05,0.024053318342939
"chr2",24940840,24941340,501,"*",4.19010775342522,0,5.19010775342522,-5.33813249050366,1.74789523834191e-05,0.024053318342939
"chr6",41594909,41595409,501,"*",4.13063023732152,0,5.13063023732152,-5.12756991313366,2.1862278978902e-05,0.0256456368786518
"chr11",126252129,126252629,501,"*",4.16553518607255,0,5.16553518607255,-5.13172949777146,2.19919929888283e-05,0.0256456368786518
"chr6",150914528,150915028,501,"*",4.24183872683818,0,5.24183872683818,-5.12211169914051,2.2687366358164e-05,0.0256456368786518
"chr20",38434903,38435403,501,"*",7.92572046426292,7.4246855769825,8.29688927565569,-0.63197927424993,2.48136823057127e-05,0.0263906221963067
"chr21",45258123,45258623,501,"*",4.11597057603866,0,5.11597057603866,-4.97319235477824,2.5685497734439e-05,0.0263906221963067
"chr9",33366247,33366747,501,"*",4.11302068329021,0,5.11302068329021,-4.92548862363192,2.69523446999028e-05,0.0263906221963067
"chr20",33339013,33339513,501,"*",4.07377424585726,0,5.07377424585726,-4.75177617822886,3.17070098338189e-05,0.026427681494301
"chrX",71102167,71102667,501,"*",4.07377424585726,0,5.07377424585726,-4.75177617822886,3.17070098338189e-05,0.026427681494301
"chr10",5813623,5814123,501,"*",6.38051776132094,5.42839066401063,6.94916298447136,-0.811965072707566,3.17289152564986e-05,0.026427681494301
"chr2",24984399,24984899,501,"*",4.0624914255687,0,5.0624914255687,-4.59313217960651,3.66954164129539e-05,0.0297806826893949
"chr17",43138113,43138613,501,"*",4.03873721490764,0,5.03873721490764,-4.44425393254245,4.17753478813319e-05,0.0314817032331437
"chr11",118161563,118162063,501,"*",4.06033726258512,0,5.06033726258512,-4.21913938899165,5.07345453180073e-05,0.0356844243080056
"chr9",34142790,34143290,501,"*",4.37469659535105,0.0305105807168052,5.33873694413432,-3.54455651226664,5.19189729888468e-05,0.0357236394363042
"chr8",141094877,141095377,501,"*",4.03965756671423,0,5.03965756671423,-4.02018127650192,5.95720567302934e-05,0.038836746409752
"chr9",127450958,127451458,501,"*",6.99732124006029,6.26192784878774,7.48207374114558,-0.688710336536719,6.21135133411404e-05,0.038836746409752
"chr15",65094730,65095230,501,"*",3.96406444106092,0,4.96406444106092,-3.94929156310767,6.27327341628374e-05,0.038836746409752
"chr13",112875520,112876020,501,"*",4.45930427055254,0,5.43925131930889,-3.77382326126396,6.28290676159434e-05,0.038836746409752
"chrX",118839120,118839620,501,"*",4.78750473169811,2.56925158122704,5.62350848789131,-1.88303755344017,6.28567804992038e-05,0.038836746409752
