chromosome,start,end,peak_id,control_rep1,control_rep2,KD_rep1,KD_rep2,control_mean,KD_mean,MOF_KD_minus_control
chr7,100148820,100149321,H4K16ac_loss_000001,-0.078704309803127,0.1254796818569823,0.4358862256036398,0.1268320044506334,0.023387686026927652,0.2813591150271366,0.257971429000209
chr7,102464280,102464781,H4K16ac_loss_000002,-0.15849882384349487,-0.24479869247215266,-0.21656893001880476,-0.3297200953353665,-0.20164875815782377,-0.2731445126770856,-0.07149575451926185
chr11,69010951,69011452,H4K16ac_loss_000003,-0.03569444380291624,0.06976580578683245,-0.06983357832995718,0.3488590777544918,0.017035680991958103,0.13951274971226732,0.12247706872030922
chr2,39123824,39124325,H4K16ac_loss_000004,0.014876349154346716,0.10849074874781518,0.46371930822759805,-0.2272992494279991,0.06168354895108095,0.11821002939979948,0.05652648044871853
chr14,23071296,23071797,H4K16ac_loss_000005,0.11414260558036719,0.14109028176871127,-0.16978482121300553,0.02617762622399304,0.12761644367453923,-0.07180359749450625,-0.1994200411690455
chr11,78139041,78139542,H4K16ac_loss_000006,0.08377058006834216,-0.20041028399786312,0.09522746040852008,-0.10287307854184134,-0.05831985196476048,-0.003822809066660632,0.05449704289809985
chr3,49028965,49029466,H4K16ac_loss_000007,0.1238755534761799,-0.011022178155041026,-0.19362802199736803,0.03753882427207248,0.056426687660569436,-0.07804459886264778,-0.13447128652321721
chr11,64241165,64241666,H4K16ac_loss_000008,-0.09987450117420056,0.31764354660898864,0.36149904190073767,0.25374454094311727,0.10888452271739404,0.30762179142192747,0.19873726870453343
chr19,12933422,12933923,H4K16ac_loss_000009,0.07424702349596633,-0.11168746178795001,0.3001598217812722,-0.28215423232305076,-0.01872021914599184,0.009002794729110725,0.027723013875102565
chr7,100081615,100082116,H4K16ac_loss_000010,0.0677613520701072,0.06937097889295,0.253982955550853,0.020295056008813744,0.06856616548152861,0.13713900577983337,0.06857284029830477
chr17,63446484,63446985,H4K16ac_loss_000011,0.18090346868999466,-0.007713102274565045,-0.118946438584618,-0.008552959028951184,0.08659518320771481,-0.06374969880678459,-0.15034488201449941
chr2,202374747,202375248,H4K16ac_loss_000012,-0.11249046136965295,0.12669368123936797,-0.1852927382685943,0.043089783811819056,0.007101609934857513,-0.07110147722838762,-0.07820308716324514
chr17,17913812,17914313,H4K16ac_loss_000013,0.01878267060779407,0.18361869209005446,0.4509350075841902,0.15542842651124367,0.10120068134892427,0.3031817170477169,0.20198103569879264
chr7,152759715,152760216,H4K16ac_loss_000014,0.0828537257339902,0.14346035688877581,-0.026298974995722552,0.039294369719521015,0.11315704131138302,0.006497697361899231,-0.10665934394948379
chr17,7046951,7047452,H4K16ac_loss_000015,0.13796545177727879,0.2460821919708314,0.38397132765925573,0.08162488913750963,0.1920238218740551,0.2327981083983827,0.0407742865243276
chr1,161132337,161132838,H4K16ac_loss_000016,0.173527297918906,-0.006557909329375345,-0.09479288075736421,-0.012676795821882294,0.08348469429476534,-0.05373483828962325,-0.13721953258438857
chr16,88315332,88315833,H4K16ac_loss_000017,-0.08131866168208465,0.02736655400393014,0.08684855998454694,0.08377102146040417,-0.02697605383907726,0.08530979072247555,0.1122858445615528
chr10,123153955,123154456,H4K16ac_loss_000018,-0.17348976892803958,-0.04302155213642442,0.2630140710317208,-0.1787665481948686,-0.108255660532232,0.04212376141842611,0.15037942195065812
chr16,29789826,29790327,H4K16ac_loss_000019,-0.04625047244756165,-0.07373337663278846,-0.009502836330208236,0.03936685295961426,-0.05999192454017506,0.01493200831470301,0.07492393285487807
chr5,154038888,154039389,H4K16ac_loss_000020,-0.0156318848569712,-0.06317954724598787,0.16818593029014603,0.13441588090892562,-0.039405716051479536,0.15130090559953582,0.19070662165101537
chr11,73142782,73143283,H4K16ac_loss_000021,0.07162040357706612,0.05965635562296994,-0.03269951665651299,0.08577169941556073,0.06563837960001803,0.026536091379523872,-0.039102288220494164
chr5,134758370,134758871,H4K16ac_loss_000022,0.07422164850635919,0.017163163268982925,0.2818990320919041,0.16274409652678315,0.04569240588767106,0.22232156430934363,0.17662915842167257
chr2,3575103,3575604,H4K16ac_loss_000023,0.2011879698509079,0.14352978675248856,0.12524077290308452,-0.10073848382872855,0.17235887830169822,0.012251144537177988,-0.16010773376452023
chr19,2541165,2541666,H4K16ac_loss_000024,-0.00044876200420235446,-0.021355469493630402,-0.0479397417423492,-0.010602867654608395,-0.010902115748916379,-0.029271304698478797,-0.018369188949562416
chr15,100803812,100804313,H4K16ac_loss_000025,-0.04012832455634476,-0.13584300476366173,-0.15683575636315011,0.033922665248701196,-0.08798566466000325,-0.06145654555722446,0.02652911910277879
chr5,177351543,177352044,H4K16ac_loss_000026,0.0012012839674235818,0.11127871678149451,0.7679731479126536,-0.12280754992615676,0.056240000374459045,0.32258279899324843,0.2663427986187894
chr3,15064984,15065485,H4K16ac_loss_000027,-0.0812163263733151,0.10492548033615533,0.2586509682490916,0.15448560989917276,0.01185457698142011,0.2065682890741322,0.19471371209271207
chr19,40417015,40417516,H4K16ac_loss_000028,-0.09119817103350353,0.11878260871964301,0.2524933828386718,0.07354378535927175,0.013792218843069741,0.16301858409897177,0.14922636525590202
chr14,49767503,49768004,H4K16ac_loss_000029,-0.09427198798892027,0.02924094072537508,0.17984364525286736,-0.06927867576911183,-0.0325155236317726,0.05528248474187777,0.08779800837365037
chr1,228082098,228082599,H4K16ac_loss_000030,0.07765952721721457,-0.051698416910188165,-0.051355999649991234,0.06589189669611806,0.012980555153513203,0.007267948523063412,-0.005712606630449792
