chrom	start0	end	peak_id	score	strand	direction	fold	fdr	gene_chrom	gene_tss_start0	gene_tss_end	gene_id	gene_score	gene_strand	gene_name	gene_type	distance_to_TSS	dataset	coord_key	annotation_category	annotated_gene_id	annotated_gene_name	promoter_within_2kb
chr1	155591985	155592486	YEATS2KD_peak_000024	0	.	gain	5.1627500159187	0.0256456368786518	chr1	155591261	155591262	ENSG00000223503	0	-	ENSG00000223503	processed_pseudogene	724	YEATS2KD	chr1:155591985-155592486	Other intron	ENSG00000125459	MSTO1	True
chr1	172639397	172639898	YEATS2KD_peak_000007	0	.	gain	1.96803554812925	0.0233625267651967	chr1	172658989	172658990	ENSG00000117560	0	+	FASLG	protein_coding	19092	YEATS2KD	chr1:172639397-172639898	Distal intergenic	ENSG00000117560	FASLG	False
chr1	202269113	202269614	YEATS2KD_peak_000012	0	.	loss	-5.78211570029249	0.0233625267651967	chr1	202239009	202239010	ENSG00000306579	0	-	ENSG00000306579	lncRNA	30104	YEATS2KD	chr1:202269113-202269614	Other intron	ENSG00000133067	LGR6	False
chr1	214333497	214333998	YEATS2KD_peak_000056	0	.	loss	-3.76411813074195	0.0410473874917425	chr1	214357614	214357615	ENSG00000228470	0	-	ENSG00000228470	lncRNA	23617	YEATS2KD	chr1:214333497-214333998	Promoter (2-3 kb)	ENSG00000143499	SMYD2	False
chr2	9677360	9677861	YEATS2KD_peak_000060	0	.	loss	-3.46356273189431	0.0483233695629193	chr2	9639471	9639472	ENSG00000134308	0	-	YWHAQ	protein_coding	37889	YEATS2KD	chr2:9677360-9677861	Other intron	ENSG00000240687	LOC105373418	False
chr2	24940839	24941340	YEATS2KD_peak_000023	0	.	loss	-5.33813249050366	0.024053318342939	chr2	24927224	24927225	ENSG00000309570	0	-	ENSG00000309570	lncRNA	13615	YEATS2KD	chr2:24940839-24941340	Other intron		LOC124907742	False
chr2	24984398	24984899	YEATS2KD_peak_000039	0	.	loss	-4.59313217960651	0.0297806826893949	chr2	24972093	24972094	ENSG00000115137	0	-	DNAJC27	protein_coding	12305	YEATS2KD	chr2:24984398-24984899	Other intron	ENSG00000224165	DNAJC27-AS1	False
chr2	54974196	54974697	YEATS2KD_peak_000041	0	.	gain	3.7823187132918	0.0314817032331437	chr2	55014520	55014521	ENSG00000200086	0	-	RNU6-433P	snRNA	39824	YEATS2KD	chr2:54974196-54974697	Promoter (<=1 kb)	ENSG00000115310	RTN4	False
chr2	65227537	65228038	YEATS2KD_peak_000002	0	.	loss	-2.69132492787918	0.0149686490097595	chr2	65227645	65227646	ENSG00000293332	0	-	ENSG00000293332	lncRNA	0	YEATS2KD	chr2:65227537-65228038	Promoter (<=1 kb)	ENSG00000138071	ACTR2	True
chr2	109318561	109319062	YEATS2KD_peak_000027	0	.	gain	1.02997351175882	0.0256456368786518	chr2	109313624	109313625	ENSG00000265965	0	-	MIR4266	miRNA	4937	YEATS2KD	chr2:109318561-109319062	Other intron	ENSG00000265965	MIR4266	False
chr3	47522606	47523107	YEATS2KD_peak_000052	0	.	loss	-2.59896514592435	0.038836746409752	chr3	47513737	47513738	ENSG00000163832	0	-	ELP6	protein_coding	8869	YEATS2KD	chr3:47522606-47523107	Distal intergenic	ENSG00000163832	ELP6	False
chr3	124161885	124162386	YEATS2KD_peak_000006	0	.	gain	5.04931194085288	0.0181846248866809	chr3	124153062	124153063	ENSG00000240622	0	-	RPL7P15	processed_pseudogene	8823	YEATS2KD	chr3:124161885-124162386	3' UTR	ENSG00000266383	MIR5002	False
chr3	183838939	183839440	YEATS2KD_peak_000016	0	.	loss	-5.5691774492581	0.0233625267651967	chr3	183825611	183825612	ENSG00000180834	0	-	MAP6D1	protein_coding	13328	YEATS2KD	chr3:183838939-183839440	Promoter (2-3 kb)	ENSG00000175193	PARL	False
chr5	115459740	115460241	YEATS2KD_peak_000020	0	.	gain	5.47196731182769	0.0233625267651967	chr5	115464221	115464222	ENSG00000289497	0	-	ENSG00000289497	lncRNA	3981	YEATS2KD	chr5:115459740-115460241	Other intron	ENSG00000289497	LOC105379130	False
chr5	132855841	132856342	YEATS2KD_peak_000019	0	.	loss	-5.48878588214587	0.0233625267651967	chr5	132848576	132848577	ENSG00000201274	0	+	RNA5SP192	rRNA_pseudogene	7265	YEATS2KD	chr5:132855841-132856342	Distal intergenic	ENSG00000164404	GDF9	False
chr6	37332618	37333119	YEATS2KD_peak_000010	0	.	loss	-4.26953818372165	0.0233625267651967	chr6	37353969	37353970	ENSG00000112130	0	+	RNF8	protein_coding	20851	YEATS2KD	chr6:37332618-37333119	3' UTR	ENSG00000112130	RNF8	False
chr6	41594908	41595409	YEATS2KD_peak_000025	0	.	loss	-5.12756991313366	0.0256456368786518	chr6	41598722	41598723	ENSG00000266494	0	+	MIR4641	miRNA	3314	YEATS2KD	chr6:41594908-41595409	Other exon	ENSG00000266494	MIR4641	False
