"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","annotation_category","input_gene","ENTREZID"
"chr7",100148821,100149321,501,"*",6.0426282226989,0,7.0426282226989,-8.36721030583638,3.15661267020354e-09,3.3902020077986e-06,"Promoter (<=1kb)",7,100148912,100154203,5292,1,"389541","ENST00000474141.5",0,"ENSG00000188186","LAMTOR4","late endosomal/lysosomal adaptor, MAPK and MTOR activator 4","Promoter (<=1 kb)","LAMTOR4","389541"
"chr7",102464281,102464781,501,"*",6.11431862340906,0,7.11431862340906,-8.29752648253577,2.46150308840104e-08,1.58619259016563e-05,"Promoter (<=1kb)",7,102459397,102464857,5461,2,"54784","ENST00000498283.1",76,"ENSG00000160993","ALKBH4","alkB homolog 4, lysine demethylase","Promoter (<=1 kb)","ALKBH4","54784"
"chr11",69010952,69011452,501,"*",5.384789960145,0,6.384789960145,-7.61549541308898,2.81384883504002e-07,0.000151103682441649,"Promoter (<=1kb)",11,69012283,69014556,2274,1,"101928200","ENST00000569432.2",-831,"ENSG00000256508","MRGPRF-AS1","MRGPRF antisense RNA 1","Promoter (<=1 kb)","MRGPRF-AS1","101928200"
"chr2",39123825,39124325,501,"*",5.28281296728795,0,6.28281296728795,-7.41695960667147,9.83899103476041e-07,0.000409114358745645,"Promoter (<=1kb)",2,39023146,39124345,101200,2,"6654","ENST00000690679.1",20,"ENSG00000115904","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","Promoter (<=1 kb)","SOS1","6654"
"chr14",23071297,23071797,501,"*",5.16611126912757,0,6.16611126912757,-7.33494015023422,1.0158022563517e-06,0.000409114358745645,"Promoter (<=1kb)",14,23058564,23071565,13002,2,"22985","ENST00000557515.5",0,"ENSG00000100813","ACIN1","apoptotic chromatin condensation inducer 1","Promoter (<=1 kb)","ACIN1","22985"
"chr17",7046952,7047452,501,"*",5.31830775522969,0,6.31830775522969,-7.24570352675528,3.64772114959965e-06,0.000652942085778337,"Promoter (2-3kb)",17,7041621,7044092,2472,2,"162515","ENST00000673828.2",-2860,"ENSG00000174326","SLC16A11","solute carrier family 16 member 11","Promoter (2-3 kb)","SLC16A11","162515"
"chr11",78139042,78139542,501,"*",5.00608800873186,0,6.00608800873186,-7.16347984691335,1.67838938801354e-06,0.000517465302461274,"Promoter (<=1kb)",11,78100946,78139258,38313,2,"79053","ENST00000530910.6",0,"ENSG00000159063","ALG8","ALG8 alpha-1,3-glucosyltransferase","Promoter (<=1 kb)","ALG8","79053"
"chr19",12933423,12933923,501,"*",4.98447885944549,0,5.98447885944549,-7.13008836931712,1.92724507434367e-06,0.000517465302461274,"Promoter (<=1kb)",19,12922479,12933711,11233,2,"2193","ENST00000314606.9",0,"ENSG00000179115","FARSA","phenylalanyl-tRNA synthetase subunit alpha","Promoter (<=1 kb)","FARSA","2193"
"chr7",152759716,152760216,501,"*",5.10128362245003,0,6.10128362245003,-7.1187512109924,3.39860394557249e-06,0.000644135406625563,"Promoter (<=1kb)",7,152759749,152854938,95190,1,"57180","ENST00000377776.7",0,"ENSG00000133627","ACTR3B","actin related protein 3B","Promoter (<=1 kb)","ACTR3B","57180"
"chr2",202374748,202375248,501,"*",5.0518329162097,0,6.0518329162097,-7.10819068490328,2.98306826117727e-06,0.000640763062500879,"Promoter (1-2kb)",2,202376327,202567749,191423,1,"659","ENST00000374580.10",-1079,"ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2","Promoter (1-2 kb)","BMPR2","659"
"chr17",17913813,17914313,501,"*",4.92880869885139,0,5.92880869885139,-7.01031335133528,3.29427820745603e-06,0.000644135406625563,"Intron (ENST00000581396.6/146691, intron 1 of 13)",17,17846825,17872064,25240,2,"146691","ENST00000478943.5",-41749,"ENSG00000175662","TOM1L2","target of myb1 like 2 membrane trafficking protein","Other intron","TOM1L2","146691"
"chr1",161132338,161132838,501,"*",4.82490301926277,0,5.82490301926277,-6.88505551263067,4.54602047523094e-06,0.000770909366904951,"Promoter (<=1kb)",1,161120974,161132667,11694,2,"9191","ENST00000368006.8",0,"ENSG00000158796","DEDD","death effector domain containing","Promoter (<=1 kb)","DEDD","9191"
"chr16",88315333,88315833,501,"*",4.91522742876287,0,5.91522742876287,-6.86971382325721,6.64019115994792e-06,0.00106973479586761,"Distal Intergenic",16,88268699,88294886,26188,1,"84627","ENST00000767805.1",46634,"ENSG00000225614","ZNF469","zinc finger protein 469","Distal intergenic","ZNF469","84627"
"chr16",29789827,29790327,501,"*",4.77939221209565,0,5.77939221209565,-6.75356032821583,7.5482720756918e-06,0.00110547875581268,"Promoter (<=1kb)",16,29790727,29805384,14658,1,"3835","ENST00000691169.1",-400,"ENSG00000079616","KIF22","kinesin family member 22","Promoter (<=1 kb)","KIF22","3835"
"chr11",73142783,73143283,501,"*",4.90241499345439,0,5.90241499345439,-6.74995218438461,1.07498250155754e-05,0.001443164008341,"Promoter (<=1kb)",11,72836745,73142318,305574,2,"9873","ENST00000409418.9",-465,"ENSG00000137478","FCHSD2","FCH and double SH3 domains 2","Promoter (<=1 kb)","FCHSD2","9873"
"chr5",154038889,154039389,501,"*",4.71910847798026,0,5.71910847798026,-6.68502242650584,8.60181798339977e-06,0.00120500250184844,"Promoter (<=1kb)",5,153990148,154038910,48763,2,"10827","ENST00000351797.9",0,"ENSG00000055147","FAM114A2","family with sequence similarity 114 member A2","Promoter (<=1 kb)","FAM114A2","10827"
"chr5",134758371,134758871,501,"*",4.66393337246939,0,5.66393337246939,-6.58173357828123,1.14323318422333e-05,0.00147339892782703,"Promoter (<=1kb)",5,134758771,134790122,31352,1,"9879","ENST00000628477.2",0,"ENSG00000145833","DDX46","DEAD-box helicase 46","Promoter (<=1 kb)","DDX46","9879"
"chr22",29096577,29097077,501,"*",4.87896612307083,0,5.87896612307083,-6.54438096119262,2.09126442050481e-05,0.00184275507193784,"Intron (ENST00000400335.9/83999, intron 2 of 8)",22,29073131,29142112,68982,1,"83999","ENST00000407188.5",23446,"ENSG00000183762","KREMEN1","kringle containing transmembrane protein 1","Other intron","KREMEN1","83999"
"chr14",49767504,49768004,501,"*",4.75108620362187,0,5.75108620362187,-6.52504623997696,1.72445854802129e-05,0.00173631420053894,"Promoter (<=1kb)",14,49768130,49783105,14976,1,"23588","ENST00000555739.5",-126,"ENSG00000165516","KLHDC2","kelch domain containing 2","Promoter (<=1 kb)","KLHDC2","23588"
