"Gene","RNA_log2FC","RNA_padj","H4K16ac_Fold","H4K16ac_FDR","Peak_annotation","Distance_to_TSS","Peak_chr","Peak_start","Peak_end","Biological_category"
"ACTR3B",-1.23909400534103,1.11358847959648e-08,-7.1187512109924,0.000644135406625563,"Promoter (<=1kb)",0,"chr7",152759716,152760216,"H4K16ac loss + RNA down"
"ZNF469",-1.73905427585143,9.43604986110715e-09,-6.86971382325721,0.00106973479586761,"Distal Intergenic",46634,"chr16",88315333,88315833,"H4K16ac loss + RNA down"
"KREMEN1",-1.47676198067117,2.70777965519965e-23,-6.54438096119262,0.00184275507193784,"Intron (ENST00000400335.9/83999, intron 2 of 8)",23446,"chr22",29096577,29097077,"H4K16ac loss + RNA down"
"SLC43A1",-1.03085590209908,6.99029362314958e-09,-6.01907725701251,0.00291074918644088,"Promoter (<=1kb)",7,"chr11",57514108,57514608,"H4K16ac loss + RNA down"
"C5",-1.99539202105268,5.11693236297875e-05,-5.648124091029,0.00478960701296911,"Promoter (<=1kb)",0,"chr9",121075178,121075678,"H4K16ac loss + RNA down"
"PDIA4",-1.26539757989461,3.03567701145749e-11,-4.82196715306175,0.00521506259380617,"Promoter (<=1kb)",-250,"chr7",149028912,149029412,"H4K16ac loss + RNA down"
"LIMK1",-1.97746705262862,1.34265024195215e-105,-3.04782280179994,0.00530431549211305,"Promoter (<=1kb)",-26,"chr7",74092553,74093053,"H4K16ac loss + RNA down"
"EPHX1",-1.51386911577936,1.28780664406862e-38,-3.98744817848144,0.00589051713221614,"Intron (ENST00000272167.10/2052, intron 1 of 8)",-7051,"chr1",225817803,225818303,"H4K16ac loss + RNA down"
"AP5Z1",-1.54457450461797,4.25005188497246e-38,-4.70650638722681,0.00620269872350433,"Promoter (<=1kb)",0,"chr7",4775363,4775863,"H4K16ac loss + RNA down"
"TNFRSF18",-3.07121568343869,1.08579413801607e-12,-4.72329748243427,0.00964631249790165,"Distal Intergenic",3696,"chr1",1201484,1201984,"H4K16ac loss + RNA down"
"FBXW4",-1.35963603907168,1.16626778758056e-09,-4.16865260813796,0.00974205939825343,"Promoter (<=1kb)",661,"chr10",101694009,101694509,"H4K16ac loss + RNA down"
"ACTR3C",-1.4944695290391,0.000251101163406788,-2.236622852075,0.0127939467401331,"Promoter (<=1kb)",0,"chr7",150322731,150323231,"H4K16ac loss + RNA down"
"SUMF2",-1.88539198457902,1.78658212270956e-47,-2.40342031054413,0.0145916827285808,"Promoter (<=1kb)",0,"chr7",56064119,56064619,"H4K16ac loss + RNA down"
"HPDL",-1.88238008354454,2.98335909600375e-30,-1.57647572551508,0.0179543377061432,"Promoter (<=1kb)",0,"chr1",45326814,45327314,"H4K16ac loss + RNA down"
"FASTK",-1.07689146730349,2.26259147224524e-18,-2.02443456482352,0.0210366865976233,"Promoter (<=1kb)",-549,"chr7",151081415,151081915,"H4K16ac loss + RNA down"
"LINC-PINT",-1.34161725359574,9.65801251404735e-15,-2.52473239727182,0.0245943683867746,"Intron (ENST00000642963.1/105375509, intron 2 of 6)",-12527,"chr7",131008068,131008568,"H4K16ac loss + RNA down"
"TBRG4",-1.12077902752863,3.14490764581846e-36,-1.68996114687735,0.0261601393717366,"Promoter (<=1kb)",87,"chr7",45110914,45111414,"H4K16ac loss + RNA down"
"FGF3",-1.74126259576609,3.22930611559116e-42,-1.84033744222388,0.0307283444727661,"Promoter (<=1kb)",-860,"chr11",69820276,69820776,"H4K16ac loss + RNA down"
"TP53",-3.49646254394052,1.93668204335291e-175,-1.98378372845093,0.0463700895599328,"Promoter (<=1kb)",4,"chr17",7686923,7687423,"H4K16ac loss + RNA down"
"TSPAN5",-1.14076394295342,5.93742612106408e-23,-2.60080922825344,0.0469345852738983,"Intron (ENST00000508798.5/10098, intron 1 of 7)",36508,"chr4",98523225,98523725,"H4K16ac loss + RNA down"
"TSC22D2",1.06451954611159,8.84726818593389e-15,-5.19983032173182,0.00376530486800055,"Promoter (<=1kb)",0,"chr3",150408090,150408590,"H4K16ac loss + RNA up"
"LINC00910",1.83502355203592,8.26504314715683e-08,-5.7183486494684,0.00421496877531297,"Promoter (<=1kb)",0,"chr17",43387832,43388332,"H4K16ac loss + RNA up"
"AOPEP",1.13796247651247,3.0775563536222e-40,-4.16923862043285,0.0153836044497207,"Intron (ENST00000375315.8/84909, intron 13 of 16)",12460,"chr9",95031351,95031851,"H4K16ac loss + RNA up"
"ETV6",1.07291940446796,2.16469102272781e-20,-1.88762485076819,0.0304074563347914,"Intron (ENST00000396373.9/2120, intron 1 of 7)",-24924,"chr12",11727077,11727577,"H4K16ac loss + RNA up"
"CORO1C",1.01553267836711,1.07158937046397e-44,-2.87289645583534,0.043601945597182,"Promoter (2-3kb)",-2791,"chr12",108661623,108662123,"H4K16ac loss + RNA up"
"ELF1",1.04455621434089,1.80667352618401e-25,-1.6057765719548,0.0451422994627494,"Promoter (<=1kb)",617,"chr13",41060323,41060823,"H4K16ac loss + RNA up"
