gene_id,Gene,chr,start,end,strand,Scramble_rep1,Scramble_rep2,KD_rep1,KD_rep2,Scramble_signal,KD_signal,Difference,log2FC,Direction,Rank_gain,Rank_loss,Rank
ENSG00000229117.11,RPL41,chr12,56116584,56117967,+,0.718206487967756,0.7427437375141381,0.3968179668592786,0.11544068787746611,0.730475112740947,0.25612932736837235,-0.47434578537257466,-0.47434578537257466,loss,11751,1,1
ENSG00000292259.1,ENSG00000292259,chr12,111842236,111842368,+,0.21903025703222462,0.8614098267121748,0.038658888841217216,0.17130864863142822,0.5402200418721997,0.10498376873632272,-0.43523627313587704,-0.43523627313587704,loss,11750,2,2
ENSG00000293564.1,ENSG00000293564,chr1,179882315,179882393,+,0.37186014614044094,1.1245719072146294,0.6756086372412168,-0.04711901502779279,0.7482160266775352,0.314244811106712,-0.4339712155708232,-0.4339712155708232,loss,11749,3,3
ENSG00000288625.1,ENSG00000288625,chr15,81002141,81002279,+,0.2744461884317191,0.6936973493168319,0.13548633639795193,-0.009983722687415455,0.4840717688742755,0.06275130685526824,-0.42132046201900725,-0.42132046201900725,loss,11748,4,4
ENSG00000288649.2,ACTL10,chr20,33666942,33668525,+,0.6909734076965631,0.3755526979061447,0.07770766286751278,0.1476595601654098,0.5332630528013539,0.11268361151646128,-0.4205794412848926,-0.4205794412848926,loss,11747,5,5
ENSG00000188486.4,H2AX,chr11,119093873,119095465,-,0.3724248446594343,0.5370168954686229,0.05760705817359776,0.07577631216122999,0.4547208700640286,0.06669168516741387,-0.38802918489661475,-0.38802918489661475,loss,11746,6,6
ENSG00000289491.1,ENSG00000289491,chr16,30610210,30610351,-,0.927519551828398,0.9652450084686279,0.8436194100278489,0.27905363932991706,0.9463822801485129,0.561336524678883,-0.38504575546962994,-0.38504575546962994,loss,11745,7,7
ENSG00000125458.9,NT5C,chr17,75130224,75131806,-,0.3109798563382907,0.7050159536590552,0.26234399449985646,0.0029663668948963907,0.5079979049986729,0.13265518069737642,-0.3753427243012965,-0.3753427243012965,loss,11744,8,8
ENSG00000288634.1,ENSG00000288634,chr7,112450486,112450645,+,0.26304867010821337,0.6440085921459978,0.04524381845346037,0.1268343991430113,0.4535286311271056,0.08603910879823584,-0.3674895223288698,-0.3674895223288698,loss,11743,9,9
ENSG00000289325.1,ENSG00000289325,chr10,66926307,66926346,+,-0.08364880084991455,0.6136871392910297,-0.06791319698095322,-0.07851689480818234,0.26501916922055757,-0.07321504589456779,-0.33823421511512536,-0.33823421511512536,loss,11742,10,10
ENSG00000160813.9,PPP1R35,chr7,100435260,100436546,-,0.498360030398694,0.46602936417826135,0.24238634417427365,0.06355897017970426,0.48219469728847764,0.15297265717698896,-0.3292220401114887,-0.3292220401114887,loss,11741,11,11
ENSG00000034510.8,TMSB10,chr2,84904922,84906680,+,0.31437386280779683,0.396227634277733,0.02381386845642796,0.03262756418318099,0.35530074854276494,0.028220716319804474,-0.32708003222296045,-0.32708003222296045,loss,11740,12,12
ENSG00000289760.1,ENSG00000289760,chr7,100478098,100478170,-,0.2913512649635474,0.516097444213099,-0.09890953616963492,0.2646928731766012,0.40372435458832323,0.08289166850348312,-0.3208326860848401,-0.3208326860848401,loss,11739,13,13
ENSG00000161179.16,YDJC,chr22,21628088,21630070,-,0.6149473226617803,0.6540836708497549,0.5278449026147876,0.10410421856469451,0.6345154967557676,0.31597456058974105,-0.3185409361660265,-0.3185409361660265,loss,11738,14,14
ENSG00000283268.2,TEX54,chr11,62832320,62832841,-,0.27882505405601293,0.16927412141207426,-0.1068153561605945,-0.0777629380455802,0.2240495877340436,-0.09228914710308735,-0.31633873483713093,-0.31633873483713093,loss,11737,15,15
