chromosome,start,end,peak_id,control_rep1,control_rep2,KD_rep1,KD_rep2,control_mean,KD_mean,H4K16ac_KD_minus_control
chr1,171339314,171339815,MOF_loss_000001,1.5251861485892426,1.8330737774719497,3.8800504469348045,4.861163662341302,1.6791299630305963,4.370607054638054,2.6914770916074575
chrKI270438.1,103827,104328,MOF_loss_000002,1.1872619232255779,1.7727125894999551,2.2298941676488178,2.296617114377355,1.4799872563627665,2.263255641013086,0.7832683846503197
chr20,41113808,41114309,MOF_loss_000003,0.44072687256887944,0.4610686053832372,1.265438103764885,1.7183938984742422,0.45089773897605834,1.4919160011195636,1.0410182621435053
chr20,41099897,41100398,MOF_loss_000004,0.33681391794494764,0.474584986468751,1.2608151305429711,1.7215890713308393,0.40569945220684933,1.4912021009369052,1.0855026487300559
chrKI270438.1,109163,109664,MOF_loss_000005,0.9067001251165501,1.5587874686646603,1.9088314459947293,2.034345703448602,1.2327437968906052,1.9715885747216657,0.7388447778310605
chr1,228166143,228166644,MOF_loss_000006,0.2181910623834857,0.012938166472190869,-0.027677353464081855,0.059603602534342194,0.11556461442783829,0.01596312453513017,-0.09960148989270812
chrKI270467.1,2081,2582,MOF_loss_000007,0.8591582342060264,0.13147700290955947,0.19863735351287676,0.2013152859205317,0.49531761855779294,0.1999763197167042,-0.29534129884108873
chrML143380.1,79221,79722,MOF_loss_000008,0.8693863088023401,-0.5078157118694511,-0.49948359088983363,-0.4552934655172382,0.18078529846644453,-0.47738852820353594,-0.6581738266699805
chrKI270466.1,768,1269,MOF_loss_000009,0.749907370280194,0.4077304225134593,0.28307428845925436,0.4209999308070188,0.5788188963968267,0.3520371096331366,-0.2267817867636901
chrGL000225.1,74434,74935,MOF_loss_000010,0.17285705816062044,0.5269500883649328,0.5299821201146779,0.6964764667901688,0.34990357326277666,0.6132292934524234,0.26332572018964673
chr10,69222581,69223082,MOF_loss_000011,0.3345913428389384,0.5371428338007745,0.2054709701347137,0.022649506170176224,0.43586708831985643,0.11406023815244495,-0.3218068501674115
chr1,28510592,28511093,MOF_loss_000012,0.22320055173423714,0.11214875590480017,0.43040755905671985,0.12379691028547382,0.16767465381951865,0.27710223467109685,0.1094275808515782
chrKI270442.1,135028,135529,MOF_loss_000013,0.010531915494885868,0.07957030608209069,0.07547662856718135,0.27466536008431286,0.04505111078848828,0.1750709943257471,0.13001988353725882
chrKI270442.1,140409,140910,MOF_loss_000014,0.12055281521715298,0.09369408521158044,0.18527921986675072,0.18544564652117249,0.10712345021436671,0.18536243319396162,0.0782389829795949
chr11,44569136,44569637,MOF_loss_000015,0.29132073255118257,0.36767291715982076,-0.0313344766291048,-0.025026087550643436,0.3294968248555017,-0.02818028208987412,-0.3576771069453758
