gene_id,Gene,chr,tss
ENSG00000136997.22,MYC,chr8,127735433
ENSG00000241685.12,ARPC1A,chr7,99325878
ENSG00000284292.1,ENSG00000284292,chr7,99325878
ENSG00000221978.15,CCNL2,chr1,1400908
ENSG00000153037.17,SRP19,chr5,112861187
ENSG00000221838.14,AP4M1,chr7,100100840
ENSG00000166508.21,MCM7,chr7,100101939
ENSG00000170144.25,HNRNPA3,chr2,177212586
ENSG00000203852.4,H3C15,chr1,149852607
ENSG00000091127.16,PUS7,chr7,105522271
ENSG00000143368.12,SF3B4,chr1,149928267
ENSG00000159069.16,FBXW5,chr9,136950121
ENSG00000164967.12,RPP25L,chr9,34612604
ENSG00000258728.2,ENSG00000258728,chr9,34646630
ENSG00000055044.13,NOP58,chr2,202265275
ENSG00000075426.14,FOSL2,chr2,28392447
ENSG00000148356.17,LRSAM1,chr9,127451468
ENSG00000115137.13,DNAJC27,chr2,24972093
ENSG00000132305.24,IMMT,chr2,86195630
ENSG00000166997.10,CNPY4,chr7,100119613
ENSG00000055332.21,EIF2AK2,chr2,37157687
ENSG00000196787.5,H2AC11,chr6,27133042
ENSG00000082701.19,GSK3B,chr3,120095711
ENSG00000138435.16,CHRNA1,chr2,174787934
ENSG00000091106.21,NLRC4,chr2,32265819
ENSG00000106336.15,FBXO24,chr7,100583981
ENSG00000288608.1,ENSG00000288608,chr7,151061927
ENSG00000162994.18,CLHC1,chr2,55232562
ENSG00000085514.17,PILRA,chr7,100367529
ENSG00000144354.17,CDCA7,chr2,173354817
ENSG00000049541.13,RFC2,chr7,74254457
ENSG00000095002.18,MSH2,chr2,47403066
ENSG00000228672.4,PROB1,chr5,139395103
ENSG00000197153.5,H3C12,chr6,27893105
ENSG00000235387.7,SPAAR,chr9,35909487
ENSG00000142330.22,CAPN10,chr2,240586365
ENSG00000117308.17,GALE,chr1,23800803
ENSG00000278677.2,H2AC17,chr6,27893184
ENSG00000138413.16,IDH1,chr2,208266094
ENSG00000112242.18,E2F3,chr6,20401839
