"Gene","H4K16ac_Fold","H4K16ac_FDR","Peak_annotation","Distance_to_TSS","Peak_chr","Peak_start","Peak_end"
"ABCF2",-5.61366014150471,0.00478960701296911,"Promoter (<=1kb)",0,"chr7",151226788,151227288
"ACIN1",-7.33494015023422,0.000409114358745645,"Promoter (<=1kb)",0,"chr14",23071297,23071797
"ACTR3B",-7.1187512109924,0.000644135406625563,"Promoter (<=1kb)",0,"chr7",152759716,152760216
"ACTR3C",-2.236622852075,0.0127939467401331,"Promoter (<=1kb)",0,"chr7",150322731,150323231
"ADRA1B",-4.65042636111053,0.0100623697237371,"Promoter (<=1kb)",0,"chr5",159916013,159916513
"AFG3L1P",-1.61701005070316,0.0346467018716167,"Promoter (<=1kb)",0,"chr16",89972311,89972811
"AHCY",-1.4418919551044,0.0177818261323512,"Promoter (<=1kb)",0,"chr20",34302517,34303017
"ALG8",-7.16347984691335,0.000517465302461274,"Promoter (<=1kb)",0,"chr11",78139042,78139542
"ALKBH4",-8.29752648253577,1.58619259016563e-05,"Promoter (<=1kb)",76,"chr7",102464281,102464781
"ALKBH5",-1.46532542503249,0.0193780383594015,"Promoter (<=1kb)",35,"chr17",18183113,18183613
"ANKRD11",-5.09755759612411,0.00680820586783923,"Promoter (2-3kb)",2583,"chr16",89325903,89326403
"ANP32B",-2.55251719667486,0.00189976295168535,"Promoter (<=1kb)",158,"chr9",97983499,97983999
"AP5Z1",-4.70650638722681,0.00620269872350433,"Promoter (<=1kb)",0,"chr7",4775363,4775863
"ARF1",-6.42104891213982,0.00175945924087355,"Promoter (<=1kb)",-109,"chr1",228082099,228082599
"ARHGDIA",-1.62677644763354,0.00543713743454161,"Promoter (<=1kb)",-145,"chr17",81871523,81872023
"ASL",-5.97464037003827,0.00289820807455558,"Promoter (<=1kb)",0,"chr7",66075519,66076019
"ATN1",-1.29080890502076,0.0469345852738983,"Promoter (<=1kb)",0,"chr12",6937497,6937997
"BMPR2",-7.10819068490328,0.000640763062500879,"Promoter (1-2kb)",-1079,"chr2",202374748,202375248
"BUB3",-4.80601420018015,0.00110547875581268,"Promoter (<=1kb)",0,"chr10",123153956,123154456
"C5",-5.648124091029,0.00478960701296911,"Promoter (<=1kb)",0,"chr9",121075178,121075678
"C8ORF58",-2.04275548397199,0.0291400714991976,"Promoter (<=1kb)",0,"chr8",22599187,22599687
"CD9",-2.47002326343868,0.0153836044497207,"Promoter (2-3kb)",2467,"chr12",6228795,6229295
"CDC25A",-4.8936313725974,0.00817621769513532,"Promoter (<=1kb)",881,"chr3",48186585,48187085
"CDKN2B-AS1",-1.74099767690695,0.0344474927102648,"Promoter (<=1kb)",0,"chr9",21994450,21994950
"CHCHD4",-2.44329816168043,0.0239740401240284,"Promoter (<=1kb)",0,"chr3",14124340,14124840
"CORO1C",-2.87289645583534,0.043601945597182,"Promoter (2-3kb)",-2791,"chr12",108661623,108662123
"CXXC5",-1.42958439442481,0.0469345852738983,"Promoter (1-2kb)",1124,"chr5",139660679,139661179
"CYB561",-2.10061556787273,0.000595355619610499,"Promoter (<=1kb)",-131,"chr17",63446485,63446985
"DDX46",-6.58173357828123,0.00147339892782703,"Promoter (<=1kb)",0,"chr5",134758371,134758871
"DEDD",-6.88505551263067,0.000770909366904951,"Promoter (<=1kb)",0,"chr1",161132338,161132838
"DPAGT1",-1.85629119168457,0.0195903256980795,"Promoter (<=1kb)",0,"chr11",119101761,119102261
"DSCC1",-4.29186619733906,0.0144498537826234,"Promoter (<=1kb)",-25,"chr8",119855919,119856419
"ELF1",-1.6057765719548,0.0451422994627494,"Promoter (<=1kb)",617,"chr13",41060323,41060823
"ELOA",-3.28959228267793,0.00200334216244036,"Promoter (<=1kb)",0,"chr1",23743333,23743833
"EOLA2-DT",-5.02463156599194,0.00755510666974482,"Promoter (<=1kb)",-79,"chrX",149939160,149939660
"ESRRA",-2.16281059836227,0.0404326619315777,"Promoter (<=1kb)",0,"chr11",64305229,64305729
"EXOSC2",-1.9837284506621,0.04834793429039,"Promoter (<=1kb)",-536,"chr9",130692685,130693185
"FAM114A2",-6.68502242650584,0.00120500250184844,"Promoter (<=1kb)",0,"chr5",154038889,154039389
"FARSA",-7.13008836931712,0.000517465302461274,"Promoter (<=1kb)",0,"chr19",12933423,12933923
"FASTK",-2.02443456482352,0.0210366865976233,"Promoter (<=1kb)",-549,"chr7",151081415,151081915
"FBXW4",-4.16865260813796,0.00974205939825343,"Promoter (<=1kb)",661,"chr10",101694009,101694509
"FCHSD2",-6.74995218438461,0.001443164008341,"Promoter (<=1kb)",-465,"chr11",73142783,73143283
"FGF3",-1.84033744222388,0.0307283444727661,"Promoter (<=1kb)",-860,"chr11",69820276,69820776
"FKBP9",-1.66902945340259,0.0431180774279267,"Promoter (<=1kb)",0,"chr7",32957184,32957684
"FMC1",-1.46477047956167,0.0451834358710382,"Promoter (<=1kb)",0,"chr7",139340850,139341350
"FYN",-1.60709212982622,0.0234339948788788,"Promoter (<=1kb)",0,"chr6",111793649,111794149
"GABARAP",-3.13846378190671,0.0116148467683032,"Promoter (<=1kb)",0,"chr17",7242325,7242825
"GEMIN4",-1.60204611259583,0.00312137813585434,"Promoter (<=1kb)",0,"chr17",752091,752591
"GEMIN8",-5.04447630275578,0.00719811202485636,"Promoter (<=1kb)",56,"chrX",14029059,14029559
"GGNBP1",-3.80567943487819,0.00503961510575783,"Promoter (<=1kb)",0,"chr6",33571344,33571844
"GIT1",-5.44522687902751,0.00514607095287258,"Promoter (<=1kb)",406,"chr17",29580475,29580975
"GNA12",-1.76495325977625,0.0141862756380074,"Promoter (2-3kb)",2446,"chr7",2757506,2758006
"GTPBP1",-6.05423505822111,0.00255519141467209,"Promoter (<=1kb)",0,"chr22",38705697,38706197
"H2AC14",-2.2837476170146,0.0469345852738983,"Promoter (<=1kb)",0,"chr6",27814552,27815052
"HINT3",-5.10821263310062,0.00748906804721547,"Promoter (<=1kb)",0,"chr6",125956681,125957181
"HPDL",-1.57647572551508,0.0179543377061432,"Promoter (<=1kb)",0,"chr1",45326814,45327314
"HSPA4L",-4.03409083086368,0.00645643236492422,"Promoter (<=1kb)",0,"chr4",127781947,127782447
"ID2",-1.99329109593403,0.0469345852738983,"Promoter (2-3kb)",2199,"chr2",8684979,8685479
"IMPDH2",-5.61150536969534,0.000517465302461274,"Promoter (<=1kb)",0,"chr3",49028966,49029466
"KEAP1",-3.18805205899226,0.00184275507193784,"Promoter (<=1kb)",0,"chr19",10502341,10502841
"KIF22",-6.75356032821583,0.00110547875581268,"Promoter (<=1kb)",-400,"chr16",29789827,29790327
"KLHDC2",-6.52504623997696,0.00173631420053894,"Promoter (<=1kb)",-126,"chr14",49767504,49768004
"KRT18",-3.83356045866715,0.00472082769921384,"Promoter (2-3kb)",-2833,"chr12",52945538,52946038
"LAMP1",-1.58618958279175,0.0481765190317315,"Promoter (<=1kb)",0,"chr13",113296788,113297288
"LAMTOR4",-8.36721030583638,3.3902020077986e-06,"Promoter (<=1kb)",0,"chr7",100148821,100149321
"LIMK1",-3.04782280179994,0.00530431549211305,"Promoter (<=1kb)",-26,"chr7",74092553,74093053
"LINC00910",-5.7183486494684,0.00421496877531297,"Promoter (<=1kb)",0,"chr17",43387832,43388332
"LINC01232",-1.74893873793544,0.0431180774279267,"Promoter (<=1kb)",0,"chr13",99498457,99498957
"LINC01775",-1.4998839877945,0.0227833661313445,"Promoter (<=1kb)",-396,"chr19",2462581,2463081
"LINC02259",-1.46055485175981,0.0304074563347914,"Promoter (<=1kb)",-943,"chr15",72616576,72617076
"LINC02525",-5.37468810072646,0.00573106866618317,"Promoter (<=1kb)",395,"chr6",3194882,3195382
"LINC02828",-1.45165418569967,0.0497562146135758,"Promoter (<=1kb)",0,"chr6",24721507,24722007
"LMAN2",-2.75783450858662,0.00173631420053894,"Promoter (<=1kb)",0,"chr5",177351544,177352044
"LOC100652758",-1.54325015495521,0.0402182077597206,"Promoter (<=1kb)",0,"chr5",151771149,151771649
"LOC101928046",-2.42266065518352,0.0327680191839872,"Promoter (<=1kb)",-183,"chr14",70254946,70255446
"LOC101928059",-4.55349847103853,0.0119391232735047,"Promoter (<=1kb)",0,"chr1",153923313,153923813
"LOC101929691",-1.49660675952137,0.048110556312044,"Promoter (<=1kb)",0,"chr2",10302482,10302982
"LOC105371922",-4.72064738073247,0.0095919375875153,"Promoter (2-3kb)",2414,"chr17",80584047,80584547
"LOC105378483",-4.11969093077552,0.00300418564813155,"Promoter (<=1kb)",0,"chr10",110567138,110567638
"LOC105379321",-3.0310763612936,0.0164374001622942,"Promoter (<=1kb)",0,"chr8",22693279,22693779
"LOC112267932",-6.29095239818802,0.00215518381695027,"Promoter (<=1kb)",158,"chr5",69188803,69189303
"LOC112267993",-1.89249509923094,0.0469345852738983,"Promoter (<=1kb)",0,"chr7",22822721,22823221
"LOC114841035",-2.22901707671132,0.000517465302461274,"Promoter (<=1kb)",0,"chr11",64241166,64241666
"LOC124905197",-1.87873842801836,0.00748906804721547,"Promoter (<=1kb)",66,"chrX",71181510,71182010
"LOC124909376",-3.30002738959739,0.0304921078933594,"Promoter (<=1kb)",0,"chr3",48989942,48990442
"LOC374443",-1.6694524799361,0.0324015974372033,"Promoter (<=1kb)",0,"chr12",9647463,9647963
"LUCAT1",-3.41120551556583,0.0208671291218467,"Promoter (<=1kb)",0,"chr5",91314094,91314594
"MADCAM1",-2.34948407960677,0.0304074563347914,"Promoter (<=1kb)",-31,"chr19",488645,489145
"MAILR",-2.38170006439598,0.0431180774279267,"Promoter (<=1kb)",0,"chr8",102864002,102864502
"MAP2K7",-2.49926393498471,0.0164112072819106,"Promoter (<=1kb)",0,"chr19",7903515,7904015
"MBD3",-1.50592086696299,0.0168333086469048,"Promoter (<=1kb)",0,"chr19",1591940,1592440
"MCM4",-1.26599376266524,0.0421453618458237,"Promoter (<=1kb)",0,"chr8",47960028,47960528
"MDH2",-1.51605638733043,0.043601945597182,"Promoter (<=1kb)",0,"chr7",76048039,76048539
"METTL16",-5.3015826100647,0.0055040780570623,"Promoter (<=1kb)",0,"chr17",2511644,2512144
"MIR4449",-1.46968459148588,0.0228414794087417,"Promoter (<=1kb)",0,"chr4",52712646,52713146
"MIR4714",-5.83298555684451,0.00346187581507129,"Promoter (1-2kb)",1332,"chr15",98785758,98786258
"MPDU1-AS1",-2.04994899470623,0.00184275507193784,"Promoter (<=1kb)",0,"chr17",7583095,7583595
"MPI",-2.32897212999055,0.0253155648107775,"Promoter (<=1kb)",0,"chr15",74889973,74890473
"MRGPRF-AS1",-7.61549541308898,0.000151103682441649,"Promoter (<=1kb)",-831,"chr11",69010952,69011452
"MRPS10",-5.81475176190894,0.00400790313655034,"Promoter (<=1kb)",54,"chr6",42217307,42217807
"MRPS25",-2.86580612950141,0.00173631420053894,"Promoter (<=1kb)",0,"chr3",15064985,15065485
"NFATC3",-3.69896161746697,0.0224850691000763,"Promoter (<=1kb)",0,"chr16",68085186,68085686
"NMT1",-3.21622947180225,0.0327680191839872,"Promoter (<=1kb)",0,"chr17",45051485,45051985
"NUDT3",-3.20018294152249,0.0250873974608285,"Promoter (<=1kb)",981,"chr6",34391188,34391688
"OLA1",-1.37730923270232,0.0470652101919716,"Promoter (<=1kb)",-236,"chr2",174248835,174249335
"OST4",-2.8079071689536,0.0101142234268828,"Promoter (<=1kb)",0,"chr2",27071299,27071799
"PAFAH1B3",-1.49870264485695,0.0469345852738983,"Promoter (<=1kb)",0,"chr19",42302311,42302811
"PCMT1",-3.09573229163183,0.0278040531293603,"Promoter (<=1kb)",0,"chr6",149749119,149749619
"PDCD4",-1.81226477279356,0.0423888912515506,"Promoter (<=1kb)",0,"chr10",110871360,110871860
"PDIA4",-4.82196715306175,0.00521506259380617,"Promoter (<=1kb)",-250,"chr7",149028912,149029412
"PHLDB3",-6.20584472209742,0.00200334216244036,"Promoter (<=1kb)",0,"chr19",43503953,43504453
"PKIG",-4.00938451991166,0.0144498537826234,"Promoter (<=1kb)",0,"chr20",44531842,44532342
"PLEKHH3",-1.90404845614423,0.0329495828572629,"Promoter (1-2kb)",-1162,"chr17",42678156,42678656
"PLEKHO2",-5.10161094061219,0.00719811202485636,"Promoter (<=1kb)",50,"chr15",64841998,64842498
"PPCDC",-1.33350794737468,0.0418367886583068,"Promoter (<=1kb)",0,"chr15",75023486,75023986
"PPIF",-2.94737964904574,0.00175945924087355,"Promoter (<=1kb)",0,"chr10",79347554,79348054
"PREX1",-2.03089893722803,0.0200131188286013,"Promoter (<=1kb)",-451,"chr20",48828450,48828950
"PRX",-6.44996583265741,0.00173631420053894,"Promoter (2-3kb)",-2223,"chr19",40417016,40417516
"RAB11A",-5.4314241120303,0.00521506259380617,"Promoter (<=1kb)",0,"chr15",65868971,65869471
"RARG",-5.57833733044318,0.00472082769921384,"Promoter (1-2kb)",1131,"chr12",53218453,53218953
"RMRP",-2.6885413529304,0.00469967533851221,"Promoter (<=1kb)",0,"chr9",35657754,35658254
"RNVU1-27",-4.82506829705604,0.00874603094729466,"Promoter (<=1kb)",0,"chr1",148522590,148523090
"RPL29",-1.52676527445894,0.00543713743454161,"Promoter (<=1kb)",0,"chr3",51995393,51995893
"RPL34",-1.76767712280142,0.033253958674082,"Promoter (<=1kb)",0,"chr4",108620563,108621063
"RPP25L",-1.41227440413875,0.0322756828750499,"Promoter (<=1kb)",0,"chr9",34611930,34612430
"RPS19",-1.59059357178803,0.00913451800821206,"Promoter (<=1kb)",0,"chr19",41859962,41860462
"RPS21",-1.58278251681534,0.0253155648107775,"Promoter (<=1kb)",0,"chr20",62387029,62387529
"RPS6",-1.65593620787955,0.0151505265300123,"Promoter (<=1kb)",354,"chr9",19379344,19379844
"RPS7",-2.05521201542979,0.00153523867139461,"Promoter (<=1kb)",0,"chr2",3575104,3575604
"RTEL1",2.88985837868417,0.043601945597182,"Promoter (1-2kb)",-1796,"chr20",63680241,63680741
"S100A4",-5.54389422924871,0.00478960701296911,"Promoter (<=1kb)",-382,"chr1",153550518,153551018
"SERPINH1",-2.38149745856431,0.00177589124791453,"Promoter (<=1kb)",0,"chr11",75562464,75562964
"SLC16A11",-7.24570352675528,0.000652942085778337,"Promoter (2-3kb)",-2860,"chr17",7046952,7047452
"SLC2A4RG",-2.74685632648292,0.0253732612674741,"Promoter (<=1kb)",0,"chr20",63740823,63741323
"SLC43A1",-6.01907725701251,0.00291074918644088,"Promoter (<=1kb)",7,"chr11",57514108,57514608
"SLC48A1",-1.78923993256896,0.0463700895599328,"Promoter (<=1kb)",-495,"chr12",47752921,47753421
"SNORD60",-1.46352637751556,0.0300373411478296,"Promoter (<=1kb)",755,"chr16",2153849,2154349
"SOS1",-7.41695960667147,0.000409114358745645,"Promoter (<=1kb)",20,"chr2",39123825,39124325
"SPIRE1",-2.33753943327583,0.0366186752379826,"Promoter (<=1kb)",0,"chr18",12657616,12658116
"SUMF2",-2.40342031054413,0.0145916827285808,"Promoter (<=1kb)",0,"chr7",56064119,56064619
"TBRG4",-1.68996114687735,0.0261601393717366,"Promoter (<=1kb)",87,"chr7",45110914,45111414
"TBX3",-2.31818165530018,0.0250873974608285,"Promoter (<=1kb)",-491,"chr12",114684666,114685166
"TEF",-2.34906461647591,0.0238010831307294,"Promoter (<=1kb)",0,"chr22",41367026,41367526
"TMEM161A",-1.59513927592965,0.0344474927102648,"Promoter (<=1kb)",0,"chr19",19138043,19138543
"TMEM184B",-2.94017231836828,0.0418367886583068,"Promoter (<=1kb)",738,"chr22",38230080,38230580
"TMEM39A",-5.71681970740992,0.00478960701296911,"Promoter (<=1kb)",-600,"chr3",119464265,119464765
"TNFRSF12A",-4.73826934672162,0.00974205939825343,"Promoter (<=1kb)",855,"chr16",3021245,3021745
"TOMM40",-5.79202732130836,0.00367198451561398,"Promoter (<=1kb)",0,"chr19",44890485,44890985
"TOP1P1",2.49751139854405,0.00200334216244036,"Promoter (<=1kb)",26,"chr1",171339325,171339825
