"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","direction"
"chr20",41113809,41114309,501,"*",8.13568345905469,9.01039753624913,5.54802365759989,3.2406678439062,3.55035010307862e-13,1.14392280321193e-09,"3' UTR",20,41104102,41124487,20386,1,"7150","ENST00000680945.1",9707,"ENSG00000198900","TOP1","DNA topoisomerase I","up"
"chr20",41099899,41100399,501,"*",7.88033646419909,8.75472294579673,5.29628265071834,3.11054830866766,1.24356844792227e-09,2.00338876960278e-06,"3' UTR",20,41104102,41124487,20386,1,"7150","ENST00000680945.1",-3703,"ENSG00000198900","TOP1","DNA topoisomerase I","up"
"chr7",100148821,100149321,501,"*",6.0426282226989,0,7.0426282226989,-8.36721030583638,3.15661267020354e-09,3.3902020077986e-06,"Promoter (<=1kb)",7,100148912,100154203,5292,1,"389541","ENST00000474141.5",0,"ENSG00000188186","LAMTOR4","late endosomal/lysosomal adaptor, MAPK and MTOR activator 4","down"
"chr7",102464281,102464781,501,"*",6.11431862340906,0,7.11431862340906,-8.29752648253577,2.46150308840104e-08,1.58619259016563e-05,"Promoter (<=1kb)",7,102459397,102464857,5461,2,"54784","ENST00000498283.1",76,"ENSG00000160993","ALKBH4","alkB homolog 4, lysine demethylase","down"
"chr11",69010952,69011452,501,"*",5.384789960145,0,6.384789960145,-7.61549541308898,2.81384883504002e-07,0.000151103682441649,"Promoter (<=1kb)",11,69012283,69014556,2274,1,"101928200","ENST00000569432.2",-831,"ENSG00000256508","MRGPRF-AS1","MRGPRF antisense RNA 1","down"
"chr2",39123825,39124325,501,"*",5.28281296728795,0,6.28281296728795,-7.41695960667147,9.83899103476041e-07,0.000409114358745645,"Promoter (<=1kb)",2,39023146,39124345,101200,2,"6654","ENST00000690679.1",20,"ENSG00000115904","SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","down"
"chr14",23071297,23071797,501,"*",5.16611126912757,0,6.16611126912757,-7.33494015023422,1.0158022563517e-06,0.000409114358745645,"Promoter (<=1kb)",14,23058564,23071565,13002,2,"22985","ENST00000557515.5",0,"ENSG00000100813","ACIN1","apoptotic chromatin condensation inducer 1","down"
"chr11",78139042,78139542,501,"*",5.00608800873186,0,6.00608800873186,-7.16347984691335,1.67838938801354e-06,0.000517465302461274,"Promoter (<=1kb)",11,78100946,78139258,38313,2,"79053","ENST00000530910.6",0,"ENSG00000159063","ALG8","ALG8 alpha-1,3-glucosyltransferase","down"
"chr3",49028966,49029466,501,"*",5.38675777870752,0,6.37014707444031,-5.61150536969534,1.68725096915698e-06,0.000517465302461274,"Promoter (<=1kb)",3,49024325,49029398,5074,2,"3615","ENST00000326739.9",0,"ENSG00000178035","IMPDH2","inosine monophosphate dehydrogenase 2","down"
"chr11",64241166,64241666,501,"*",6.20395220668941,4.24347885739659,7.00557101178232,-2.22901707671132,1.79147104377487e-06,0.000517465302461274,"Promoter (<=1kb)",11,64241379,64243497,2119,1,"114841035","ENST00000650773.1",0,"ENSG00000286264","LOC114841035","uncharacterized LOC114841035","down"
"chr19",12933423,12933923,501,"*",4.98447885944549,0,5.98447885944549,-7.13008836931712,1.92724507434367e-06,0.000517465302461274,"Promoter (<=1kb)",19,12922479,12933711,11233,2,"2193","ENST00000314606.9",0,"ENSG00000179115","FARSA","phenylalanyl-tRNA synthetase subunit alpha","down"
"chr7",100081616,100082116,501,"*",6.21401273167175,4.3361679599546,7.00304090316893,-2.15844341368097,2.50405804536779e-06,0.000595355619610499,"Promoter (<=1kb)",7,100064033,100081727,17695,2,"7551","ENST00000413658.6",0,"ENSG00000166526","ZNF3","zinc finger protein 3","down"
"chr17",63446485,63446985,501,"*",6.1629706400058,4.34810230914665,6.94182665804143,-2.10061556787273,2.5868959263026e-06,0.000595355619610499,"Promoter (<=1kb)",17,63435712,63446354,10643,2,"1534","ENST00000578072.1",-131,"ENSG00000008283","CYB561","cytochrome b561","down"
"chr2",202374748,202375248,501,"*",5.0518329162097,0,6.0518329162097,-7.10819068490328,2.98306826117727e-06,0.000640763062500879,"Promoter (1-2kb)",2,202376327,202567749,191423,1,"659","ENST00000374580.10",-1079,"ENSG00000204217","BMPR2","bone morphogenetic protein receptor type 2","down"
"chr17",17913813,17914313,501,"*",4.92880869885139,0,5.92880869885139,-7.01031335133528,3.29427820745603e-06,0.000644135406625563,"Intron (ENST00000581396.6/146691, intron 1 of 13)",17,17846825,17872064,25240,2,"146691","ENST00000478943.5",-41749,"ENSG00000175662","TOM1L2","target of myb1 like 2 membrane trafficking protein","down"
"chr7",152759716,152760216,501,"*",5.10128362245003,0,6.10128362245003,-7.1187512109924,3.39860394557249e-06,0.000644135406625563,"Promoter (<=1kb)",7,152759749,152854938,95190,1,"57180","ENST00000377776.7",0,"ENSG00000133627","ACTR3B","actin related protein 3B","down"
