gene_id,Gene,chr,start,end,strand,signal,rank
ENSG00000198786.2,MT-ND5,chrM,12336,14148,+,-2.4267831735526753,1
ENSG00000198727.2,MT-CYB,chrM,14746,15887,+,-2.4059870422774505,2
ENSG00000212907.2,MT-ND4L,chrM,10469,10766,+,-2.362936757630371,3
ENSG00000198840.2,MT-ND3,chrM,10058,10404,+,-2.343637706227385,4
ENSG00000198695.2,MT-ND6,chrM,14148,14673,-,-2.3206805542537143,5
ENSG00000198886.2,MT-ND4,chrM,10759,12137,+,-2.2998844404179057,6
ENSG00000198938.2,MT-CO3,chrM,9206,9990,+,-2.177311032098167,7
ENSG00000198712.1,MT-CO2,chrM,7585,8269,+,-2.1323093766706034,8
ENSG00000198888.2,MT-ND1,chrM,3306,4262,+,-2.0482709103548378,9
ENSG00000198804.2,MT-CO1,chrM,5903,7445,+,-2.0168207642633162,10
ENSG00000198763.3,MT-ND2,chrM,4469,5511,+,-1.984072039658186,11
ENSG00000228253.1,MT-ATP8,chrM,8365,8572,+,-1.9378862905041607,12
ENSG00000198899.2,MT-ATP6,chrM,8526,9207,+,-1.8835176352012175,13
ENSG00000136997.22,MYC,chr8,127735433,127742951,+,0.7198916588832871,14
ENSG00000293564.1,ENSG00000293564,chr1,179882315,179882393,+,0.7031974792480469,15
ENSG00000204822.9,MRPL53,chr2,74471956,74472699,-,0.5612618126987929,16
ENSG00000221821.4,PEX39,chr6,42890264,42890821,-,0.502923711519053,17
ENSG00000111678.13,C12orf57,chr12,6942918,6946009,+,0.5016469439393405,18
ENSG00000214309.7,MBLAC1,chr7,100126693,100128498,+,0.4984922445327601,19
ENSG00000276966.3,H4C5,chr6,26204609,26205021,+,0.4877797095376311,20
ENSG00000197061.5,H4C3,chr6,26103932,26104337,+,0.48131160504288145,21
ENSG00000277157.2,H4C4,chr6,26188709,26189112,-,0.4612851596943498,22
ENSG00000179029.17,TMEM107,chr17,8172439,8176408,-,0.45431715119210075,23
ENSG00000253293.7,HOXA10,chr7,27170591,27180261,-,0.44665724052696065,24
ENSG00000167644.14,C19orf33,chr19,38304157,38305011,+,0.4406933930530202,25
ENSG00000278463.2,H2AC4,chr6,26033091,26033618,-,0.43296579630653137,26
ENSG00000257184.4,HOXA10-HOXA9,chr7,27162437,27180239,-,0.4219069206217046,27
ENSG00000146066.4,HIGD2A,chr5,176388731,176389768,+,0.4217045901849751,28
ENSG00000289764.2,ENSG00000289764,chr17,80545074,80545134,+,0.41516137421131133,29
ENSG00000135441.10,BLOC1S1,chr12,55715910,55720087,+,0.4033887813831859,30
ENSG00000273983.2,H3C8,chr6,26270917,26271413,-,0.3931106732437207,31
ENSG00000185650.12,ZFP36L1,chr14,68787654,68796269,-,0.3885866447976178,32
ENSG00000274997.2,H2AC12,chr6,27147105,27147562,+,0.38655765025307887,33
ENSG00000125352.6,RNF113A,chrX,119870474,119871733,-,0.3862559518335214,34
ENSG00000173113.10,TRMT112,chr11,64316459,64318086,-,0.38364858756594006,35
ENSG00000078399.20,HOXA9,chr7,27162437,27175180,-,0.38257234079048086,36
ENSG00000197956.12,S100A6,chr1,153532725,153536549,-,0.382328567412564,37
ENSG00000170955.12,CAVIN3,chr11,6318945,6320622,-,0.38190826537730654,38
ENSG00000283268.2,TEX54,chr11,62832320,62832841,-,0.38122972960435497,39
ENSG00000196747.5,H2AC13,chr6,27808172,27808667,+,0.37822912913380247,40
ENSG00000122592.9,HOXA7,chr7,27153715,27157936,-,0.3731706522028294,41
ENSG00000177721.5,ANXA2R,chr5,43039232,43043170,-,0.3730797625029504,42
ENSG00000179111.10,HES7,chr17,8120591,8124114,-,0.3717290458645859,43
