seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	37669	37902	234	*	p65_0hr_peak_816	23	.	4.10515	5.46575	2.33271	148	Promoter (<=1kb)	1	34553	37595	3043	2	645520	ENST00000834250.1	-74	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	74397	74572	176	*	p65_0hr_peak_817	37	.	5.16686	7.67231	3.72411	30	Distal Intergenic	1	65419	71585	6167	1	79501	ENST00000641515.2	8978	ENSG00000186092	OR4F5	olfactory receptor family 4 subfamily F member 5
chr1	75253	75751	499	*	p65_0hr_peak_818	35	.	5.04624	7.26876	3.51544	301	Distal Intergenic	1	65419	71585	6167	1	79501	ENST00000641515.2	9834	ENSG00000186092	OR4F5	olfactory receptor family 4 subfamily F member 5
chr1	154944	155119	176	*	p65_0hr_peak_819	26	.	4.30571	6.09996	2.61559	81	Intron (ENST00000831081.1/124900384, intron 5 of 6)	1	142808	146831	4024	2	124900384	ENST00000490997.5	-8113	NA	LOC124900384	uncharacterized LOC124900384
chr1	163580	163755	176	*	p65_0hr_peak_820	26	.	4.30571	6.09996	2.61559	80	Intron (ENST00000831081.1/124900384, intron 5 of 6)	1	142808	146831	4024	2	124900384	ENST00000490997.5	-16749	NA	LOC124900384	uncharacterized LOC124900384
chr1	361594	361787	194	*	p65_0hr_peak_821	26	.	4.30571	6.09996	2.61559	148	Promoter (1-2kb)	1	258144	359681	101538	2	124900618	ENST00000441866.2	-1913	NA	LOC124900618	uncharacterized LOC124900618
chr1	368282	368457	176	*	p65_0hr_peak_822	32	.	4.93918	6.94521	3.26756	41	Promoter (<=1kb)	1	365395	368450	3056	2	112268260	ENST00000453935.1	0	NA	LOC112268260	uncharacterized LOC112268260
chr1	475655	475830	176	*	p65_0hr_peak_823	16	.	3.44457	4.60611	1.65242	44	Exon (ENST00000796423.1/ENST00000796423.1, exon 6 of 6)	1	373182	485208	112027	2	112268260	ENST00000455207.5	9378	NA	LOC112268260	uncharacterized LOC112268260
chr1	483718	483954	237	*	p65_0hr_peak_824	32	.	4.93918	6.94521	3.26756	121	Promoter (1-2kb)	1	373182	485208	112027	2	112268260	ENST00000455207.5	1254	NA	LOC112268260	uncharacterized LOC112268260
chr1	508975	509256	282	*	p65_0hr_peak_825	37	.	5.16686	7.67231	3.72411	148	Intron (ENST00000796423.1/ENST00000796423.1, intron 5 of 5)	1	494464	502508	8045	2	100132287	ENST00000440038.7	-6467	NA	LOC100132287	uncharacterized LOC100132287
