"seqnames","start","end","width","strand","Conc","Conc_YEATS2KD","Conc_Scramble","Fold","p.value","FDR"
"chr20",45084617,45085117,501,"*",4.68122482367298,0,5.68122482367298,-6.87918645854009,5.89086774173712e-07,0.0149686490097595
"chr2",65227538,65228038,501,"*",5.35593078316432,3.32090175109986,6.16822113868714,-2.69132492787918,1.21208348897994e-06,0.0149686490097595
"chr9",130107128,130107628,501,"*",5.40679865865209,6.29222572700826,2.69546306778777,3.3959323638705,1.70470198313878e-06,0.0149686490097595
"chr12",2855088,2855588,501,"*",4.49654617012127,0,5.49654617012127,-6.52439533991555,2.13488353264492e-06,0.0149686490097595
"chr8",127247097,127247597,501,"*",7.1684513558635,7.72588260539719,6.24802653373564,0.958306166130182,2.36464077118567e-06,0.0149686490097595
"chr3",124161886,124162386,501,"*",4.77917905718851,5.75401069101865,0,5.04931194085288,3.44721333670613e-06,0.0181846248866809
"chr1",172639398,172639898,501,"*",5.44851215200194,6.20151889168901,3.78055421235205,1.96803554812925,5.23916854137595e-06,0.0233625267651967
"chr7",74447763,74448263,501,"*",4.7948890108383,2.03051058071681,5.68461428224933,-3.26134218044692,6.37552728962682e-06,0.0233625267651967
"chr9",96417715,96418215,501,"*",5.68433459656125,4.08784613770065,6.42359437344791,-1.78987035004743,7.46327057049874e-06,0.0233625267651967
"chr6",37332619,37333119,501,"*",4.70887343738502,0.86544392400994,5.65772494421916,-4.26953818372165,8.92449092757714e-06,0.0233625267651967
"chr17",43377253,43377753,501,"*",4.25953331048505,0,5.25953331048505,-5.78587425773247,9.65193151887582e-06,0.0233625267651967
"chr1",202269114,202269614,501,"*",4.25686308795435,0,5.25686308795435,-5.78211570029249,9.69592093734646e-06,0.0233625267651967
"chr20",34744931,34745431,501,"*",4.60329927788474,1.03051058071681,5.54136710001605,-3.83863272953696,1.18337204045639e-05,0.0233625267651967
"chr7",74434978,74435478,501,"*",5.3137618515366,3.59584688017588,6.07590845329054,-1.85905539939515,1.21864869437681e-05,0.0233625267651967
"chr12",51961602,51962102,501,"*",5.04233067806002,2.92434858049581,5.86577931907379,-2.34497037834859,1.25370874734887e-05,0.0233625267651967
"chr3",183838940,183839440,501,"*",4.25795244807452,0,5.25795244807452,-5.5691774492581,1.33489738037431e-05,0.0233625267651967
"chr15",57816372,57816872,501,"*",4.56331954805549,5.49965914462261,1.02938012649881,3.71853230504039,1.42266671339337e-05,0.0233625267651967
"chr9",114300915,114301415,501,"*",4.52313870979752,0.521500068402107,5.47738784860899,-4.05650481102104,1.42381198623303e-05,0.0233625267651967
"chr5",132855842,132856342,501,"*",4.21038837025122,0,5.21038837025122,-5.48878588214587,1.45457654395292e-05,0.0233625267651967
"chr5",115459741,115460241,501,"*",4.21659147158147,5.21659147158147,0,5.47196731182769,1.47625836562489e-05,0.0233625267651967
"chr7",100101027,100101527,501,"*",8.16423693969142,7.68485736864202,8.52343644713427,-0.630613241101217,1.60236863842013e-05,0.024053318342939
"chr20",58236672,58237172,501,"*",6.25082716849315,6.85997856768147,5.17572753576285,0.973867234977222,1.74371056969915e-05,0.024053318342939
"chr2",24940840,24941340,501,"*",4.19010775342522,0,5.19010775342522,-5.33813249050366,1.74789523834191e-05,0.024053318342939
"chr1",155591986,155592486,501,"*",4.20583950194174,5.20583950194174,0,5.1627500159187,2.13304390188106e-05,0.0256456368786518
"chr6",41594909,41595409,501,"*",4.13063023732152,0,5.13063023732152,-5.12756991313366,2.1862278978902e-05,0.0256456368786518
"chr11",126252129,126252629,501,"*",4.16553518607255,0,5.16553518607255,-5.13172949777146,2.19919929888283e-05,0.0256456368786518
"chr2",109318562,109319062,501,"*",6.0301525604545,6.66850607482899,4.85699031662239,1.02997351175882,2.22450021300608e-05,0.0256456368786518
"chr6",150914528,150915028,501,"*",4.24183872683818,0,5.24183872683818,-5.12211169914051,2.2687366358164e-05,0.0256456368786518
"chr20",38434903,38435403,501,"*",7.92572046426292,7.4246855769825,8.29688927565569,-0.63197927424993,2.48136823057127e-05,0.0263906221963067
"chr21",45258123,45258623,501,"*",4.11597057603866,0,5.11597057603866,-4.97319235477824,2.5685497734439e-05,0.0263906221963067
"chr8",125700111,125700611,501,"*",6.58063360582398,7.12597981902619,5.69334570131796,0.792132605866247,2.64333852766064e-05,0.0263906221963067
"chr9",33366247,33366747,501,"*",4.11302068329021,0,5.11302068329021,-4.92548862363192,2.69523446999028e-05,0.0263906221963067
"chr7",28020814,28021314,501,"*",4.46867341536012,5.41911150331034,0.580572685351398,3.66965990306731,2.75154191803773e-05,0.0263906221963067
"chr10",92648632,92649132,501,"*",4.08550087566647,5.08550087566647,0,4.76748041672186,3.11655936499267e-05,0.026427681494301
