"seqnames","start","end","width","strand","Conc","Conc_YEATS2KD","Conc_Scramble","Fold","p.value","FDR"
"chr9",130107128,130107628,501,"*",5.40679865865209,6.29222572700826,2.69546306778777,3.3959323638705,1.70470198313878e-06,0.0149686490097595
"chr8",127247097,127247597,501,"*",7.1684513558635,7.72588260539719,6.24802653373564,0.958306166130182,2.36464077118567e-06,0.0149686490097595
"chr3",124161886,124162386,501,"*",4.77917905718851,5.75401069101865,0,5.04931194085288,3.44721333670613e-06,0.0181846248866809
"chr1",172639398,172639898,501,"*",5.44851215200194,6.20151889168901,3.78055421235205,1.96803554812925,5.23916854137595e-06,0.0233625267651967
"chr15",57816372,57816872,501,"*",4.56331954805549,5.49965914462261,1.02938012649881,3.71853230504039,1.42266671339337e-05,0.0233625267651967
"chr5",115459741,115460241,501,"*",4.21659147158147,5.21659147158147,0,5.47196731182769,1.47625836562489e-05,0.0233625267651967
"chr20",58236672,58237172,501,"*",6.25082716849315,6.85997856768147,5.17572753576285,0.973867234977222,1.74371056969915e-05,0.024053318342939
"chr1",155591986,155592486,501,"*",4.20583950194174,5.20583950194174,0,5.1627500159187,2.13304390188106e-05,0.0256456368786518
"chr2",109318562,109319062,501,"*",6.0301525604545,6.66850607482899,4.85699031662239,1.02997351175882,2.22450021300608e-05,0.0256456368786518
"chr8",125700111,125700611,501,"*",6.58063360582398,7.12597981902619,5.69334570131796,0.792132605866247,2.64333852766064e-05,0.0263906221963067
"chr7",28020814,28021314,501,"*",4.46867341536012,5.41911150331034,0.580572685351398,3.66965990306731,2.75154191803773e-05,0.0263906221963067
"chr10",92648632,92649132,501,"*",4.08550087566647,5.08550087566647,0,4.76748041672186,3.11655936499267e-05,0.026427681494301
"chr13",50589602,50590102,501,"*",4.08550087566647,5.08550087566647,0,4.76748041672186,3.11655936499267e-05,0.026427681494301
"chr20",32657498,32657998,501,"*",4.04987672072941,5.04987672072941,0,4.5113420864454,3.92979978240766e-05,0.0310955232282462
"chr2",54974197,54974697,501,"*",4.48764070782907,5.4567753354189,0,3.7823187132918,4.10974878357072e-05,0.0314817032331437
"chr8",42892496,42892996,501,"*",4.02563070806064,5.02563070806064,0,4.36367544982888,4.46214982749361e-05,0.0328445358581396
"chr21",46533529,46534029,501,"*",4.60675789213131,5.55745752184715,0.711153822351444,3.33816668701587,4.99962247774902e-05,0.0356844243080056
"chr17",48440526,48441026,501,"*",4.04988174745091,5.04988174745091,0,3.8813072317665,6.65083336836118e-05,0.0389825049892592
"chr15",58332363,58332863,501,"*",5.140099416671,5.92303570455521,3.30035218038121,1.35854223720385,9.02959658417556e-05,0.0483233695629193
