seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	10014	10360	347	*	p53KD_H4K16ac_rep2_peak_700	47	.	5.49097	7.77949	4.70337	Promoter (<=1kb)	1	11121	14413	3293	1	100287102	ENST00000832824.1	-761	ENSG00000290825	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)
chr1	16495	16756	262	*	p53KD_H4K16ac_rep2_peak_701	13	.	3.41525	3.88887	1.3693	Promoter (<=1kb)	1	17369	17436	68	2	102466751	ENST00000619216.1	680	ENSG00000278267	MIR6859-1	microRNA 6859-1
chr1	22591	23432	842	*	p53KD_H4K16ac_rep2_peak_702	14	.	3.47776	3.99187	1.45197	Promoter (1-2kb)	1	14404	24819	10416	2	653635	ENST00000831707.1	1387	ENSG00000310526	WASH7P	WASP family homolog 7, pseudogene
chr1	28974	29345	372	*	p53KD_H4K16ac_rep2_peak_703	27	.	4.27257	5.55746	2.75703	Promoter (<=1kb)	1	28977	31109	2133	1	107985730	ENST00000834618.1	0	NA	MIR1302-2HG	MIR1302-2 host gene
chr1	37564	39330	1767	*	p53KD_H4K16ac_rep2_peak_704	24	.	4.04913	5.13976	2.41711	Promoter (<=1kb)	1	34553	37595	3043	2	645520	ENST00000834250.1	0	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	121292	122498	1207	*	p53KD_H4K16ac_rep2_peak_705	11	.	3.24898	3.60861	1.19178	Intron (ENST00000831081.1/124900384, intron 5 of 6)	1	92230	129217	36988	2	124900384	ENST00000477740.5	6719	NA	LOC124900384	uncharacterized LOC124900384
chr1	189396	192918	3523	*	p53KD_H4K16ac_rep2_peak_706	21	.	3.79775	4.72499	2.11013	Promoter (1-2kb)	1	184924	188106	3183	2	100996442	ENST00000831740.1	-1290	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	198830	199788	959	*	p53KD_H4K16ac_rep2_peak_707	16	.	3.54595	4.22315	1.6456	Promoter (<=1kb)	1	184924	199845	14922	2	100996442	ENST00000831519.1	57	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	201237	201758	522	*	p53KD_H4K16ac_rep2_peak_708	12	.	3.30422	3.73307	1.26593	Promoter (<=1kb)	1	184924	201244	16321	2	100996442	ENST00000831132.1	0	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	351366	351591	226	*	p53KD_H4K16ac_rep2_peak_709	12	.	3.35091	3.76243	1.229	Intron (ENST00000441866.2/124900618, intron 3 of 3)	1	348019	359289	11271	2	124900618	ENST00000796990.1	7698	NA	LOC124900618	uncharacterized LOC124900618
chr1	433855	434909	1055	*	p53KD_H4K16ac_rep2_peak_710	19	.	3.83525	4.59207	1.90196	Intron (ENST00000455207.5/112268260, intron 1 of 2)	1	450740	451678	939	2	729759	ENST00000426406.4	16769	ENSG00000284733	OR4F29	olfactory receptor family 4 subfamily F member 29
