seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	28912	30307	1396	*	Scramble_H4K16ac_rep1_peak_519	46	.	5.50983	8.04819	4.68811	Promoter (<=1kb)	1	28977	31109	2133	1	107985730	ENST00000834618.1	0	NA	MIR1302-2HG	MIR1302-2 host gene
chr1	32641	33147	507	*	Scramble_H4K16ac_rep1_peak_520	14	.	3.31541	4.08798	1.4114	Promoter (1-2kb)	1	24212	30744	6533	2	653635	ENST00000831718.1	-1897	ENSG00000310526	WASH7P	WASP family homolog 7, pseudogene
chr1	34387	35332	946	*	Scramble_H4K16ac_rep1_peak_521	17	.	3.66374	4.54492	1.75207	Promoter (<=1kb)	1	35245	36073	829	2	645520	ENST00000461467.1	741	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	37632	39355	1724	*	Scramble_H4K16ac_rep1_peak_522	18	.	3.64837	4.71236	1.88455	Promoter (<=1kb)	1	34553	37595	3043	2	645520	ENST00000834250.1	-37	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	199156	200651	1496	*	Scramble_H4K16ac_rep1_peak_523	39	.	4.91743	7.18533	3.91523	Promoter (<=1kb)	1	182146	199872	17727	2	100996442	ENST00000831131.1	0	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	433121	434681	1561	*	Scramble_H4K16ac_rep1_peak_524	19	.	3.93977	4.82693	1.92978	Intron (ENST00000455207.5/112268260, intron 1 of 2)	1	450740	451678	939	2	729759	ENST00000426406.4	16997	ENSG00000284733	OR4F29	olfactory receptor family 4 subfamily F member 29
chr1	629689	634114	4426	*	Scramble_H4K16ac_rep1_peak_525	94	.	1.59887	13.1558	9.4715	Promoter (<=1kb)	1	627377	631150	3774	2	101928626	ENST00000452176.2	0	ENSG00000293331	LOC101928626	uncharacterized LOC101928626
chr1	778156	779495	1340	*	Scramble_H4K16ac_rep1_peak_526	27	.	3.73333	5.77201	2.72684	Promoter (<=1kb)	1	725885	778688	52804	2	100288069	ENST00000506640.4	0	NA	LOC100288069	uncharacterized LOC100288069
chr1	858271	859409	1139	*	Scramble_H4K16ac_rep1_peak_527	12	.	3.32229	3.84042	1.20763	Promoter (<=1kb)	1	858399	866089	7691	1	107984850	ENST00000745647.1	0	NA	LOC107984850	uncharacterized LOC107984850
chr1	967245	968090	846	*	Scramble_H4K16ac_rep1_peak_528	31	.	4.55916	6.34088	3.19532	Promoter (<=1kb)	1	966502	975008	8507	1	84069	ENST00000379409.6	743	ENSG00000187583	PLEKHN1	pleckstrin homology domain containing N1
chr1	1000188	1002636	2449	*	Scramble_H4K16ac_rep1_peak_529	35	.	4.85857	6.78306	3.59835	Promoter (<=1kb)	1	1001138	1014540	13403	1	9636	ENST00000624697.4	0	ENSG00000187608	ISG15	ISG15 ubiquitin like modifier
chr1	1005256	1005533	278	*	Scramble_H4K16ac_rep1_peak_530	17	.	3.39669	4.5875	1.77811	Intron (ENST00000624697.4/9636, intron 1 of 2)	1	1001145	1014435	13291	1	9636	ENST00000624652.1	4111	ENSG00000187608	ISG15	ISG15 ubiquitin like modifier
chr1	1018512	1022608	4097	*	Scramble_H4K16ac_rep1_peak_531	16	.	3.63408	4.40286	1.64051	Promoter (<=1kb)	1	1020120	1056116	35997	1	375790	ENST00000379370.7	0	ENSG00000188157	AGRN	agrin
chr1	1069084	1069412	329	*	Scramble_H4K16ac_rep1_peak_532	20	.	3.98133	5.00373	2.08878	Promoter (<=1kb)	1	1065634	1069347	3714	2	105378948	ENST00000799880.1	0	NA	LOC105378948	uncharacterized LOC105378948
chr1	1078680	1080296	1617	*	Scramble_H4K16ac_rep1_peak_533	24	.	4.0322	5.47904	2.49594	Distal Intergenic	1	1082146	1084072	1927	2	54991	ENST00000464905.1	3776	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1115438	1116289	852	*	Scramble_H4K16ac_rep1_peak_534	35	.	4.80835	6.77734	3.53808	Promoter (<=1kb)	1	1081818	1116081	34264	2	54991	ENST00000379339.5	0	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1157462	1158924	1463	*	Scramble_H4K16ac_rep1_peak_535	90	.	7.34537	12.8805	9.05081	Exon (ENST00000807417.1/ENST00000807417.1, exon 1 of 1)	1	1167104	1167198	95	1	406984	ENST00000384997.3	-8180	ENSG00000207730	MIR200B	microRNA 200b
chr1	1163947	1166723	2777	*	Scramble_H4K16ac_rep1_peak_536	27	.	4.43613	5.82342	2.75277	Promoter (<=1kb)	1	1167104	1167198	95	1	406984	ENST00000384997.3	-381	ENSG00000207730	MIR200B	microRNA 200b
chr1	1201515	1202145	631	*	Scramble_H4K16ac_rep1_peak_537	30	.	4.68512	6.24326	3.0743	Distal Intergenic	1	1203844	1205680	1837	2	8784	ENST00000486728.5	3535	ENSG00000186891	TNFRSF18	TNF receptor superfamily member 18
chr1	1218015	1219062	1048	*	Scramble_H4K16ac_rep1_peak_538	17	.	3.73531	4.54632	1.74001	Promoter (1-2kb)	1	1216934	1220293	3360	2	51150	ENST00000478938.1	1231	ENSG00000078808	SDF4	stromal cell derived factor 4
chr1	1230818	1233387	2570	*	Scramble_H4K16ac_rep1_peak_539	26	.	4.1855	5.73063	2.69366	Promoter (<=1kb)	1	1232237	1235041	2805	1	126792	ENST00000379198.5	0	ENSG00000176022	B3GALT6	beta-1,3-galactosyltransferase 6
chr1	1273938	1274982	1045	*	Scramble_H4K16ac_rep1_peak_540	20	.	3.77825	4.90706	2.04585	Promoter (<=1kb)	1	1274033	1277498	3466	1	101928895	ENST00000762567.1	0	NA	LINC01786	long intergenic non-protein coding RNA 1786
chr1	1277147	1277884	738	*	Scramble_H4K16ac_rep1_peak_541	15	.	3.63855	4.29807	1.53501	Promoter (1-2kb)	1	1275237	1279393	4157	1	101928895	ENST00000453732.1	1910	NA	LINC01786	long intergenic non-protein coding RNA 1786
chr1	1305265	1306221	957	*	Scramble_H4K16ac_rep1_peak_542	24	.	4.13304	5.37695	2.41575	Promoter (<=1kb)	1	1292390	1305929	13540	2	116983	ENST00000492936.5	0	ENSG00000131584	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
chr1	1308272	1309352	1081	*	Scramble_H4K16ac_rep1_peak_543	18	.	3.89004	4.73019	1.85102	Promoter (<=1kb)	1	1308597	1311677	3081	1	126789	ENST00000379031.10	0	ENSG00000169972	PUSL1	pseudouridine synthase like 1
chr1	1346328	1346616	289	*	Scramble_H4K16ac_rep1_peak_544	18	.	3.77492	4.59777	1.80039	Promoter (2-3kb)	1	1341770	1348955	7186	2	1855	ENST00000472445.1	2339	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	1349941	1351288	1348	*	Scramble_H4K16ac_rep1_peak_545	15	.	3.60701	4.24458	1.50262	Promoter (<=1kb)	1	1335278	1349418	14141	2	1855	ENST00000378888.10	-523	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	1374618	1376060	1443	*	Scramble_H4K16ac_rep1_peak_546	25	.	3.72248	5.58174	2.58716	Promoter (<=1kb)	1	1373730	1375157	1428	2	54998	ENST00000338370.7	0	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
chr1	1382273	1382782	510	*	Scramble_H4K16ac_rep1_peak_547	44	.	4.4516	7.80422	4.42085	Distal Intergenic	1	1386495	1388713	2219	2	81669	ENST00000463260.5	5931	ENSG00000221978	CCNL2	cyclin L2
chr1	1398266	1399842	1577	*	Scramble_H4K16ac_rep1_peak_548	21	.	3.81319	5.03391	2.14975	Promoter (<=1kb)	1	1399476	1402054	2579	1	148413	ENST00000448629.9	0	ENSG00000224870	MRPL20-AS1	MRPL20 antisense RNA 1
chr1	1407109	1407867	759	*	Scramble_H4K16ac_rep1_peak_549	21	.	3.71336	5.01438	2.10873	Promoter (<=1kb)	1	1401909	1407293	5385	2	55052	ENST00000344843.12	0	ENSG00000242485	MRPL20	mitochondrial ribosomal protein L20
chr1	1471842	1472875	1034	*	Scramble_H4K16ac_rep1_peak_550	21	.	4.02905	5.06852	2.13739	Promoter (<=1kb)	1	1471784	1496201	24418	1	83858	ENST00000308647.8	58	ENSG00000160072	ATAD3B	ATPase family AAA domain containing 3B
chr1	1511196	1511692	497	*	Scramble_H4K16ac_rep1_peak_551	49	.	5.72738	8.39478	4.91534	Promoter (<=1kb)	1	1512162	1534685	22524	1	55210	ENST00000378756.8	-470	ENSG00000197785	ATAD3A	ATPase family AAA domain containing 3A
chr1	1574166	1575763	1598	*	Scramble_H4K16ac_rep1_peak_552	26	.	4.33631	5.68028	2.66164	Promoter (<=1kb)	1	1541673	1574863	33191	2	29101	ENST00000291386.4	0	ENSG00000160075	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
chr1	1615441	1615839	399	*	Scramble_H4K16ac_rep1_peak_553	85	.	7.4441	12.4017	8.57411	Promoter (<=1kb)	1	1615454	1630604	15151	1	142678	ENST00000479659.5	0	ENSG00000197530	MIB2	MIB E3 ubiquitin protein ligase 2
chr1	1659416	1660124	709	*	Scramble_H4K16ac_rep1_peak_554	27	.	4.11532	5.73534	2.72328	Promoter (<=1kb)	1	1635738	1659012	23275	2	984	ENST00000629312.2	-404	ENSG00000248333	CDK11B	cyclin dependent kinase 11B
chr1	1691779	1693751	1973	*	Scramble_H4K16ac_rep1_peak_555	33	.	4.74759	6.53585	3.38079	Promoter (<=1kb)	1	1659529	1692724	33196	2	728661	ENST00000614300.4	0	ENSG00000189339	SLC35E2B	solute carrier family 35 member E2B
chr1	1724782	1725795	1014	*	Scramble_H4K16ac_rep1_peak_556	35	.	4.72783	6.69693	3.53362	Promoter (<=1kb)	1	1702379	1724357	21979	2	728642	ENST00000404249.8	-425	ENSG00000008128	CDK11A	cyclin dependent kinase 11A
chr1	1746069	1747082	1014	*	Scramble_H4K16ac_rep1_peak_557	51	.	5.62406	8.57122	5.14454	Promoter (<=1kb)	1	1732242	1745992	13751	2	9906	ENST00000246421.4	-77	NA	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
chr1	1778215	1779194	980	*	Scramble_H4K16ac_rep1_peak_558	35	.	4.85232	6.69381	3.50295	Promoter (<=1kb)	1	1751232	1778470	27239	2	65220	ENST00000341426.9	0	ENSG00000008130	NADK	NAD kinase
chr1	1909132	1909849	718	*	Scramble_H4K16ac_rep1_peak_559	16	.	3.56068	4.44723	1.68125	Promoter (<=1kb)	1	1906002	1909117	3116	2	124903822	ENST00000726655.1	-15	NA	LOC124903822	uncharacterized LOC124903822
chr1	1918826	1919256	431	*	Scramble_H4K16ac_rep1_peak_560	18	.	3.73599	4.60319	1.81095	Promoter (<=1kb)	1	1917845	1919258	1414	2	339456	ENST00000378598.4	2	ENSG00000178821	TMEM52	transmembrane protein 52
chr1	1942565	1944089	1525	*	Scramble_H4K16ac_rep1_peak_561	17	.	3.77381	4.56992	1.7431	Intron (ENST00000493964.5/85452, intron 21 of 37)	1	1921957	1927929	5973	2	85452	ENST00000464311.5	-14636	ENSG00000142609	CFAP74	cilia and flagella associated protein 74
chr1	2088149	2089456	1308	*	Scramble_H4K16ac_rep1_peak_562	15	.	3.61378	4.30576	1.56365	Intron (ENST00000378567.8/5590, intron 4 of 17)	1	2082248	2150936	68689	1	5590	ENST00000481140.5	5901	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2194104	2195991	1888	*	Scramble_H4K16ac_rep1_peak_563	28	.	4.53398	5.96826	2.85853	Promoter (<=1kb)	1	2184461	2194775	10315	2	199990	ENST00000400919.7	0	ENSG00000162585	FAAP20	FA core complex associated protein 20
