gene_id,Gene,chr,start,end,strand,signal,rank
ENSG00000198786.2,MT-ND5,chrM,12336,14148,+,-2.372793868780136,1
ENSG00000198695.2,MT-ND6,chrM,14148,14673,-,-2.3646271399788468,2
ENSG00000198727.2,MT-CYB,chrM,14746,15887,+,-2.3622662788780766,3
ENSG00000198886.2,MT-ND4,chrM,10759,12137,+,-2.2555562994480134,4
ENSG00000212907.2,MT-ND4L,chrM,10469,10766,+,-2.218927988141775,5
ENSG00000198840.2,MT-ND3,chrM,10058,10404,+,-2.1662399875819682,6
ENSG00000198938.2,MT-CO3,chrM,9206,9990,+,-2.100267382055521,7
ENSG00000198899.2,MT-ATP6,chrM,8526,9207,+,-2.0640455730855467,8
ENSG00000228253.1,MT-ATP8,chrM,8365,8572,+,-2.0513604140281676,9
ENSG00000198804.2,MT-CO1,chrM,5903,7445,+,-2.0384125399589537,10
ENSG00000198763.3,MT-ND2,chrM,4469,5511,+,-2.01328736230731,11
ENSG00000198712.1,MT-CO2,chrM,7585,8269,+,-2.009586998522282,12
ENSG00000198888.2,MT-ND1,chrM,3306,4262,+,-1.8365123473256826,13
ENSG00000136997.22,MYC,chr8,127735433,127742951,+,1.0467173203406857,14
ENSG00000101040.22,ZMYND8,chr20,47209213,47357806,-,0.7058391204994404,15
ENSG00000204070.12,SYS1,chr20,45359976,45376798,+,0.645358235912514,16
ENSG00000091137.16,SLC26A4,chr7,107660593,107717809,+,0.5559528518241131,17
ENSG00000133316.18,WDR74,chr11,62832341,62842228,-,0.5374345579809742,18
ENSG00000211584.16,SLC48A1,chr12,47753915,47782751,+,0.5271348036546261,19
ENSG00000149573.11,MPZL2,chr11,118253415,118264536,-,0.5059575822972693,20
ENSG00000111321.13,LTBR,chr12,6375044,6391571,+,0.5055708950327243,21
ENSG00000106006.7,HOXA6,chr7,27144102,27150603,-,0.49034900035895407,22
ENSG00000256977.14,LIMS3,chr2,109898427,109925625,+,0.4844118813353125,23
ENSG00000284337.1,ENSG00000284337,chr2,109898431,109968557,+,0.4835827313216869,24
ENSG00000187678.12,SPRY4,chr5,142310419,142326455,-,0.4832803085767664,25
ENSG00000186081.12,KRT5,chr12,52514574,52520530,-,0.4812745114429854,26
ENSG00000025772.10,TOMM34,chr20,44942129,44960449,-,0.4746377682422753,27
ENSG00000106086.23,PLEKHA8,chr7,30027403,30130483,+,0.47179886880045524,28
ENSG00000138092.13,CENPO,chr2,24793099,24822376,+,0.46466826999158367,29
ENSG00000111790.16,FGFR1OP2,chr12,26938400,26966663,+,0.4643163963657571,30
ENSG00000064102.17,INTS13,chr12,26904249,26938331,-,0.4637226776935859,31
ENSG00000170367.7,CST5,chr20,23875933,23880086,-,0.4629088650736958,32
ENSG00000197818.14,SLC9A8,chr20,49812676,49892242,+,0.46128750571934507,33
ENSG00000111640.17,GAPDH,chr12,6534011,6538930,+,0.45865516778128224,34
ENSG00000179111.10,HES7,chr17,8120591,8124114,-,0.45495553345466033,35
ENSG00000106336.15,FBXO24,chr7,100583981,100601117,+,0.4499635519061703,36
ENSG00000257207.5,ENSG00000257207,chr2,110402933,110473075,-,0.44563514601974746,37
ENSG00000256671.8,LIMS4,chr2,110445882,110473075,-,0.44563514601974746,37
ENSG00000288640.1,ENSG00000288640,chr7,112450459,112490941,+,0.44433462554262954,39
ENSG00000288634.1,ENSG00000288634,chr7,112450486,112450645,+,0.44305043158726765,40
ENSG00000139641.15,ESYT1,chr12,56118249,56150107,+,0.4421573365985532,41
ENSG00000135482.9,ZC3H10,chr12,56118242,56127514,+,0.44199306057981447,42
ENSG00000122033.17,MTIF3,chr13,27429822,27450613,-,0.44185054635081905,43
ENSG00000086544.5,ITPKC,chr19,40716963,40740860,+,0.4386077670997474,44
ENSG00000029153.17,BMAL2,chr12,27332800,27425289,+,0.4380675328487996,45
ENSG00000132952.14,USPL1,chr13,30617692,30660770,+,0.4349903185295989,46
ENSG00000162496.12,DHRS3,chr1,12563618,12620183,-,0.434540439639939,47
ENSG00000184924.8,PTRHD1,chr2,24788910,24793395,-,0.4342123061245657,48
ENSG00000111057.13,KRT18,chr12,52945687,52952911,+,0.42863924724113894,49
ENSG00000110958.18,PTGES3,chr12,56651662,56688408,-,0.42795411839673764,50
ENSG00000166997.10,CNPY4,chr7,100119613,100125511,+,0.42598985800344963,51
ENSG00000144579.11,CTDSP1,chr2,218397135,218405942,+,0.42565562049625444,52
ENSG00000179148.11,ALOXE3,chr17,8095899,8119047,-,0.42551424457354003,53
ENSG00000293615.1,ENSG00000293615,chr2,69960103,70087320,-,0.42486816850444303,54
ENSG00000106211.12,HSPB1,chr7,76302665,76305813,+,0.4239705473658978,55
ENSG00000146776.16,ATXN7L1,chr7,105604771,105877400,-,0.42076523378537967,56
ENSG00000145901.20,TNIP1,chr5,151029934,151093577,-,0.41954481502226554,57
ENSG00000070882.15,OSBPL3,chr7,24796535,24981634,-,0.41777004082733765,58
ENSG00000141510.21,TP53,chr17,7661778,7687546,-,0.4170224977296311,59
ENSG00000122566.25,HNRNPA2B1,chr7,26169260,26201529,-,0.41548878500179853,60
ENSG00000106080.12,FKBP14,chr7,30004405,30026716,-,0.4150477986453916,61
ENSG00000001631.19,KRIT1,chr7,92197497,92246166,-,0.4148594733682694,62
ENSG00000150991.18,UBC,chr12,124910296,124939924,-,0.4147978407873306,63
ENSG00000204928.3,GRXCR2,chr5,145858520,145937126,-,0.41472704453626646,64
ENSG00000173221.16,GLRX,chr5,95735260,95822953,-,0.4143095845479984,65
ENSG00000182095.16,TNRC18,chr7,5306789,5425414,-,0.41384568879706785,66
ENSG00000011426.13,ANLN,chr7,36389726,36453791,+,0.4133071358054876,67
ENSG00000169564.7,PCBP1,chr2,70087476,70089203,+,0.4124059372036718,68
ENSG00000185650.12,ZFP36L1,chr14,68787654,68796269,-,0.41233341408736307,69
ENSG00000078487.20,ZCWPW1,chr7,100400825,100428992,-,0.4114455359296408,70
ENSG00000198959.14,TGM2,chr20,38127384,38168463,-,0.41076831791340374,71
