gene_id,Gene,chr,tss
ENSG00000136997.22,MYC,chr8,127735433
ENSG00000091137.16,SLC26A4,chr7,107660593
ENSG00000106006.7,HOXA6,chr7,27150602
ENSG00000256977.14,LIMS3,chr2,109898427
ENSG00000284337.1,ENSG00000284337,chr2,109898431
ENSG00000187678.12,SPRY4,chr5,142326454
ENSG00000106086.23,PLEKHA8,chr7,30027403
ENSG00000138092.13,CENPO,chr2,24793099
ENSG00000106336.15,FBXO24,chr7,100583981
ENSG00000257207.5,ENSG00000257207,chr2,110473074
ENSG00000256671.8,LIMS4,chr2,110473074
ENSG00000288640.1,ENSG00000288640,chr7,112450459
ENSG00000288634.1,ENSG00000288634,chr7,112450486
ENSG00000184924.8,PTRHD1,chr2,24793394
ENSG00000162496.12,DHRS3,chr1,12620182
ENSG00000166997.10,CNPY4,chr7,100119613
ENSG00000106211.12,HSPB1,chr7,76302665
ENSG00000144579.11,CTDSP1,chr2,218397135
ENSG00000293615.1,ENSG00000293615,chr2,70087319
ENSG00000145901.20,TNIP1,chr5,151093576
ENSG00000146776.16,ATXN7L1,chr7,105877399
ENSG00000070882.15,OSBPL3,chr7,24981633
ENSG00000106080.12,FKBP14,chr7,30026715
ENSG00000078487.20,ZCWPW1,chr7,100428991
ENSG00000122566.25,HNRNPA2B1,chr7,26201528
ENSG00000001631.19,KRIT1,chr7,92246165
ENSG00000204928.3,GRXCR2,chr5,145937125
ENSG00000173221.16,GLRX,chr5,95822952
ENSG00000182095.16,TNRC18,chr7,5425413
ENSG00000169564.7,PCBP1,chr2,70087476
ENSG00000011426.13,ANLN,chr7,36389726
ENSG00000168090.12,COPS6,chr7,100088947
ENSG00000122565.21,CBX3,chr7,26200567
ENSG00000001629.12,ANKIB1,chr7,92245959
ENSG00000106366.11,SERPINE1,chr7,101122157
ENSG00000285953.2,ENSG00000285953,chr7,92245942
ENSG00000146834.17,MEPCE,chr7,100428321
ENSG00000289027.1,ENSG00000289027,chr7,92245923
ENSG00000122592.9,HOXA7,chr7,27157935
ENSG00000105997.25,HOXA3,chr7,27152609
ENSG00000084754.14,HADHA,chr2,26245043
ENSG00000119888.13,EPCAM,chr2,47345157
