gene_id,Gene,chr,tss
ENSG00000107175.14,CREB3,chr9,35732295
ENSG00000137076.24,TLN1,chr9,35732211
ENSG00000078487.20,ZCWPW1,chr7,100428991
ENSG00000136997.22,MYC,chr8,127735433
ENSG00000185278.18,ZBTB37,chr1,173868081
ENSG00000173567.17,ADGRF3,chr2,26346816
ENSG00000146834.17,MEPCE,chr7,100428321
ENSG00000106244.15,PDAP1,chr7,99408830
ENSG00000135637.17,CCDC142,chr2,74483407
ENSG00000132912.16,DCTN4,chr5,150759094
ENSG00000115241.13,PPM1G,chr2,27409673
ENSG00000106367.17,AP1S1,chr7,101154351
ENSG00000106245.13,BUD31,chr7,99408609
ENSG00000164815.13,ORC5,chr7,104208046
ENSG00000135317.16,SNX14,chr6,85594155
ENSG00000106266.13,SNX8,chr7,2354317
ENSG00000163608.17,RMP64,chr3,113019860
ENSG00000132906.20,CASP9,chr1,15526533
ENSG00000106263.21,EIF3B,chr7,2354079
ENSG00000177917.13,ARL6IP6,chr2,152717620
ENSG00000212993.6,POU5F1B,chr8,127322182
ENSG00000213347.13,MXD3,chr5,177312756
ENSG00000115282.23,TTC31,chr2,74482616
ENSG00000146833.18,TRIM4,chr7,99919603
ENSG00000137073.26,UBAP2,chr9,34049419
ENSG00000005981.15,ASB4,chr7,95478443
ENSG00000075618.20,FSCN1,chr7,5592805
ENSG00000138073.16,PREB,chr2,27134688
ENSG00000138030.16,KHK,chr2,27086722
ENSG00000285437.4,POLR2J3,chr7,102572619
ENSG00000084090.16,STARD7,chr2,96208853
ENSG00000084676.18,NCOA1,chr2,24490982
ENSG00000158987.24,RAPGEF6,chr5,131635271
ENSG00000127054.24,INTS11,chr1,1324687
ENSG00000168255.20,POLR2J3,chr7,102572652
ENSG00000203667.12,COX20,chr1,244835300
ENSG00000106355.12,LSM5,chr7,32495282
ENSG00000165280.20,VCP,chr9,35072724
ENSG00000224051.9,CPTP,chr1,1324755
ENSG00000163006.14,CCDC138,chr2,108786729
ENSG00000105778.22,AVL9,chr7,32495425
ENSG00000163170.14,BOLA3,chr2,74147976
ENSG00000180573.11,H2AC6,chr6,26124144
ENSG00000180596.11,H2BC4,chr6,26124015
ENSG00000171865.12,RNASEH1,chr2,3558370
ENSG00000028137.21,TNFRSF1B,chr1,12166969
ENSG00000116138.15,DNAJC16,chr1,15526812
ENSG00000113761.14,ZNF346,chr5,177022058
ENSG00000120314.20,WDR55,chr5,140664475
ENSG00000286905.1,ENSG00000286905,chr2,3558332
ENSG00000135074.18,ADAM19,chr5,157575857
ENSG00000293615.1,ENSG00000293615,chr2,70087319
ENSG00000221886.6,FAM200C,chr5,160400090
ENSG00000106211.12,HSPB1,chr7,76302665
ENSG00000184357.5,H1-5,chr6,27867587
ENSG00000284308.3,C2orf81,chr2,74421654
ENSG00000143977.16,SNRPG,chr2,70293765
ENSG00000186314.14,PRELID2,chr5,145835378
ENSG00000136710.12,VMA22,chr2,130342698
ENSG00000147883.14,CDKN2B,chr9,22009324
ENSG00000168672.6,LRATD2,chr8,126558483
ENSG00000159239.13,ENSG00000159239,chr2,74421661
ENSG00000005448.19,WDR54,chr2,74421476
ENSG00000165282.18,PIGO,chr9,35096631
ENSG00000087206.19,UIMC1,chr5,177022645
ENSG00000137098.16,SPAG8,chr9,35812271
ENSG00000270249.2,ENSG00000270249,chr7,102592443
ENSG00000221838.14,AP4M1,chr7,100100840
ENSG00000144381.20,HSPD1,chr2,197516736
ENSG00000136718.12,IMP4,chr2,130342402
ENSG00000169564.7,PCBP1,chr2,70087476
ENSG00000175768.15,TOMM5,chr9,37592618
ENSG00000196981.5,WDR5B,chr3,122416463
ENSG00000185130.7,H2BC13,chr6,27807935
ENSG00000105808.21,RASA4,chr7,102616778
ENSG00000253729.11,PRKDC,chr8,47960181
ENSG00000176125.7,UFSP1,chr7,100889714
ENSG00000104738.21,MCM4,chr8,47960184
ENSG00000086102.21,NFX1,chr9,33290427
ENSG00000119977.24,TCTN3,chr10,95694142
ENSG00000076201.18,PTPN23,chr3,47381010
ENSG00000115875.21,SRSF7,chr2,38751497
ENSG00000256966.6,ENSG00000256966,chr9,37592468
ENSG00000163795.16,ZNF513,chr2,27380789
ENSG00000204335.5,SP5,chr2,170715286
ENSG00000170027.8,YWHAG,chr7,76359021
ENSG00000181163.16,NPM1,chr5,171387085
ENSG00000166508.21,MCM7,chr7,100101939
ENSG00000122696.16,SLC25A51,chr9,37904386
ENSG00000293562.1,ENSG00000293562,chr1,174022297
ENSG00000131504.19,DIAPH1,chr5,141619193
ENSG00000119777.22,TMEM214,chr2,27032909
ENSG00000196262.17,PPIA,chr7,44796619
ENSG00000137074.22,APTX,chr9,33025175
ENSG00000077157.25,PPP1R12B,chr1,202348665
ENSG00000163449.13,TMEM169,chr2,216081865
ENSG00000152147.13,GEMIN6,chr2,38751533
ENSG00000144320.16,LNPK,chr2,176002838
ENSG00000144580.17,CNOT9,chr2,218568574
ENSG00000171863.17,RPS7,chr2,3575197
ENSG00000135205.17,CCDC146,chr7,77122433
ENSG00000125611.17,CHCHD5,chr2,112584239
ENSG00000115524.19,SF3B1,chr2,197435078
ENSG00000181904.11,C5orf24,chr5,134845679
ENSG00000196747.5,H2AC13,chr6,27808172
ENSG00000086061.18,DNAJA1,chr9,33025202
ENSG00000054118.17,THRAP3,chr1,36224391
ENSG00000065485.22,PDIA5,chr3,123067016
ENSG00000164403.17,SHROOM1,chr5,132830923
ENSG00000135870.15,RC3H1,chr1,174022417
ENSG00000155755.21,TMEM237,chr2,201643569
ENSG00000174501.16,ANKRD36C,chr2,95991842
ENSG00000153561.15,RMND5A,chr2,86720052
ENSG00000144136.13,SLC20A1,chr2,112645852
ENSG00000135913.13,USP37,chr2,218568767
