"seqnames","start","end","width","strand","Conc","Conc_YEATS2KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr20",45084617,45085117,501,"*",4.68122482367298,0,5.68122482367298,-6.87918645854009,5.89086774173712e-07,0.0149686490097595,"Distal Intergenic",20,45092310,45101112,8803,2,"3787","ENST00000306117.5",15995,"ENSG00000124134","KCNS1","potassium voltage-gated channel modifier subfamily S member 1"
"chr2",65227538,65228038,501,"*",5.35593078316432,3.32090175109986,6.16822113868714,-2.69132492787918,1.21208348897994e-06,0.0149686490097595,"Promoter (<=1kb)",2,65227788,65246737,18950,1,"10097","ENST00000476840.5",0,"ENSG00000138071","ACTR2","actin related protein 2"
"chr12",2855088,2855588,501,"*",4.49654617012127,0,5.49654617012127,-6.52439533991555,2.13488353264492e-06,0.0149686490097595,"Promoter (1-2kb)",12,2849046,2857039,7994,2,"101929469","ENST00000637658.2",1451,"ENSG00000283297","TEX52","testis expressed 52"
"chr7",74447763,74448263,501,"*",4.7948890108383,2.03051058071681,5.68461428224933,-3.26134218044692,6.37552728962682e-06,0.0233625267651967,"Distal Intergenic",7,74453790,74602590,148801,1,"9569","ENST00000265755.7",-5527,"ENSG00000006704","GTF2IRD1","GTF2I repeat domain containing 1"
"chr9",96417715,96418215,501,"*",5.68433459656125,4.08784613770065,6.42359437344791,-1.78987035004743,7.46327057049874e-06,0.0233625267651967,"Promoter (<=1kb)",9,96385941,96418370,32430,2,"195828","ENST00000375256.5",155,"ENSG00000165244","ZNF367","zinc finger protein 367"
"chr6",37332619,37333119,501,"*",4.70887343738502,0.86544392400994,5.65772494421916,-4.26953818372165,8.92449092757714e-06,0.0233625267651967,"3' UTR",6,37353979,37368874,14896,1,"9025","ENST00000494320.5",-20860,"ENSG00000112130","RNF8","ring finger protein 8"
"chr17",43377253,43377753,501,"*",4.25953331048505,0,5.25953331048505,-5.78587425773247,9.65193151887582e-06,0.0233625267651967,"Exon (ENST00000658096.1/100130581, exon 4 of 7)",17,43377505,43381660,4156,2,"100130581","ENST00000828893.1",3907,"ENSG00000188825","LINC00910","long intergenic non-protein coding RNA 910"
"chr1",202269114,202269614,501,"*",4.25686308795435,0,5.25686308795435,-5.78211570029249,9.69592093734646e-06,0.0233625267651967,"Intron (ENST00000367278.8/59352, intron 4 of 17)",1,202276270,202306921,30652,1,"59352","ENST00000308543.3",-6656,"ENSG00000133067","LGR6","leucine rich repeat containing G protein-coupled receptor 6"
"chr20",34744931,34745431,501,"*",4.60329927788474,1.03051058071681,5.54136710001605,-3.83863272953696,1.18337204045639e-05,0.0233625267651967,"Intron (ENST00000655046.1/ENST00000655046.1, intron 1 of 2)",20,34697141,34749582,52442,2,"23054","ENST00000628752.2",4151,"ENSG00000198646","NCOA6","nuclear receptor coactivator 6"
"chr7",74434978,74435478,501,"*",5.3137618515366,3.59584688017588,6.07590845329054,-1.85905539939515,1.21864869437681e-05,0.0233625267651967,"Distal Intergenic",7,74453790,74602590,148801,1,"9569","ENST00000265755.7",-18312,"ENSG00000006704","GTF2IRD1","GTF2I repeat domain containing 1"
"chr12",51961602,51962102,501,"*",5.04233067806002,2.92434858049581,5.86577931907379,-2.34497037834859,1.25370874734887e-05,0.0233625267651967,"Intron (ENST00000257963.9/91, intron 1 of 8)",12,51953380,51994925,41546,1,"91","ENST00000542485.1",8222,"ENSG00000135503","ACVR1B","activin A receptor type 1B"
"chr3",183838940,183839440,501,"*",4.25795244807452,0,5.25795244807452,-5.5691774492581,1.33489738037431e-05,0.0233625267651967,"Promoter (2-3kb)",3,183829390,183842354,12965,2,"55486","ENST00000418450.5",2914,"ENSG00000175193","PARL","presenilin associated rhomboid like"
