"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR"
"chr7",100148821,100149321,501,"*",6.0426282226989,0,7.0426282226989,-8.36721030583638,3.15661267020354e-09,3.3902020077986e-06
"chr7",102464281,102464781,501,"*",6.11431862340906,0,7.11431862340906,-8.29752648253577,2.46150308840104e-08,1.58619259016563e-05
"chr11",69010952,69011452,501,"*",5.384789960145,0,6.384789960145,-7.61549541308898,2.81384883504002e-07,0.000151103682441649
"chr2",39123825,39124325,501,"*",5.28281296728795,0,6.28281296728795,-7.41695960667147,9.83899103476041e-07,0.000409114358745645
"chr14",23071297,23071797,501,"*",5.16611126912757,0,6.16611126912757,-7.33494015023422,1.0158022563517e-06,0.000409114358745645
"chr11",78139042,78139542,501,"*",5.00608800873186,0,6.00608800873186,-7.16347984691335,1.67838938801354e-06,0.000517465302461274
"chr3",49028966,49029466,501,"*",5.38675777870752,0,6.37014707444031,-5.61150536969534,1.68725096915698e-06,0.000517465302461274
"chr11",64241166,64241666,501,"*",6.20395220668941,4.24347885739659,7.00557101178232,-2.22901707671132,1.79147104377487e-06,0.000517465302461274
"chr19",12933423,12933923,501,"*",4.98447885944549,0,5.98447885944549,-7.13008836931712,1.92724507434367e-06,0.000517465302461274
"chr7",100081616,100082116,501,"*",6.21401273167175,4.3361679599546,7.00304090316893,-2.15844341368097,2.50405804536779e-06,0.000595355619610499
"chr17",63446485,63446985,501,"*",6.1629706400058,4.34810230914665,6.94182665804143,-2.10061556787273,2.5868959263026e-06,0.000595355619610499
"chr2",202374748,202375248,501,"*",5.0518329162097,0,6.0518329162097,-7.10819068490328,2.98306826117727e-06,0.000640763062500879
"chr17",17913813,17914313,501,"*",4.92880869885139,0,5.92880869885139,-7.01031335133528,3.29427820745603e-06,0.000644135406625563
"chr7",152759716,152760216,501,"*",5.10128362245003,0,6.10128362245003,-7.1187512109924,3.39860394557249e-06,0.000644135406625563
"chr17",7046952,7047452,501,"*",5.31830775522969,0,6.31830775522969,-7.24570352675528,3.64772114959965e-06,0.000652942085778337
"chr1",161132338,161132838,501,"*",4.82490301926277,0,5.82490301926277,-6.88505551263067,4.54602047523094e-06,0.000770909366904951
"chr16",88315333,88315833,501,"*",4.91522742876287,0,5.91522742876287,-6.86971382325721,6.64019115994792e-06,0.00106973479586761
"chr10",123153956,123154456,501,"*",5.28200915803164,0.522913575870329,6.25512139030691,-4.80601420018015,7.35492568106324e-06,0.00110547875581268
"chr16",29789827,29790327,501,"*",4.77939221209565,0,5.77939221209565,-6.75356032821583,7.5482720756918e-06,0.00110547875581268
"chr5",154038889,154039389,501,"*",4.71910847798026,0,5.71910847798026,-6.68502242650584,8.60181798339977e-06,0.00120500250184844
"chr11",73142783,73143283,501,"*",4.90241499345439,0,5.90241499345439,-6.74995218438461,1.07498250155754e-05,0.001443164008341
"chr5",134758371,134758871,501,"*",4.66393337246939,0,5.66393337246939,-6.58173357828123,1.14323318422333e-05,0.00147339892782703
"chr2",3575104,3575604,501,"*",6.34768245969539,4.50694040732969,7.13078020661608,-2.05521201542979,1.2388642289342e-05,0.00153523867139461
"chr19",2541166,2541666,501,"*",4.6321615186653,0,5.6321615186653,-6.48931396461482,1.49899991071084e-05,0.00173631420053894
"chr15",100803813,100804313,501,"*",4.6296831449884,0,5.6296831449884,-6.47565937073331,1.57016851800583e-05,0.00173631420053894
"chr5",177351544,177352044,501,"*",5.48079348471632,2.77326185179432,6.36590568956559,-2.75783450858662,1.59927625859164e-05,0.00173631420053894
"chr3",15064985,15065485,501,"*",5.44117628274658,2.59607528208403,6.33712412611609,-2.86580612950141,1.65782444977496e-05,0.00173631420053894
"chr19",40417016,40417516,501,"*",4.62149983684784,0,5.62149983684784,-6.44996583265741,1.68215523205948e-05,0.00173631420053894
"chr14",49767504,49768004,501,"*",4.75108620362187,0,5.75108620362187,-6.52504623997696,1.72445854802129e-05,0.00173631420053894
"chr1",228082099,228082599,501,"*",4.61321512485571,0,5.61321512485571,-6.42104891213982,1.82965982883237e-05,0.00175945924087355
"chr10",79347554,79348054,501,"*",5.24708694967574,2.30243792635442,6.15021086606602,-2.94737964904574,1.85666089974241e-05,0.00175945924087355
"chr11",75562464,75562964,501,"*",5.64917977970923,3.3472383064904,6.49493876172094,-2.38149745856431,1.92911836365638e-05,0.00177589124791453
"chr22",29096577,29097077,501,"*",4.87896612307083,0,5.87896612307083,-6.54438096119262,2.09126442050481e-05,0.00184275507193784
"chr19",10502341,10502841,501,"*",5.17687448672932,1.99095620780952,6.09534760894359,-3.18805205899226,2.15125010679356e-05,0.00184275507193784
"chr17",7583095,7583595,501,"*",6.52046736006145,4.61667132350313,7.3135398068827,-2.04994899470623,2.23001640753131e-05,0.00184275507193784
"chr7",44748326,44748826,501,"*",5.11109619669105,0.671239139121204,6.07747093533341,-4.38281444387792,2.23052289899366e-05,0.00184275507193784
"chr11",119845566,119846066,501,"*",4.55091828427679,0,5.55091828427679,-6.29136022652845,2.43473929746265e-05,0.00189976295168535
"chr2",200408680,200409180,501,"*",5.16839534926422,0,6.15875608300228,-5.73204067142612,2.46831153543657e-05,0.00189976295168535
"chr9",97983499,97983999,501,"*",5.63035576829901,3.05060025560637,6.50435059045084,-2.55251719667486,2.535375757991e-05,0.00189976295168535
"chr1",23743333,23743833,501,"*",5.29160831437774,1.93335269580596,6.21949460214027,-3.28959228267793,2.82631610123215e-05,0.00200334216244036
"chr19",43503953,43504453,501,"*",4.50017513395156,0,5.50017513395156,-6.20584472209742,2.85449525363333e-05,0.00200334216244036
"chr5",69188803,69189303,501,"*",4.69403555204016,0,5.69403555204016,-6.29095239818802,3.14381252007022e-05,0.00215518381695027
"chr1",35268433,35268933,501,"*",4.83775055888789,0,5.83775055888789,-6.32320557831437,3.60997888832332e-05,0.00242319832878703
"chr22",38705697,38706197,501,"*",4.43764399338633,0,5.43764399338633,-6.05423505822111,3.88592114583899e-05,0.00255519141467209
"chr7",66075519,66076019,501,"*",4.40197866638683,0,5.40197866638683,-5.97464037003827,4.49752960048973e-05,0.00289820807455558
"chr11",57514108,57514608,501,"*",4.49150435087894,0,5.49150435087894,-6.01907725701251,4.60733111447812e-05,0.00291074918644088
"chr10",110567138,110567638,501,"*",5.14912516458922,0.928739612923563,6.10989929286934,-4.11969093077552,4.84846845756798e-05,0.00300418564813155
"chr17",752091,752591,501,"*",6.51144760191386,5.20605351969123,7.18535622574561,-1.60204611259583,5.13448296710988e-05,0.00312137813585434
"chr15",98785758,98786258,501,"*",4.34560782328432,0,5.34560782328432,-5.83298555684451,5.80202650570607e-05,0.00346187581507129
"chr19",44890485,44890985,501,"*",4.33493929861451,0,5.33493929861451,-5.79202732130836,6.268129992513e-05,0.00367198451561398
"chr3",150408090,150408590,501,"*",4.93207750331912,0,5.91700570557593,-5.19983032173182,6.54429151483645e-05,0.00376530486800055
"chr6",42217307,42217807,501,"*",4.47216158969524,0,5.47216158969524,-5.81475176190894,7.09033143337584e-05,0.00400790313655034
"chr8",48007791,48008291,501,"*",5.48909414741695,1.74530599720678,6.43421775519493,-3.3876206583768,7.64226989088121e-05,0.00421496877531297
"chr17",43387832,43388332,501,"*",4.38010005559124,0,5.38010005559124,-5.7183486494684,7.7509371068398e-05,0.00421496877531297
"chr12",7994784,7995284,501,"*",4.31336261512562,0,5.31336261512562,-5.67350274938801,7.84910386464241e-05,0.00421496877531297
"chr20",23136762,23137262,501,"*",4.88544924026694,0.522913575870329,5.84994970172221,-3.8883378300457,8.3364815539787e-05,0.00440330222408514
"chr20",47280967,47281467,501,"*",4.30005219163688,0,5.30005219163688,-5.60512979290691,8.8658986632231e-05,0.0046074073375653
"chr9",35657754,35658254,501,"*",5.64036629456508,2.67399816523222,6.5449866418607,-2.6885413529304,9.18930932111325e-05,0.00469967533851221
"chr12",53218453,53218953,501,"*",4.30484790883548,0,5.30484790883548,-5.57833733044318,9.39087486048737e-05,0.00472082769921384
"chr12",52945538,52946038,501,"*",5.05167256900167,0.928739612923563,6.00966520303489,-3.83356045866715,9.52370578674425e-05,0.00472082769921384
"chr1",153550518,153551018,501,"*",4.30962773721104,0,5.30962773721104,-5.54389422924871,0.000100793663800793,0.00478960701296911
"chr9",121075178,121075678,501,"*",4.50079772130198,0,5.50079772130198,-5.648124091029,0.000101033864118001,0.00478960701296911
"chr7",151226788,151227288,501,"*",4.44822765108208,0,5.44822765108208,-5.61366014150471,0.000102128356815778,0.00478960701296911
"chr3",119464265,119464765,501,"*",4.64601879920939,0,5.64601879920939,-5.71681970740992,0.000102570727465819,0.00478960701296911
"chr6",33571344,33571844,501,"*",4.88614158300321,0.522913575870329,5.85065928761137,-3.80567943487819,0.00010948884463161,0.00503961510575783
"chr17",29580475,29580975,501,"*",4.24696193587412,0,5.24696193587412,-5.44522687902751,0.000113398832294833,0.00514607095287258
"chr15",65868971,65869471,501,"*",4.24945166763927,0,5.24945166763927,-5.4314241120303,0.000116574684340056,0.00521506259380617
"chr7",149028912,149029412,501,"*",4.7577629348587,0,5.74074403447891,-4.82196715306175,0.000118549321587423,0.00521506259380617
"chr7",460940,461440,501,"*",4.91712895601512,0.343777112202407,5.88650725366579,-4.14859375677321,0.000119774870248807,0.00521506259380617
"chr7",74092553,74093053,501,"*",5.49397579095386,2.05060025560637,6.4260925443652,-3.04782280179994,0.000123471031008218,0.00530431549211305
"chr17",75515516,75516016,501,"*",4.89723986905189,0,5.88559939273142,-4.91817765618876,0.00012539684838026,0.00531616638791051
"chr3",51995393,51995893,501,"*",6.33511689981975,5.07691882348362,6.99680649500667,-1.52676527445894,0.000131508788360074,0.00543713743454161
"chr17",81871523,81872023,501,"*",6.54316180007644,5.14243257670609,7.24027935827386,-1.62677644763354,0.000131625301022423,0.00543713743454161
"chr19",55654673,55655173,501,"*",6.4433279270492,4.50694040732969,7.24136198284018,-1.95556463538114,0.000134187660485531,0.00547281825423269
"chr17",2511644,2512144,501,"*",4.17622531323446,0,5.17622531323446,-5.3015826100647,0.000136662397444129,0.0055040780570623
"chr1",179882436,179882936,501,"*",5.68921161439847,3.41523534968818,6.5317808084655,-2.14507244966677,0.000145412087527333,0.00573106866618317
"chr6",3194882,3195382,501,"*",4.3856169107226,0,5.3856169107226,-5.37468810072646,0.000145855875427381,0.00573106866618317
"chr1",225817803,225818303,501,"*",4.6804531414222,0,5.65325138128865,-3.98744817848144,0.000151742061444426,0.00589051713221614
"chr7",4775363,4775863,501,"*",4.76832340328665,0,5.75559005150505,-4.70650638722681,0.000161709091488009,0.00620269872350433
"chr4",127781947,127782447,501,"*",4.79731762453093,0,5.77225093966402,-4.03409083086368,0.000170327979831955,0.00645643236492422
"chr16",89325903,89326403,501,"*",4.11282121372736,0,5.11282121372736,-5.09755759612411,0.000181721199451947,0.00680820586783923
"chr15",64841998,64842498,501,"*",4.21240725995111,0,5.21240725995111,-5.10161094061219,0.00019577729873007,0.00719811202485636
"chrX",14029059,14029559,501,"*",4.10578307847813,0,5.10578307847813,-5.04447630275578,0.000196596479884345,0.00719811202485636
"chr6",125956681,125957181,501,"*",4.29972845941629,0,5.29972845941629,-5.10821263310062,0.000207108239538814,0.00748906804721547
"chrX",71181510,71182010,501,"*",5.61140190301526,3.74004950843028,6.39940506752675,-1.87873842801836,0.000209191844894287,0.00748906804721547
