seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	10001	10390	390	*	p53KD_H4K16ac_rep1_peak_699	39	.	5.14691	6.94692	3.96167	Promoter (<=1kb)	1	11121	14413	3293	1	100287102	ENST00000832824.1	-731	ENSG00000290825	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)
chr1	16835	17557	723	*	p53KD_H4K16ac_rep1_peak_700	14	.	3.35851	3.81245	1.40602	Promoter (<=1kb)	1	17369	17436	68	2	102466751	ENST00000619216.1	0	ENSG00000278267	MIR6859-1	microRNA 6859-1
chr1	19284	19490	207	*	p53KD_H4K16ac_rep1_peak_701	20	.	3.9064	4.76766	2.06491	Promoter (<=1kb)	1	16444	19139	2696	2	653635	ENST00000831741.1	-145	ENSG00000310526	WASH7P	WASP family homolog 7, pseudogene
chr1	28632	30543	1912	*	p53KD_H4K16ac_rep1_peak_702	35	.	4.83164	6.43462	3.56066	Promoter (<=1kb)	1	30366	30503	138	1	100302278	ENST00000607096.1	0	ENSG00000284332	MIR1302-2	microRNA 1302-2
chr1	33792	35106	1315	*	p53KD_H4K16ac_rep1_peak_703	15	.	3.52165	4.06313	1.5946	Promoter (<=1kb)	1	35245	36073	829	2	645520	ENST00000461467.1	967	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	37936	38582	647	*	p53KD_H4K16ac_rep1_peak_704	14	.	3.45498	3.93915	1.47381	Promoter (<=1kb)	1	34553	37595	3043	2	645520	ENST00000834250.1	-341	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	115366	115652	287	*	p53KD_H4K16ac_rep1_peak_705	14	.	3.39416	3.86026	1.43591	Intron (ENST00000466430.5/ENST00000466430.5, intron 1 of 3)	1	92230	129217	36988	2	124900384	ENST00000477740.5	13565	NA	LOC124900384	uncharacterized LOC124900384
chr1	117875	118112	238	*	p53KD_H4K16ac_rep1_peak_706	19	.	3.74318	4.47525	1.9494	Intron (ENST00000466430.5/ENST00000466430.5, intron 1 of 3)	1	92230	129217	36988	2	124900384	ENST00000477740.5	11105	NA	LOC124900384	uncharacterized LOC124900384
chr1	122910	123138	229	*	p53KD_H4K16ac_rep1_peak_707	17	.	3.65811	4.30511	1.79703	Intron (ENST00000831081.1/124900384, intron 5 of 6)	1	92230	129217	36988	2	124900384	ENST00000477740.5	6079	NA	LOC124900384	uncharacterized LOC124900384
chr1	196751	197046	296	*	p53KD_H4K16ac_rep1_peak_708	13	.	3.32186	3.745	1.3413	Promoter (1-2kb)	1	184916	195432	10517	2	100996442	ENST00000831680.1	-1319	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	199473	201691	2219	*	p53KD_H4K16ac_rep1_peak_709	20	.	3.83636	4.60011	2.00196	Promoter (<=1kb)	1	182146	199872	17727	2	100996442	ENST00000831131.1	0	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	295580	296386	807	*	p53KD_H4K16ac_rep1_peak_710	14	.	3.40752	3.91004	1.41419	Promoter (1-2kb)	1	263015	297502	34488	2	127239154	ENST00000424587.7	1116	ENSG00000292994	LOC127239154	uncharacterized LOC127239154
chr1	369621	370030	410	*	p53KD_H4K16ac_rep1_peak_711	19	.	3.85219	4.67595	1.99982	Promoter (1-2kb)	1	365395	368450	3056	2	112268260	ENST00000453935.1	-1171	NA	LOC112268260	uncharacterized LOC112268260
chr1	406442	406891	450	*	p53KD_H4K16ac_rep1_peak_712	15	.	3.4805	4.0435	1.52157	Intron (ENST00000455207.5/112268260, intron 1 of 2)	1	365127	379972	14846	2	112268260	ENST00000440163.2	-26470	NA	LOC112268260	uncharacterized LOC112268260
chr1	449707	449989	283	*	p53KD_H4K16ac_rep1_peak_713	21	.	3.94079	4.80367	2.18918	Promoter (1-2kb)	1	450740	451678	939	2	729759	ENST00000426406.4	1689	ENSG00000284733	OR4F29	olfactory receptor family 4 subfamily F member 29
chr1	597960	598391	432	*	p53KD_H4K16ac_rep1_peak_714	45	.	5.5057	7.61868	4.54097	Exon (ENST00000357876.6/ENST00000357876.6, exon 1 of 2)	1	586278	588453	2176	2	105378947	ENST00000417636.2	-9507	NA	LOC105378947	proline-rich extensin-like protein EPR1
chr1	706020	706585	566	*	p53KD_H4K16ac_rep1_peak_715	17	.	3.63232	4.29426	1.77641	Intron (ENST00000419394.2/81399, intron 2 of 3)	1	688808	710676	21869	2	81399	ENST00000743860.1	4091	ENSG00000284662	OR4F16	olfactory receptor family 4 subfamily F member 16
chr1	739246	739741	496	*	p53KD_H4K16ac_rep1_peak_716	18	.	3.72748	4.39403	1.85859	Intron (ENST00000635509.2/105378947, intron 1 of 3)	1	594458	733064	138607	2	105378947	ENST00000648019.1	-6182	NA	LOC105378947	proline-rich extensin-like protein EPR1
chr1	766254	766832	579	*	p53KD_H4K16ac_rep1_peak_717	11	.	3.20681	3.54277	1.15644	Exon (ENST00000743821.1/100288069, exon 6 of 7)	1	710605	774280	63676	2	100288069	ENST00000743822.1	7448	NA	LOC100288069	uncharacterized LOC100288069
chr1	820805	821030	226	*	p53KD_H4K16ac_rep1_peak_718	16	.	3.66204	4.26472	1.66222	Intron (ENST00000635509.2/105378947, intron 1 of 3)	1	817363	819842	2480	1	400728	ENST00000326734.3	3442	ENSG00000177757	FAM87B	family with sequence similarity 87 member B
chr1	876033	876405	373	*	p53KD_H4K16ac_rep1_peak_719	36	.	4.93394	6.59049	3.67023	Promoter (<=1kb)	1	868246	876865	8620	2	284593	ENST00000745855.1	460	ENSG00000230368	FAM41C	family with sequence similarity 41 member C
chr1	966545	967062	518	*	p53KD_H4K16ac_rep1_peak_720	13	.	3.33721	3.77524	1.35866	Promoter (<=1kb)	1	966502	975008	8507	1	84069	ENST00000379409.6	43	ENSG00000187583	PLEKHN1	pleckstrin homology domain containing N1
chr1	976921	977530	610	*	p53KD_H4K16ac_rep1_peak_721	24	.	4.17462	5.22505	2.45267	Promoter (<=1kb)	1	975205	976641	1437	2	84808	ENST00000479361.1	-280	ENSG00000187642	PERM1	PPARGC1 and ESRR induced regulator, muscle 1
chr1	1028708	1029704	997	*	p53KD_H4K16ac_rep1_peak_722	23	.	4.11405	5.11582	2.38477	Intron (ENST00000379370.7/375790, intron 2 of 35)	1	1034106	1056116	22011	1	375790	ENST00000651234.1	-4402	ENSG00000188157	AGRN	agrin
chr1	1076219	1079214	2996	*	p53KD_H4K16ac_rep1_peak_723	33	.	4.67444	6.17314	3.35725	Promoter (1-2kb)	1	1070967	1074306	3340	2	401934	ENST00000453464.3	-1913	ENSG00000237330	RNF223	ring finger protein 223
chr1	1080701	1080964	264	*	p53KD_H4K16ac_rep1_peak_724	32	.	4.60088	6.05831	3.2202	Distal Intergenic	1	1082146	1084072	1927	2	54991	ENST00000464905.1	3108	ENSG00000131591	C1orf159	chromosome 1 open reading frame 159
chr1	1157489	1159387	1899	*	p53KD_H4K16ac_rep1_peak_725	22	.	3.99329	4.88352	2.26935	Exon (ENST00000807417.1/ENST00000807417.1, exon 1 of 1)	1	1167104	1167198	95	1	406984	ENST00000384997.3	-7717	ENSG00000207730	MIR200B	microRNA 200b
chr1	1164883	1166470	1588	*	p53KD_H4K16ac_rep1_peak_726	20	.	3.86604	4.66654	2.06282	Promoter (<=1kb)	1	1167104	1167198	95	1	406984	ENST00000384997.3	-634	ENSG00000207730	MIR200B	microRNA 200b
chr1	1273931	1274247	317	*	p53KD_H4K16ac_rep1_peak_727	13	.	3.35151	3.78067	1.35169	Promoter (<=1kb)	1	1274033	1277498	3466	1	101928895	ENST00000762567.1	0	NA	LINC01786	long intergenic non-protein coding RNA 1786
chr1	1288184	1289770	1587	*	p53KD_H4K16ac_rep1_peak_728	24	.	4.15887	5.18701	2.45049	Promoter (1-2kb)	1	1287109	1290943	3835	1	6339	ENST00000379099.3	1075	ENSG00000162572	SCNN1D	sodium channel epithelial 1 subunit delta
chr1	1349968	1351608	1641	*	p53KD_H4K16ac_rep1_peak_729	57	.	6.17438	8.9355	5.74795	Promoter (<=1kb)	1	1335278	1349418	14141	2	1855	ENST00000378888.10	-550	ENSG00000107404	DVL1	dishevelled segment polarity protein 1
chr1	1375637	1375887	251	*	p53KD_H4K16ac_rep1_peak_730	16	.	3.44509	4.2015	1.68118	Promoter (<=1kb)	1	1373736	1375207	1472	2	54998	ENST00000338338.10	-430	ENSG00000175756	AURKAIP1	aurora kinase A interacting protein 1
chr1	1406956	1407606	651	*	p53KD_H4K16ac_rep1_peak_731	12	.	3.25527	3.62641	1.21654	Promoter (<=1kb)	1	1401909	1407293	5385	2	55052	ENST00000344843.12	0	ENSG00000242485	MRPL20	mitochondrial ribosomal protein L20
chr1	1505756	1506136	381	*	p53KD_H4K16ac_rep1_peak_732	17	.	3.62723	4.239	1.72578	Promoter (<=1kb)	1	1505255	1509467	4213	1	83858	ENST00000692936.2	501	ENSG00000160072	ATAD3B	ATPase family AAA domain containing 3B
chr1	1746102	1746611	510	*	p53KD_H4K16ac_rep1_peak_733	23	.	4.01863	4.93722	2.31131	Promoter (<=1kb)	1	1732242	1745992	13751	2	9906	ENST00000246421.4	-110	NA	SLC35E2A	solute carrier family 35 member E2A (pseudogene)
chr1	1836389	1836803	415	*	p53KD_H4K16ac_rep1_peak_734	15	.	3.49998	4.05291	1.5914	Promoter (2-3kb)	1	1825467	1834127	8661	2	2782	ENST00000703712.1	-2262	ENSG00000078369	GNB1	G protein subunit beta 1
chr1	1909173	1909719	547	*	p53KD_H4K16ac_rep1_peak_735	15	.	3.55579	4.09171	1.54579	Promoter (<=1kb)	1	1906002	1909117	3116	2	124903822	ENST00000726655.1	-56	NA	LOC124903822	uncharacterized LOC124903822
chr1	1937260	1937466	207	*	p53KD_H4K16ac_rep1_peak_736	19	.	3.78456	4.51127	1.94142	Intron (ENST00000493964.5/85452, intron 25 of 37)	1	1921957	1927929	5973	2	85452	ENST00000464311.5	-9331	ENSG00000142609	CFAP74	cilia and flagella associated protein 74
chr1	2121744	2122089	346	*	p53KD_H4K16ac_rep1_peak_737	19	.	3.83317	4.6466	1.96459	Intron (ENST00000378567.8/5590, intron 4 of 17)	1	2116205	2150897	34693	1	5590	ENST00000470511.5	5539	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2138894	2139396	503	*	p53KD_H4K16ac_rep1_peak_738	14	.	3.40083	3.89271	1.43365	Intron (ENST00000378567.8/5590, intron 5 of 17)	1	2135262	2150865	15604	1	5590	ENST00000419838.6	3632	ENSG00000067606	PRKCZ	protein kinase C zeta
chr1	2194007	2194220	214	*	p53KD_H4K16ac_rep1_peak_739	20	.	3.90599	4.74047	2.09459	Promoter (<=1kb)	1	2189544	2194108	4565	2	199990	ENST00000497675.2	0	ENSG00000162585	FAAP20	FA core complex associated protein 20
chr1	2281659	2281996	338	*	p53KD_H4K16ac_rep1_peak_740	18	.	3.73635	4.48657	1.83197	Intron (ENST00000704337.1/6497, intron 1 of 3)	1	2303646	2304368	723	1	6497	ENST00000507179.1	-21650	ENSG00000157933	SKI	SKI proto-oncogene
chr1	2390747	2390976	230	*	p53KD_H4K16ac_rep1_peak_741	23	.	4.13283	5.08414	2.38384	Promoter (<=1kb)	1	2321253	2391554	70302	2	79906	ENST00000378531.8	578	ENSG00000116151	MORN1	MORN repeat containing 1
chr1	2412863	2413505	643	*	p53KD_H4K16ac_rep1_peak_742	18	.	3.69487	4.39141	1.82743	Promoter (<=1kb)	1	2408530	2413797	5268	2	5192	ENST00000508384.5	292	ENSG00000157911	PEX10	peroxisomal biogenesis factor 10
chr1	2586611	2587688	1078	*	p53KD_H4K16ac_rep1_peak_743	15	.	3.55032	4.17425	1.58402	Promoter (<=1kb)	1	2586750	2591467	4718	1	127281	ENST00000378425.9	0	ENSG00000157870	PRXL2B	peroxiredoxin like 2B
chr1	2652208	2655910	3703	*	p53KD_H4K16ac_rep1_peak_744	33	.	4.71764	6.23091	3.35431	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	19107	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2659968	2662868	2901	*	p53KD_H4K16ac_rep1_peak_745	19	.	3.80027	4.59223	1.91954	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	26867	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2664017	2664819	803	*	p53KD_H4K16ac_rep1_peak_746	33	.	4.78735	6.27513	3.34604	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	30916	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2667430	2669879	2450	*	p53KD_H4K16ac_rep1_peak_747	23	.	4.06535	5.0575	2.32012	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	34329	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2671600	2672198	599	*	p53KD_H4K16ac_rep1_peak_748	20	.	3.89391	4.747	2.04779	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	38499	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2677333	2678261	929	*	p53KD_H4K16ac_rep1_peak_749	16	.	3.57449	4.21902	1.61026	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	44232	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2679446	2680240	795	*	p53KD_H4K16ac_rep1_peak_750	16	.	3.57449	4.21902	1.61026	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	46345	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2681331	2684811	3481	*	p53KD_H4K16ac_rep1_peak_751	35	.	4.88805	6.49643	3.55769	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	48230	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2687959	2688269	311	*	p53KD_H4K16ac_rep1_peak_752	30	.	4.48937	5.83971	3.01183	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2633101	2636623	3523	1	105378597	ENST00000723531.1	54858	ENSG00000237058	MMEL1-AS1	MMEL1 antisense RNA 1
chr1	2750087	2750642	556	*	p53KD_H4K16ac_rep1_peak_753	20	.	3.89085	4.74668	2.05046	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2768091	2784733	16643	1	105378598	ENST00000648684.1	-17449	NA	LOC105378598	uncharacterized LOC105378598
chr1	2756574	2757020	447	*	p53KD_H4K16ac_rep1_peak_754	16	.	3.57449	4.21902	1.61026	Intron (ENST00000401095.9/100287898, intron 6 of 8)	1	2768091	2784733	16643	1	105378598	ENST00000648684.1	-11071	NA	LOC105378598	uncharacterized LOC105378598
chr1	3313682	3314132	451	*	p53KD_H4K16ac_rep1_peak_755	18	.	3.77568	4.55159	1.88585	Promoter (<=1kb)	1	3312741	3313762	1022	2	105378604	ENST00000818621.1	0	NA	LOC105378604	uncharacterized LOC105378604
chr1	3583873	3584140	268	*	p53KD_H4K16ac_rep1_peak_756	16	.	3.57449	4.21902	1.61026	Intron (ENST00000356575.9/1953, intron 3 of 36)	1	3560695	3560790	96	2	693135	ENST00000385042.1	-23083	ENSG00000207776	MIR551A	microRNA 551a
chr1	3900898	3901231	334	*	p53KD_H4K16ac_rep1_peak_757	22	.	4.0143	4.89264	2.25613	Promoter (<=1kb)	1	3900577	3906036	5460	1	100133612	ENST00000757276.1	321	ENSG00000236423	LINC01134	long intergenic non-protein coding RNA 1134
chr1	5334173	5334657	485	*	p53KD_H4K16ac_rep1_peak_758	50	.	5.85036	8.24214	5.08659	Distal Intergenic	1	5490829	5492804	1976	2	105376686	ENST00000649109.1	158147	NA	LOC105376686	uncharacterized LOC105376686
chr1	5789098	5789323	226	*	p53KD_H4K16ac_rep1_peak_759	16	.	3.57449	4.21902	1.61026	Distal Intergenic	1	5862672	5862741	70	2	100616421	ENST00000582517.1	73418	ENSG00000264101	MIR4689	microRNA 4689
chr1	5912312	5912529	218	*	p53KD_H4K16ac_rep1_peak_760	16	.	3.57449	4.21902	1.61026	Intron (ENST00000478423.6/261734, intron 9 of 25)	1	5886495	5905324	18830	2	261734	ENST00000466897.1	-6988	ENSG00000131697	NPHP4	nephrocystin 4
chr1	6199328	6199563	236	*	p53KD_H4K16ac_rep1_peak_761	11	.	3.20625	3.53396	1.14605	Promoter (<=1kb)	1	6186575	6199563	12989	2	6146	ENST00000480661.1	0	ENSG00000116251	RPL22	ribosomal protein L22
