seqnames,start,end,width,strand,Conc,Conc_p53KD,Conc_Scramble,Fold,p.value,FDR,log2FC,FDR_value,mean_signal,neglog10FDR,Status
chr20,41113809,41114309,501,*,8.13568345905469,9.01039753624913,5.54802365759989,3.2406678439062,3.55035010307862e-13,1.14392280321193e-09,3.2406678439062,1.14392280321193e-09,8.13568345905469,8.94160328259745,Significant gain
chr20,41099899,41100399,501,*,7.88033646419909,8.75472294579673,5.29628265071834,3.11054830866766,1.2435684479222702e-09,2.00338876960278e-06,3.11054830866766,2.00338876960278e-06,7.88033646419909,5.698234765079912,Significant gain
chr7,100148821,100149321,501,*,6.0426282226989,0.0,7.0426282226989,-8.36721030583638,3.1566126702035402e-09,3.3902020077986e-06,-8.36721030583638,3.3902020077986e-06,6.0426282226989,5.469774423254609,Significant loss
KI270729.1,2871,3371,501,*,6.27002358995472,7.24155979518385,1.59232054257119,5.30215889823692,5.09580915523662e-09,4.1046742745431e-06,5.30215889823692,4.1046742745431e-06,6.27002358995472,5.386721300513162,Significant gain
chr7,102464281,102464781,501,*,6.11431862340906,0.0,7.11431862340906,-8.29752648253577,2.46150308840104e-08,1.58619259016563e-05,-8.29752648253577,1.58619259016563e-05,6.11431862340906,4.799644083242689,Significant loss
chr11,69010952,69011452,501,*,5.384789960145,0.0,6.384789960145,-7.61549541308898,2.81384883504002e-07,0.0001511036824416,-7.61549541308898,0.0001511036824416,5.384789960145,3.820724951646551,Significant loss
chr2,39123825,39124325,501,*,5.28281296728795,0.0,6.28281296728795,-7.41695960667147,9.83899103476041e-07,0.0004091143587456,-7.41695960667147,0.0004091143587456,5.28281296728795,3.388155277738125,Significant loss
chr14,23071297,23071797,501,*,5.16611126912757,0.0,6.16611126912757,-7.33494015023422,1.0158022563517e-06,0.0004091143587456,-7.33494015023422,0.0004091143587456,5.16611126912757,3.388155277738125,Significant loss
chr11,78139042,78139542,501,*,5.00608800873186,0.0,6.00608800873186,-7.16347984691335,1.67838938801354e-06,0.0005174653024612,-7.16347984691335,0.0005174653024612,5.00608800873186,3.2861187655905293,Significant loss
chr3,49028966,49029466,501,*,5.38675777870752,0.0,6.37014707444031,-5.61150536969534,1.68725096915698e-06,0.0005174653024612,-5.61150536969534,0.0005174653024612,5.38675777870752,3.2861187655905293,Significant loss
chr11,64241166,64241666,501,*,6.20395220668941,4.24347885739659,7.00557101178232,-2.22901707671132,1.79147104377487e-06,0.0005174653024612,-2.22901707671132,0.0005174653024612,6.20395220668941,3.2861187655905293,Significant loss
chr19,12933423,12933923,501,*,4.98447885944549,0.0,5.98447885944549,-7.13008836931712,1.92724507434367e-06,0.0005174653024612,-7.13008836931712,0.0005174653024612,4.98447885944549,3.2861187655905293,Significant loss
chr7,100081616,100082116,501,*,6.21401273167175,4.3361679599546,7.00304090316893,-2.15844341368097,2.50405804536779e-06,0.0005953556196104,-2.15844341368097,0.0005953556196104,6.21401273167175,3.225223542676664,Significant loss
chr17,63446485,63446985,501,*,6.1629706400058,4.34810230914665,6.94182665804143,-2.10061556787273,2.5868959263026e-06,0.0005953556196104,-2.10061556787273,0.0005953556196104,6.1629706400058,3.225223542676664,Significant loss
chr2,202374748,202375248,501,*,5.0518329162097,0.0,6.0518329162097,-7.10819068490328,2.98306826117727e-06,0.0006407630625008,-7.10819068490328,0.0006407630625008,5.0518329162097,3.19330253159055,Significant loss
chr17,17913813,17914313,501,*,4.92880869885139,0.0,5.92880869885139,-7.01031335133528,3.29427820745603e-06,0.0006441354066255,-7.01031335133528,0.0006441354066255,4.92880869885139,3.191022828030157,Significant loss
