seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	10002	10326	325	*	Scramble_H4K16ac_rep2_peak_1039	33	.	4.66903	6.26151	3.30334	Promoter (<=1kb)	1	11121	14413	3293	1	100287102	ENST00000832824.1	-795	ENSG00000290825	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)
chr1	28859	30971	2113	*	Scramble_H4K16ac_rep2_peak_1040	36	.	4.76174	6.71887	3.643	Promoter (<=1kb)	1	30366	30503	138	1	100302278	ENST00000607096.1	0	ENSG00000284332	MIR1302-2	microRNA 1302-2
chr1	32970	33694	725	*	Scramble_H4K16ac_rep2_peak_1041	16	.	3.55029	4.27036	1.66737	Promoter (2-3kb)	1	24212	30744	6533	2	653635	ENST00000831718.1	-2226	ENSG00000310526	WASH7P	WASP family homolog 7, pseudogene
chr1	35164	36325	1162	*	Scramble_H4K16ac_rep2_peak_1042	12	.	3.14024	3.67154	1.26021	Promoter (<=1kb)	1	34554	36267	1714	2	645520	ENST00000417324.2	0	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	37676	38433	758	*	Scramble_H4K16ac_rep2_peak_1043	27	.	4.21848	5.57585	2.77044	Promoter (<=1kb)	1	34553	37595	3043	2	645520	ENST00000834250.1	-81	ENSG00000237613	FAM138A	family with sequence similarity 138 member A
chr1	186923	187817	895	*	Scramble_H4K16ac_rep2_peak_1044	13	.	3.1971	3.87936	1.33054	Promoter (<=1kb)	1	187891	187958	68	2	102465909	ENST00000612080.1	141	ENSG00000273874	MIR6859-2	microRNA 6859-2
chr1	189824	190409	586	*	Scramble_H4K16ac_rep2_peak_1045	15	.	3.4613	4.13624	1.56061	Promoter (1-2kb)	1	184924	188106	3183	2	100996442	ENST00000831740.1	-1718	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	198818	200495	1678	*	Scramble_H4K16ac_rep2_peak_1046	35	.	4.78714	6.5499	3.50634	Promoter (<=1kb)	1	182146	199872	17727	2	100996442	ENST00000831131.1	0	ENSG00000310527	WASH9P	WAS protein family homolog 9, pseudogene
chr1	266082	266279	198	*	Scramble_H4K16ac_rep2_peak_1047	17	.	3.54733	4.30396	1.70486	Promoter (2-3kb)	1	257913	268816	10904	2	127239154	ENST00000448958.2	2537	ENSG00000292994	LOC127239154	uncharacterized LOC127239154
chr1	373040	374377	1338	*	Scramble_H4K16ac_rep2_peak_1048	15	.	3.36545	4.23338	1.51771	Exon (ENST00000440163.2/112268260, exon 2 of 3)	1	365395	368450	3056	2	112268260	ENST00000453935.1	-4590	NA	LOC112268260	uncharacterized LOC112268260
