chrom,start,end,region_id,gene_name,strand,gene_start,gene_end,source_region_chrom,source_region_start,source_region_end,distance_region_center_to_TSS
chr20,41136930,41136931,ENSG00000124181.17,PLCG1,+,41136930,41196801,chr20,41113808,41114309,22872
chr7,100148887,100148888,ENSG00000188186.12,LAMTOR4,+,100148887,100155945,chr7,100148820,100149321,183
chr7,102464898,102464899,ENSG00000160993.6,ALKBH4,-,102456220,102464899,chr7,102464280,102464781,368
chr11,69014406,69014407,ENSG00000172935.12,MRGPRF,-,69004375,69014407,chr11,69010951,69011452,3205
chr2,39124344,39124345,ENSG00000115904.17,SOS1,-,38962205,39124345,chr2,39123824,39124325,270
chr14,23057667,23057668,ENSG00000139880.22,CDH24,-,23047061,23057668,chr14,23071296,23071797,13879
chr11,78139659,78139660,ENSG00000159063.16,ALG8,-,78095243,78139660,chr11,78139041,78139542,368
chr3,49029451,49029452,ENSG00000178035.15,IMPDH2,-,49024314,49029452,chr3,49028965,49029466,236
chr11,64241094,64241095,ENSG00000286264.3,ENSG00000286264,+,64241094,64244583,chr11,64241165,64241666,321
chr19,12934036,12934037,ENSG00000179115.13,FARSA,-,12921137,12934037,chr19,12933422,12933923,364
chr7,100082705,100082706,ENSG00000166526.21,ZNF3,-,100056867,100082706,chr7,100081615,100082116,840
chr17,63447107,63447108,ENSG00000008283.18,CYB561,-,63432297,63447108,chr17,63446484,63446985,373
chr2,202375834,202375835,ENSG00000204217.17,BMPR2,+,202375834,202567751,chr2,202374747,202375248,837
chr17,17972469,17972470,ENSG00000175662.21,TOM1L2,-,17843506,17972470,chr17,17913812,17914313,58407
chr7,152759730,152759731,ENSG00000133627.20,ACTR3B,+,152759730,152855378,chr7,152759715,152760216,235
chr17,7044091,7044092,ENSG00000174326.17,SLC16A11,-,7041604,7044092,chr17,7046951,7047452,3110
chr1,161133279,161133280,ENSG00000158796.19,DEDD,-,161120956,161133280,chr1,161132337,161132838,692
chr16,88382958,88382959,ENSG00000225614.4,ZNF469,+,88382958,88440757,chr16,88315332,88315833,67376
chr10,123154364,123154365,ENSG00000154473.20,BUB3,+,123154364,123313144,chr10,123153955,123154456,159
