"seqnames","start","end","width","strand","Conc","Conc_p53sh_MOF","Conc_Scr_MOF","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","annotation_category"
"chr1",171339315,171339815,501,"*",11.3015826320948,8.9732538112858,12.1502889806349,-3.14108324696762,4.68962587239662e-80,1.34592262537783e-77,"Promoter (<=1kb)",1,171339299,171339959,661,1,"7151","ENST00000649925.1",16,NA,"TOP1P1","DNA topoisomerase I pseudogene 1","Promoter (<=1 kb)"
"chr20",41113809,41114309,501,"*",8.53439340772823,5.08123647431443,9.46697973554093,-4.04130544232464,3.90320682265329e-14,3.73406786033831e-12,"3' UTR",20,41104102,41124487,20386,1,"7150","ENST00000680945.1",9707,"ENSG00000198900","TOP1","DNA topoisomerase I","3' UTR"
"chr20",41099898,41100398,501,"*",8.33034294543986,4.83887426908927,9.26473672132007,-4.0602077749731,1.50249329273936e-13,1.07803893754049e-11,"3' UTR",20,41104102,41124487,20386,1,"7150","ENST00000680945.1",-3704,"ENSG00000198900","TOP1","DNA topoisomerase I","3' UTR"
"chr1",228166144,228166644,501,"*",4.91055522618479,0,5.91055522618479,-7.09488899622155,2.0450510957933e-07,9.78216107487796e-06,"Promoter (<=1kb)",1,228165804,228182257,16454,1,"200205","ENST00000366711.4",340,"ENSG00000181873","IBA57","iron-sulfur cluster assembly factor IBA57","Promoter (<=1 kb)"
"chr10",69222582,69223082,501,"*",5.21786923787278,2.65134675951202,6.09065024371614,-2.5769822100238,6.21183660588916e-05,0.00162072464171835,"Promoter (2-3kb)",10,69220332,69267552,47221,1,"80201","ENST00000354624.6",2250,"ENSG00000156510","HKDC1","hexokinase domain containing 1","Promoter (2-3 kb)"
"chr1",28510593,28511093,501,"*",5.64808871139031,2.94078274126559,6.53318220928077,-2.64068249308041,7.2462410061835e-05,0.00173305930731222,"Promoter (<=1kb)",1,28510077,28536026,25950,1,"1104","ENST00000419074.5",516,"ENSG00000180198","RCC1","regulator of chromosome condensation 1","Promoter (<=1 kb)"
"chr1",234971054,234971554,501,"*",4.18192124196013,5.18192124196013,0,3.56894039393942,0.000256205802803165,0.00525221895746489,"Promoter (<=1kb)",1,234959666,234970062,10397,2,"101927851","ENST00000451766.2",-992,"ENSG00000238005","LNCATV","lncRNA negative regulator of antiviral signaling","Promoter (<=1 kb)"
"chr11",44569137,44569637,501,"*",6.03689847749432,4.09619899093852,6.83557935751884,-2.07273996331231,0.000402630754801165,0.00699028861842556,"Intron (ENST00000526958.5/3732, intron 1 of 6)",11,44565723,44605125,39403,1,"3732","ENST00000524704.5",3414,"ENSG00000085117","CD82","CD82 molecule","Other intron"
"chr6",26157332,26157832,501,"*",5.72089085344769,3.43552407698744,6.56476760091474,-2.24782815765364,0.000414058907711619,0.00699028861842556,"Promoter (<=1kb)",6,26158122,26158607,486,1,"3017","ENST00000377777.6",-290,"ENSG00000158373","H2BC5","H2B clustered histone 5","Promoter (<=1 kb)"
"chr17",81966760,81967260,501,"*",6.74875828571348,5.13965439581289,7.49050405703195,-1.8500403622204,0.00060038792430931,0.00872422953116942,"Promoter (<=1kb)",17,81967047,81976343,9297,1,"124904087","ENST00000813442.1",0,NA,"LOC124904087","uncharacterized LOC124904087","Promoter (<=1 kb)"
